asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B0000D9169","David's Cookies 2lbs Assorted Flavors Fresh Baked Cookies - Handmade and Gourmet Cookies - Delectable and Made with Premium Ingredients - Cookie Gift Basket - Great Gift For All Occasions","$33.95","4.1","6192","","Grocery & Gourmet Food","2896","Bakery & Dessert Gifts","1","","","18","1","AMZ","$164,035.37","5,200","https://www.amazon.com/dp/B0000D9169","https://images-na.ssl-images-amazon.com/images/I/81ZCOEc-b0L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:04:20.020Z"
"B00KWR6G4A","Barnetts Valentines Day Gift Basket, 12 Chocolate Covered Cookies, Gourmet Candy Box Baskets for Valentine Girlfriend, Boyfriend, Prime Food Delivery, Gifts for Him, Her, Wife, Husband, Women, Men,","$14.99","4.3","8515","","Grocery & Gourmet Food","3224","Indian Sweets","1","Bakery & Dessert Gifts","2","1","1","FBA","$98,218.09","6,552","https://www.amazon.com/dp/B00KWR6G4A","https://images-na.ssl-images-amazon.com/images/I/81jfSz2nzdL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:04:20.020Z"
"B0081BE3E4","Barnetts Valentines Day 12 Chocolate Biscotti Gift Box, Valentine Gourmet Cookie Gifts Basket for Him and Her, Food Delivery, Fancy Cookies Candy Box Treats Baskets Ideas for Wife, Husband, Girlfriend, Women, Men","$14.99","4.3","11130","","Grocery & Gourmet Food","3582","Bakery & Dessert Gifts","3","","","1","1","FBA","$133,605.49","8,913","https://www.amazon.com/dp/B0081BE3E4","https://images-na.ssl-images-amazon.com/images/I/81cjOG5uDEL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:04:20.021Z"
"B0CT2FR2PN","David's Cookies Valentines Day Mini Cookie Sampler in Love Tin, 14 oz Fresh Baked Assorted Bite Size Cookies, Chocolate Chip, Chocolate White Chip & Red Velvet, Gourmet Sweet Treat for Couples Friends","$21.51","4.2","213","","Grocery & Gourmet Food","4392","Bakery & Dessert Gifts","4","","","6","1","AMZ","$5,869.76","259","https://www.amazon.com/dp/B0CT2FR2PN","https://images-na.ssl-images-amazon.com/images/I/81xqzHxfRSL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:04:20.022Z"
"B0DSCN5R3Y","Cheryl's Cookies® Gift Box w/ 12 Buttercream-Frosted Heart Shaped Sugar Cookies, Individually Wrapped, Gourmet, & Fresh Delivery - Birthday Gift, Gift for Friends, Family, & Loved Ones","$29.74","4.4","82","","Grocery & Gourmet Food","5550","Bakery & Dessert Gifts","5","","","1","1","MERCH","$20,998.49","603","https://www.amazon.com/dp/B0DSCN5R3Y","https://images-na.ssl-images-amazon.com/images/I/71NgYzJbDwL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:04:20.023Z"
"B09RD1WJ77","Love Butterfly Explosion Gift Box by Send A Cake – Flying Butterfly Surprise with Flower Shower & Red Velvet Mini Bundt Cake – Ready to Gift Fun Romantic Valentine Surprise Gift for Women, Men, Mom, Dad, Friends & Kids","$49.95","4.4","433","","Grocery & Gourmet Food","5882","Bakery & Dessert Gifts","6","","","3","1","MERCH","$23,172.11","480","https://www.amazon.com/dp/B09RD1WJ77","https://images-na.ssl-images-amazon.com/images/I/81KDQIGxS4L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:04:20.024Z"
"B0G3TS87FR","2 Bags of 6 ROYO Rolls (12 rolls), 120 Calories, 8g Net Carbs, 10g Protein, High Fiber, (Chocalate & Cinnamon Rolls (2-Pack))","$44.00","3.3","92","","Grocery & Gourmet Food","6576","Bakery & Dessert Gifts","7","","","3","1","MERCH","$151,935.53","3,453","https://www.amazon.com/dp/B0G3TS87FR","https://images-na.ssl-images-amazon.com/images/I/91pw+usEASL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:04:20.025Z"
"B0BQ3XH1PT","Birthday Cookies Gift Basket for Men and Women – Gourmet Chocolate Cookies, Happy Birthday treats for Food Gifts by Empire Delights, 12 Count Chocolate Gift Box","$28.99","4.5","899","","Grocery & Gourmet Food","6676","Bakery & Dessert Gifts","9","","","4","1","FBA","$60,950.55","2,433","https://www.amazon.com/dp/B0BQ3XH1PT","https://images-na.ssl-images-amazon.com/images/I/91QS-zUBK7L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:04:20.025Z"
"B0CNHX7M4K","Barnetts Valentines Day 6 Chocolate Cookies Gift Basket, Valentine Gourmet Chocolate Covered Candy Gifts for Food Delivery Baskets, Him and Her Ideas, Husband, Wife, Girlfriend, Women, Men","$9.99","4.2","545","","Grocery & Gourmet Food","6417","Bakery & Dessert Gifts","7","","","2","1","FBA","$10,458.14","1,047","https://www.amazon.com/dp/B0CNHX7M4K","https://images-na.ssl-images-amazon.com/images/I/810GCdWXaTL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:04:20.026Z"
"B0FY91TBJ4","KREMERY Creamy Chocolate Cravings - Valentines Day Chocolate Covered Pretzels, Nuts & Candy Gift Basket (7 Assortments) Sweet Treats Food Arrangement in Reusable Round Wooden Tray + Ribbon, Kosher","$26.97","4.2","1030","","Grocery & Gourmet Food","8331","Bakery & Dessert Gifts","10","","","9","1","FBA","$81,599.57","1,412","https://www.amazon.com/dp/B0FY91TBJ4","https://images-na.ssl-images-amazon.com/images/I/81-s0QnMlfL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:04:20.027Z"
"B0BYFZZ69D","KREMERY Creamy Chocolate Cravings - Valentines Day Chocolate Covered Pretzel Rods Gift Basket with Candied Toppings (8 Pretzels) Sweet Treats Food Arrangement in Clear Tube, Kosher","$18.97","4.2","371","","Grocery & Gourmet Food","8732","Bakery & Dessert Gifts","12","","","4","1","FBA","$19,085.73","953","https://www.amazon.com/dp/B0BYFZZ69D","https://images-na.ssl-images-amazon.com/images/I/81va+7Sp5SL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:04:20.028Z"
"B09QBX36D1","Valentines Day Cookies Gift Basket, Hand Decorated Vanilla Sugar Cookie Greeting Card, Unique Love Elegant gourmet Food Gift Box, For Him, Her, Boy, Girl, Friend,Spouse, Wife, 3 Count","$16.99","4.4","371","","Grocery & Gourmet Food","8619","Bakery & Dessert Gifts","11","","","3","1","FBA","$4,938.57","315","https://www.amazon.com/dp/B09QBX36D1","https://images-na.ssl-images-amazon.com/images/I/819OFmtdbbL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:04:20.029Z"
"B0DJ7MPSZX","KREMERY Creamy Chocolate Cravings - Valentines Day Chocolate Covered Pretzel Twists & Grahams Cookies Gift Basket with Candied Toppings (12 Count) Sweets Treats Arrangement in Brown Gift Box, Kosher","$23.97","4.2","193","","Grocery & Gourmet Food","9320","Bakery & Dessert Gifts","13","","","6","1","FBA","$10,036.68","375","https://www.amazon.com/dp/B0DJ7MPSZX","https://images-na.ssl-images-amazon.com/images/I/81-QDiK+jCL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:04:20.030Z"
"B0FDMGDY3J","Roses & Charms Love Shower Gift Box by Send A Cake Ready to Gift, No Assembly Required with Music, Sweet Caramels & Delicious 3"" Raspberry Chocolate Crispy Treat - Fun Romantic Valentine Surprise Gift for Women, Men, Sister, Mom, Dad, Best Friend, Adults, Kids","$49.95","4.1","39","","Grocery & Gourmet Food","7356","Bakery & Dessert Gifts","14","","","3","1","FBA","$12,666.64","254","https://www.amazon.com/dp/B0FDMGDY3J","https://images-na.ssl-images-amazon.com/images/I/71ZOEBFsoQL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:04:20.031Z"
