asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B09V7Z4TJG","medicube Toner Pads Zero Pore Pad 2.0 | Dual-Textured Facial Pad for Exfoliation and Pore Care with 4.5% AHA Lactic Acid, 0.45% BHA Salicylic Acid | Ideal for All, Korean Skin Care, 70 Pads (1 Pack)","$18.90","4.6","23282","","Beauty & Personal Care","1","Facial Toners & Astringents","1","","","7","2","FBA","$3,622,020.38","199,492","https://www.amazon.com/dp/B09V7Z4TJG","https://images-na.ssl-images-amazon.com/images/I/71Mcspt-6AL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:21:42.369Z"
"B08KT2Z93D","eos Shea Better Body Lotion Vanilla Cashmere, 24-Hour Moisture Skin Care, Lightweight & Non-Greasy, Natural Shea, Vegan, Vanilla Body Lotion, 16 fl oz","$13.49","4.7","61440","","Beauty & Personal Care","2","Body Lotions","1","","","17","2","AMZ","$2,905,213.52","294,148","https://www.amazon.com/dp/B08KT2Z93D","https://images-na.ssl-images-amazon.com/images/I/51lP01--ejL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:21:42.370Z"
"B09541P9WH","Amazon Basics Cotton Swabs for Personal Hygiene and Baby Care, 500 Count, 1 Pack","$2.65","4.7","69084","","Beauty & Personal Care","3","Cotton Swabs","1","","","2","1","AMZ","$563,608.54","171,370","https://www.amazon.com/dp/B09541P9WH","https://images-na.ssl-images-amazon.com/images/I/612HeyYXOnL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:21:42.370Z"
"B0B2RM68G2","BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skin Care, Valentines Day Gifts for Her | 1.19oz(34g) x 4ea","$19.00","4.5","34268","","Beauty & Personal Care","4","Facial Masks","1","","","5","3","FBA","$4,632,593.47","211,913","https://www.amazon.com/dp/B0B2RM68G2","https://images-na.ssl-images-amazon.com/images/I/51Qiwz3ZiaL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:21:42.371Z"
"B08H3JPH74","Maybelline Lash Sensational Sky High Washable Mascara Makeup, Volumizing, Lengthening, Defining, Curling, Multiplying, Buildable Formula, Blackest Black, 1 Count","$9.99","4.5","175746","","Beauty & Personal Care","5","Mascara","1","","","12","3","AMZ","$2,179,048.95","233,443","https://www.amazon.com/dp/B08H3JPH74","https://images-na.ssl-images-amazon.com/images/I/71MQo8pHmBL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:21:42.371Z"
"B074PVTPBW","Mighty Patch™ Original patch from Hero Cosmetics – The #1 Hydrocolloid Acne Pimple Patch for Shrinking Zits and Whiteheads in 1 use; Nighttime Spot Stickers for Face and Skin (36 Count)","$12.99","4.6","181097","","Beauty & Personal Care","6","Pore Cleansing Strips","1","","","2","1","FBA","$4,188,093.73","254,325","https://www.amazon.com/dp/B074PVTPBW","https://images-na.ssl-images-amazon.com/images/I/51Kx4Wt+VqL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:21:42.372Z"
"B07PBXXNCY","Clean Skin Club Clean Towels XL®, 100% USDA Biobased Face Towel, Disposable Face Towelette, Eczema Association Accepted, Makeup Remover Dry Wipes, Ultra Soft, 1 Pack, 50 Ct","$17.95","4.8","41465","","Beauty & Personal Care","7","Facial Cleansing Cloths & Towelettes","1","","","4","1","FBA","$4,534,694.72","171,960","https://www.amazon.com/dp/B07PBXXNCY","https://images-na.ssl-images-amazon.com/images/I/81gg6xMEieL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:21:42.373Z"
"B09542G9ZN","Amazon Basics Hypoallergenic 100% Cotton Rounds for Makeup Removal and Skincare, 100 Count, 1 Pack","$2.96","4.7","46965","","Beauty & Personal Care","8","Cotton Pads & Rounds","1","","","2","1","AMZ","$857,512.73","168,943","https://www.amazon.com/dp/B09542G9ZN","https://images-na.ssl-images-amazon.com/images/I/41roS4Ps5RL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:21:42.373Z"
"B00U2VQZDS","Neutrogena Makeup Remover Wipes Micellar Alcohol-Free Face Towelettes Remove Waterproof Mascara & Oil, Compostable 100% Plant-Based Cloth, Dermatologist & Ophthalmologist Tested, Twin Pack 2 x 25 ct","$15.97","4.8","116613","","Beauty & Personal Care","9","Makeup Cleansing Wipes","1","Facial Cleansing Cloths & Towelettes","2","1","1","AMZ","$1,215,801.11","121,946","https://www.amazon.com/dp/B00U2VQZDS","https://images-na.ssl-images-amazon.com/images/I/71eFYqXRGoL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:21:42.374Z"
"B0BRMYHMS5","medicube Wrapping Mask Collagen Overnight Peel Off Facial Mask | Elasticity & Hydration Care, Reduces Sagging & Dullness | Hydrolyzed Collagen For Glowing Skin | Korean Skin Care, 2.53 fl.oz","$19.00","4.5","16073","","Beauty & Personal Care","10","Facial Masks","2","","","4","3","FBA","$3,336,673.19","184,163","https://www.amazon.com/dp/B0BRMYHMS5","https://images-na.ssl-images-amazon.com/images/I/61occWCJN-L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:21:42.374Z"
