asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B09GHFMQ99","Puracy Organic Hand Soap, Professional Hand Washers We've All Become, Moisturizing Natural Gel Hand Wash Soap, Liquid Hand Soap Refills for Soft Skin (Refill Lavender & Vanilla, 48 Ounce)","$29.99","4.5","3954","","Industrial & Scientific","594","Bulk Quantity Hand Soaps","1","","","12","2","FBA","$166,743.11","6,667","https://www.amazon.com/dp/B09GHFMQ99","https://images-na.ssl-images-amazon.com/images/I/716cSqnHWkL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T12:17:07.313Z"
"B0CDZN8N7C","Dial Antibacterial Defense Foaming Hand Soap + Aloe, Fresh Pear Scent, 30 Fl Oz Hand Soap Refill (Pack of 4), Dermatologist-Tested, Gentle on Skin","$25.56","4.8","1339","","Industrial & Scientific","2382","Bulk Quantity Hand Soaps","2","","","3","1","AMZ","$190,170.75","7,903","https://www.amazon.com/dp/B0CDZN8N7C","https://images-na.ssl-images-amazon.com/images/I/81TBz0OnaBL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T12:17:07.313Z"
"B000CCOK6Q","GOJO NATURAL ORANGE Pumice Hand Cleaner, 1 Gallon Quick Acting Lotion Hand Cleaner with Pumice Pump Bottle (Pack of 1) – 0955-02","$28.23","4.7","9403","","Industrial & Scientific","1676","Bulk Quantity Hand Soaps","3","Garage & Shop Products","116","8","54","AMZ","$69,677.98","2,326","https://www.amazon.com/dp/B000CCOK6Q","https://images-na.ssl-images-amazon.com/images/I/71uTL5aTpKL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T12:17:07.314Z"
"B0BJL743XX","GOJO Premium Lotion Soap, Waterfall Fragrance, 800 mL Lotion Hand Soap Refill 800 Series Bag-In-Box Soap Dispenser (Pack of 12) - 9106-12","$64.26","4.8","307","","Industrial & Scientific","3009","Bulk Quantity Hand Soaps","4","Hand Wash","160","2","61","MERCH","$75,358.28","1,290","https://www.amazon.com/dp/B0BJL743XX","https://images-na.ssl-images-amazon.com/images/I/81nNvDaRFeL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T12:17:07.315Z"
"B087RSYRW1","GOJO FMX-12 Luxury Foam Handwash, Cranberry Scent, EcoLogo Certified, 1250 mL Foam Soap Refill for GOJO FMX-12 Push-Style Dispenser (Pack of 4) – 5161-04","$66.90","4.8","579","","Industrial & Scientific","3028","Bulk Quantity Hand Soaps","5","","","2","63","FBA","$104,223.02","1,526","https://www.amazon.com/dp/B087RSYRW1","https://images-na.ssl-images-amazon.com/images/I/718Iojf1GcL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T12:17:07.315Z"
"B071NXJVK2","Grip Clean Heavy Duty Hand Cleaner for Mechanics – Natural Pumice & Clay-Infused Technology Removes Grease, Oil & Grime – Moisturizing Liquid Hand Soap for Shop, Garage & Industrial Use – 32oz","$22.97","4.6","4009","","Beauty & Personal Care","14158","Bulk Quantity Hand Soaps","6","Hand Wash","151","4","2","FBA","$50,308.55","2,034","https://www.amazon.com/dp/B071NXJVK2","https://images-na.ssl-images-amazon.com/images/I/7179ncL6KJL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T12:17:07.316Z"
"B0CPDMNVXB","Zenex Magic Hand Soap - Industrial Hand Cleaner for Auto Mechanics | Shop Soap | Walnut Shell Scrubbers to Remove Grease, Oil, Ink & Paint | Moisturizing Ingredients | 3.55 L (4 Pack)","$138.99","4.7","440","","Beauty & Personal Care","20995","Bulk Quantity Hand Soaps","7","Hand Wash","195","6","1","FBA","$88,429.24","1,015","https://www.amazon.com/dp/B0CPDMNVXB","https://images-na.ssl-images-amazon.com/images/I/71f5NiqRo8L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T12:17:07.317Z"
"B08XZTDCWK","Zep Commercial Antimicrobial Hand Soap, 1 Gallon, R46124, 128 Fl Oz (Pack of 1)","$20.69","4.4","375","","Beauty & Personal Care","32236","Bulk Quantity Hand Soaps","8","Hand Wash","268","2","11","AMZ","$22,678.56","637","https://www.amazon.com/dp/B08XZTDCWK","https://images-na.ssl-images-amazon.com/images/I/41LsPMmLpDL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T12:17:07.317Z"
"B008UTCWNQ","GOJO Pomeberry Foam Handwash, Pomegranate Scent, 1200 mL Hand Soap Refill LTX-12 Dispenser (Pack of 2) - 1916-02","$57.63","4.6","1356","","Beauty & Personal Care","8252","Bulk Quantity Hand Soaps","9","Hand Wash","98","6","58","AMZ","$215,207.75","3,885","https://www.amazon.com/dp/B008UTCWNQ","https://images-na.ssl-images-amazon.com/images/I/81g7arD5t3L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T12:17:07.318Z"
"B075ND7N9F","PURELL Brand HEALTHY SOAP Gentle and Free Foam, Fragrance Free, 1200 mL Refill for PURELL ES8 Automatic Soap Dispenser (Pack of 2) - 7772-02 - Manufactured by GOJO, Inc.","$39.93","4.6","274","","Beauty & Personal Care","25786","Bulk Quantity Hand Soaps","10","Foot & Hand Care","386","3","52","FBA","$24,615.08","528","https://www.amazon.com/dp/B075ND7N9F","https://images-na.ssl-images-amazon.com/images/I/61Wg8kU-NNL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T12:17:07.319Z"
