asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B01N1A4MMW","Crazy Cups Flavored Coffee Pods Variety Pack for Keurig K Cups Brewers, Assorted Flavored Coffee Sampler, 40 Count","$23.41","4.4","54019","","Grocery & Gourmet Food","848","Coffee Gifts","2","","","7","3","AMZ","$420,838.85","17,127","https://www.amazon.com/dp/B01N1A4MMW","https://images-na.ssl-images-amazon.com/images/I/91gnLEKtJWL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:16:41.242Z"
"B07DDLCWJD","Peet's Coffee, Dark Roast Espresso Capsules, Compatible with Nespresso Original Machine, 100% Arabica Coffee - Nerissimo Intensity 11, 50 Count (5 Boxes of 10 Espresso Capsules)","$25.98","4.6","4245","","Grocery & Gourmet Food","820","Coffee Gifts","1","","","6","3","AMZ","$507,355.00","11,966","https://www.amazon.com/dp/B07DDLCWJD","https://images-na.ssl-images-amazon.com/images/I/61eHLQrop-L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:16:41.243Z"
"B07D5F7F2K","Peet's Coffee, Dark and Medium Roast Espresso Capsules Variety Pack, Compatible with Nespresso Original Machine, 100% Arabica Coffee - Intensity 8-11, 40 Count (4 Boxes of 10 Espresso Capsules)","$30.77","4.6","11114","","Grocery & Gourmet Food","1500","Coffee Gifts","3","","","6","3","AMZ","$421,897.79","12,474","https://www.amazon.com/dp/B07D5F7F2K","https://images-na.ssl-images-amazon.com/images/I/81POCqFX2+L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:16:41.245Z"
"B09GZSQMRJ","Atlas Coffee Club World of Coffee Discovery Set - Gourmet Coffee Gift Sampler - 8-Pack Variety Box of the World’s Best Single Origin Coffees - Whole Bean","$47.99","4.4","1568","","Grocery & Gourmet Food","8409","Coffee Gifts","4","","","4","1","FBA","$248,083.19","5,170","https://www.amazon.com/dp/B09GZSQMRJ","https://images-na.ssl-images-amazon.com/images/I/8102LyLqw+L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:16:41.246Z"
"B0BHQK3F65","Crazy Cups Cappuccino & Hot Chocolate Variety Pack, Gift Set for Keurig K Cup Machines, 40 Count","$18.43","4.4","14515","","Grocery & Gourmet Food","3875","Coffee Gifts","5","","","18","2","AMZ","$111,272.67","5,598","https://www.amazon.com/dp/B0BHQK3F65","https://images-na.ssl-images-amazon.com/images/I/71IAqzFYI2L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:16:41.247Z"
"B0D5BXBLPY","Brand Name Variety Pack Coffee Pods K Cup Sampler Flavored, Dark, Medium & light Roast. All the Top Brands and Many More—for Keurig Brewers—1 box (30 Unique Pods)","$34.95","4.6","318","","Grocery & Gourmet Food","12891","Coffee Gifts","6","","","1","1","FBA","$38,181.39","1,079","https://www.amazon.com/dp/B0D5BXBLPY","https://images-na.ssl-images-amazon.com/images/I/71bbM1f3DYL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:16:41.248Z"
"B005X9SS2A","Monin - 5 Flavor Classic Cocktail Collection: Pomegranate, Mojito, Agave Nectar, Mango, and Pure Cane Syrups, Great for Classic Happy Hour Cocktails, Non-GMO, Gluten-Free (50 ml per bottle)","$10.22","4.3","8340","","Grocery & Gourmet Food","9413","Coffee Gifts","7","","","4","3","FBA","$49,623.08","2,765","https://www.amazon.com/dp/B005X9SS2A","https://images-na.ssl-images-amazon.com/images/I/610t0sQDxVL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:16:41.249Z"
"B0DRMDZ8ML","30 Count - Flavored Variety Pack Coffee Pods K Cup Sampler – Hazelnut, Cinnamon Dolce, Maple Pecan, Smoked Butterscotch, Toasted Graham, Caramel, Vanilla & Toffeenut. Turtle Love, Candy'd Almond, Caramel Me Crazy, S’mores, French Vanilla & Hazelnut for Keurig Brewers","$33.95","4.7","386","","Grocery & Gourmet Food","15990","Coffee Gifts","8","","","1","1","FBA","$34,581.58","972","https://www.amazon.com/dp/B0DRMDZ8ML","https://images-na.ssl-images-amazon.com/images/I/61hXTM6jypL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:16:41.250Z"
"B0FS8WSR8N","Bones Coffee Company Fallout Sin City Coffee Collector's Box, 2 Flavored Coffee Low Acid Medium Roast Arabica Beans Specialty Gifts, Auto Drip and French Press Compatible, 12 oz Pack of 2 Ground","$46.99","4.6","3613","","Grocery & Gourmet Food","11384","Coffee Gifts","9","","","21","2","FBA","$112,256.11","2,760","https://www.amazon.com/dp/B0FS8WSR8N","https://images-na.ssl-images-amazon.com/images/I/81y1+J3Sx+L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:16:41.251Z"
"B0BKTL9LHR","Atlas Coffee Club Coffee Pods – Dark Roast, Single-Origin Costa Rica, 24 Count – Compatible with Keurig K-Cup Brewers – 100% Recyclable, Premium Arabica Coffee","$29.99","4.0","305","","Grocery & Gourmet Food","22739","Coffee Gifts","10","","","4","1","FBA","$13,814.44","461","https://www.amazon.com/dp/B0BKTL9LHR","https://images-na.ssl-images-amazon.com/images/I/711HV6U7InL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:16:41.252Z"
