asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
B09RQBHRCT,"Vital Proteins Collagen Peptides Powder - Supports Hair, Nail, Skin, Bone & Joint Health, Unflavored, Collagen Protein 9.33 OZ",$20.52,4.5,83391,,Health & Household,31,Collagen Supplements,1,,,13,1,FBA,"$5,280,493.77","211,072",https://www.amazon.com/dp/B09RQBHRCT,"https://images-na.ssl-images-amazon.com/images/I/71QZNoHaxdL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:23:07.187Z
B00K6JUG4K,"Vital Proteins Collagen Peptides Powder Advanced with Hyaluronic Acid & Vitamin C, 20oz Collagen Protein, Unflavored, 27 Servings",$42.99,4.4,213421,,Health & Household,49,Collagen Supplements,2,,,7,1,FBA,"$8,753,352.19","212,319",https://www.amazon.com/dp/B00K6JUG4K,https://m.media-amazon.com/images/I/71dh8ovfnrL._AC_SL1500_.jpg,FALSE,FALSE,1,2026-02-22T11:23:07.188Z
B07GY22VLW,"Live Conscious Collagen Peptides Powder - Naturally-Sourced Hydrolyzed Collagen Powder - Hair, Skin, Nail, and Joint Support - Type I & III Grass-Fed Collagen Supplements for Women and Men - 16oz",$34.00,4.5,77477,,Health & Household,179,Collagen Supplements,3,,,14,1,FBA,"$6,898,643.01","146,103",https://www.amazon.com/dp/B07GY22VLW,"https://images-na.ssl-images-amazon.com/images/I/719PP+XVu1L._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:23:07.189Z
B00XQ2XGAA,"Sports Research Collagen Peptides - Hydrolyzed Type 1 & 3 Collagen Powder Protein Supplement for Healthy Skin, Nails, & Joints - Easy Mixing Vital Nutrients & Proteins, Collagen for Women & Men",$32.95,4.6,141099,,Health & Household,187,Collagen Supplements,4,,,10,5,FBA,"$3,380,236.84","90,078",https://www.amazon.com/dp/B00XQ2XGAA,"https://images-na.ssl-images-amazon.com/images/I/61q6dBjie4L._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:23:07.189Z
B0CT6NMTP9,"Ancient Nutrition Collagen Peptides Powder, Multi Collagen Protein, Women & Men, Vitamin C, Probiotics, Hydrolyzed Collagen, Supports Skin, Joints, Gut Health, Unflavored, 40 Servings",$39.96,4.4,59210,,Health & Household,285,Collagen Supplements,5,,,15,1,FBA,"$2,583,075.18","59,339",https://www.amazon.com/dp/B0CT6NMTP9,"https://images-na.ssl-images-amazon.com/images/I/516rV8tXgjL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:23:07.190Z
B07WZVX3L1,"Vital Vitamins Multi Collagen Capsules - Type I, II, III, V, X - Grass-Fed, Collagen Peptides Supplements, Non-GMO - for Men & Women - 150 Count",$23.95,4.6,53239,,Health & Household,335,Collagen Supplements,6,,,4,2,FBA,"$1,877,305.82","65,442",https://www.amazon.com/dp/B07WZVX3L1,"https://images-na.ssl-images-amazon.com/images/I/71Jdy0y+1BL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:23:07.191Z
B07BL69CD2,"Orgain Hydrolyzed Collagen Peptides Powder For Women & Men, 20g Grass Fed Collagen, Unflavored - Hair, Skin, Nail, & Joint Support Supplement, Paleo & Keto, Non-GMO, Type I and III, 1lb",$21.75,4.4,38729,,Health & Household,457,Collagen Supplements,7,,,3,1,AMZ,"$1,062,830.58","49,811",https://www.amazon.com/dp/B07BL69CD2,"https://images-na.ssl-images-amazon.com/images/I/71xTFyVevEL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:23:07.192Z
B01BHF3OMW,"Micro Ingredients Multi Collagen Peptides Powder, 2lb – Hydrolyzed Type I,II,III,V,X with Biotin 10000mcg, Hyaluronic Acid, Vitamin C – Unflavored Collagen for Women & Men, Easy Dissolve, 82 Servings",$49.95,4.5,15657,,Health & Household,528,Collagen Supplements,8,,,3,1,FBA,"$1,898,153.68","42,697",https://www.amazon.com/dp/B01BHF3OMW,"https://images-na.ssl-images-amazon.com/images/I/71YqRNc9wmL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:23:07.192Z
B005KG7EDU,"Great Lakes Wellness Hydrolyzed Collagen Peptides Powder, Supports Healthy Skin, Hair, Nails, Joints & Digestion, Grass-Fed Bovine, Clump Free, Single Ingredient, Unflavored, 22 Servings (Pack of 1)",$29.99,4.6,38040,,Health & Household,697,Collagen Supplements,9,,,8,2,FBA,"$1,110,729.34","32,850",https://www.amazon.com/dp/B005KG7EDU,"https://images-na.ssl-images-amazon.com/images/I/71vgjdjU3gL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:23:07.193Z
B0D5JL8GVL,"Premium Liquid Collagen for Women Weight Loss & Beauty w. Hyaluronic Acid, Biotin, L-Carnitine, Apple C Vinegar - Ultra Pure Multi Collagen Protein Shots Drink + Hair & Skin Liquid Vitamins - Colageno",$26.95,4.4,2256,,Health & Household,766,Collagen Supplements,10,,,1,1,FBA,"$633,236.52","23,497",https://www.amazon.com/dp/B0D5JL8GVL,"https://images-na.ssl-images-amazon.com/images/I/71PuVop80OL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:23:07.194Z
