asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B00JHKTDQG","Safety 1st Electrical Outlet Baby Proof Covers, Secure Outlet Plugs, Baby Proofing, 36 Count","$4.99","4.8","25358","","Baby","136","Electrical Safety Baby Products","1","","","2","5","AMZ","$45,903.17","7,099","https://www.amazon.com/dp/B00JHKTDQG","https://images-na.ssl-images-amazon.com/images/I/712xj4kARAL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:12:22.584Z"
"B077Y5LHHF","Clear Outlet Covers (50 Pack) Value Pack – Baby Safety Outlet Plug Covers – Durable & Steady – Child Proof Your Outlets Easily","$10.99","4.8","12542","","Baby","196","Electrical Safety Baby Products","2","","","2","1","FBA","$126,928.11","12,808","https://www.amazon.com/dp/B077Y5LHHF","https://images-na.ssl-images-amazon.com/images/I/71jEywC3IGL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:12:22.585Z"
"B07KWT9LS1","Outlet Covers Babepai 38-Pack White Child Proof Electrical Protector Safety Improved Baby Safety Plug Covers","$7.48","4.6","14326","","Baby","293","Electrical Safety Baby Products","3","","","5","1","FBA","$117,908.26","12,874","https://www.amazon.com/dp/B07KWT9LS1","https://images-na.ssl-images-amazon.com/images/I/61-pIdRZrLL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:12:22.585Z"
"B01N7H7J47","Outlet Covers Baby Proofing (50 Pack) Safe & Secure Electric Plug Protectors | Sturdy Childproof Socket Covers for Home & Office | Easy Installation | Protect Toddlers & Babies | White","$9.95","4.8","15937","","Baby","466","Electrical Safety Baby Products","4","","","2","1","FBA","$83,425.26","8,616","https://www.amazon.com/dp/B01N7H7J47","https://images-na.ssl-images-amazon.com/images/I/71aVFvOjJUL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:12:22.586Z"
"B00NO030NC","Power Gear Outlet Covers Baby Proofing Child Proof Plug Covers for Electrical Outlets Easy Install Outlet Plug Covers UL Listed Shock Prevention Clear 51175 30 Count","$5.99","4.8","32715","","Baby","640","Electrical Safety Baby Products","5","","","3","1","AMZ","$105,217.25","17,019","https://www.amazon.com/dp/B00NO030NC","https://images-na.ssl-images-amazon.com/images/I/718OEbXtEVL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:12:22.586Z"
"B000HKVG9C","Safety 1st Outlet Cover with Cord Shortener for Baby Proofing","$4.37","4.5","10422","","Baby","677","Electrical Safety Baby Products","6","","","3","5","AMZ","$25,318.72","5,787","https://www.amazon.com/dp/B000HKVG9C","https://images-na.ssl-images-amazon.com/images/I/71Ozo0ZeJ0L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:12:22.587Z"
"B0BP777J2W","BABY PROOF ME 24 Pack Outlet Covers & Removal Tool Baby Proofing, Provide Shock Prevention and Easy Installation, Safe and Secure Plastic Plug Covers for Power Sockets (24 Outlet Covers)","$7.95","4.7","682","","Baby","919","Electrical Safety Baby Products","7","","","2","1","FBA","$53,470.92","6,447","https://www.amazon.com/dp/B0BP777J2W","https://images-na.ssl-images-amazon.com/images/I/617XjLh1JtL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:12:22.588Z"
"B086134T3T","4our Kiddies Baby-Proof Outlet Covers (60 Pack) - Child Safety Electric Plug Protectors to Prevent Power Shock","$9.99","4.5","5692","","Baby","966","Electrical Safety Baby Products","8","","","1","1","FBA","$53,603.96","5,438","https://www.amazon.com/dp/B086134T3T","https://images-na.ssl-images-amazon.com/images/I/71b6CbdcIhL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:12:22.589Z"
"B084S8TZBZ","Mom's Choice Gold Awards Winner - Outlet Covers with Hidden Pull Handle Baby Proofing Plug Covers (45 Pack) 3-Prong Child Safety Socket Covers Electrical Outlet Protectors Kid Proof Outlet Cap","$8.99","4.6","10767","","Baby","1019","Electrical Safety Baby Products","9","","","4","1","FBA","$35,951.19","4,176","https://www.amazon.com/dp/B084S8TZBZ","https://images-na.ssl-images-amazon.com/images/I/61a+bt69mCS._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:12:22.589Z"
"B072N9XQHM","Jool Baby Outlet Covers (32 Pack) for Child Safety - Easy Adult Removal, Plug Protectors for Baby Proofing Electric Sockets - Transparent Design","$8.95","4.8","11327","","Baby","1478","Electrical Safety Baby Products","10","","","1","1","FBA","$29,473.90","3,293","https://www.amazon.com/dp/B072N9XQHM","https://images-na.ssl-images-amazon.com/images/I/612W2nBuwOL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:12:22.590Z"
