asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B0CJVPY572","AmzBoom Fire Extinguisher 2-Pack with Mounting Bracket for Home, Kitchen, Car, Grill - Portable Small A, B, C, K Fire Extinguisher - 8-in-1 - Prevents Reignition.","$13.50","4.7","1582","","Tools & Home Improvement","2212","Fire Extinguisher Mounts & Brackets","1","","","1","1","FBA","$47,729.70","3,142","https://www.amazon.com/dp/B0CJVPY572","https://images-na.ssl-images-amazon.com/images/I/71ZDc1jcbwL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:00:32.946Z"
"B0CF1D4D4H","Quick Release Fire Extinguisher Mount - Aluminum Adjustable UTV Roll Bar Fire Extinguisher Holder Mounting Bracket Compatible with Jeep Wrangler TJ JK JL JKU Polaris RZR Ranger Can-Am X3 Universal","$21.59","4.7","585","","Tools & Home Improvement","9422","Fire Extinguisher Mounts & Brackets","2","","","7","3","FBA","$22,844.79","994","https://www.amazon.com/dp/B0CF1D4D4H","https://images-na.ssl-images-amazon.com/images/I/716QY72MkOL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:00:32.947Z"
"B0CZ3DK3C5","Universal Fire Extinguisher Bracket, Fire Extinguisher Mounts & Brackets up to 40 lbs, Suitable for Big and Small Fire Extinguisher Cabinet, Holder for Dry Chemical and Water Extinguishers (2 Pack)","$8.99","4.6","233","","Tools & Home Improvement","10440","Fire Extinguisher Mounts & Brackets","3","","","1","1","FBA","$8,995.90","1,001","https://www.amazon.com/dp/B0CZ3DK3C5","https://images-na.ssl-images-amazon.com/images/I/519+Hetfl3L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:00:32.948Z"
"B0CYP8C758","Fire Extinguisher Mounts & Brackets,4 Pack Fire Extinguisher Brackets and Holders, Fire Extinguisher Wall Hook Holder Hanger for 10 lb fire Extinguisher Mount","$9.68","4.4","232","","Tools & Home Improvement","13351","Fire Extinguisher Mounts & Brackets","4","","","5","2","FBA","$9,237.93","1,018","https://www.amazon.com/dp/B0CYP8C758","https://images-na.ssl-images-amazon.com/images/I/71nr5-NwXXL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:00:32.949Z"
"B0DB1TMWQL","Quick Release UTV Fire Extinguisher Mount Kits, Adjustable Roll Bar Fire Extinguisher Holder Bracket Easy Install on 1.75""-2"" Roll Cage, Compatible with Polaris RZR/Can Am X3/Jeep Wrangler","$21.99","4.7","429","","Tools & Home Improvement","13416","Fire Extinguisher Mounts & Brackets","5","","","2","2","FBA","$20,923.28","879","https://www.amazon.com/dp/B0DB1TMWQL","https://images-na.ssl-images-amazon.com/images/I/71maikgz6ZL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:00:32.949Z"
"B00EMNLTWY","Set of 4 Fire Extinguisher Mount Bracket - 2.36″ × 1.57″ × 2.36″ Fire Extinguisher Hook, Includes Screw, Gaskets & Anchors, Easy to Install, Hold up to 20 lb, Good for Workshop, Garage, or Home Use","$8.99","4.6","1148","","Tools & Home Improvement","14463","Fire Extinguisher Mounts & Brackets","6","","","2","4","FBA","$8,802.40","757","https://www.amazon.com/dp/B00EMNLTWY","https://images-na.ssl-images-amazon.com/images/I/7127k8mUWHL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:00:32.950Z"
"B09GF4TRYS","Universal Fire Extinguisher Bracket, Fire Extinguisher Mounts & Brackets up to 40 lbs, Suitable for Big and Small Fire Extinguisher Cabinet, Holder for Dry Chemical and Water Extinguishers (Pack 4).","$11.99","4.5","295","","Tools & Home Improvement","17543","Fire Extinguisher Mounts & Brackets","7","","","3","1","FBA","$8,964.94","773","https://www.amazon.com/dp/B09GF4TRYS","https://images-na.ssl-images-amazon.com/images/I/71s45SKC4kL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:00:32.951Z"
"B009YO2HSQ","FIRST ALERT BRACKET2 Replacement Fire Extinguisher Bracket,Black","$12.99","4.3","3388","","Tools & Home Improvement","23998","Fire Extinguisher Mounts & Brackets","8","","","3","44","FBA","$6,124.70","566","https://www.amazon.com/dp/B009YO2HSQ","https://images-na.ssl-images-amazon.com/images/I/41T5tdx63IL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:00:32.951Z"
"B0FD3SH1YN","Portable Fire Extinguisher for Home and Vehicle - Mondoshop 2-Pack Water-Based Small Fire Extinguisher with Mount for A, B, C, K Fire, Suitable for Vehicle, Home, Kitchen, Car, Boat, Camping, Business","$29.99","4.7","53","","Tools & Home Improvement","28060","Fire Extinguisher Mounts & Brackets","9","","","3","1","FBA","$20,302.57","684","https://www.amazon.com/dp/B0FD3SH1YN","https://images-na.ssl-images-amazon.com/images/I/71hRH7QQBOL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:00:32.952Z"
"B0DB1XX27K","NILKATSS Adjustable Fire Extinguisher Mount, Easy Install on Roll Bar/ Cage Fire Extinguisher Holder, Quick Release Mounting Bracket for Jeep Wrangler JT TJ JKU JK JL UTV Cam-Am X3 Polaris RZR Ranger","$14.99","4.6","364","","Tools & Home Improvement","28233","Fire Extinguisher Mounts & Brackets","10","","","2","1","FBA","$6,883.19","397","https://www.amazon.com/dp/B0DB1XX27K","https://images-na.ssl-images-amazon.com/images/I/61DWUIW-itL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:00:32.953Z"
