asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B08826B2XL","Frito-Lay Ultimate Classic Snacks Package, Variety Assortment of Chips, Cookies, Crackers, & Nuts, 0.56 ounces, (Pack of 40) (Packaging May Vary)","$19.75","4.6","113231","","Grocery & Gourmet Food","104","Snack Food Gifts","1","","","11","5","AMZ","$965,935.62","36,847","https://www.amazon.com/dp/B08826B2XL","https://images-na.ssl-images-amazon.com/images/I/91dqrCz23TL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:06:17.119Z"
"B092B8RVRN","NUT CRAVINGS - Valentines Day Mixed Nuts Heart Shaped Gift Basket, Love in A Box (4 Assortments) Romantic Food Arrangement, Healthy Snack Care Package, Food Assortments","$29.97","4.3","10154","","Grocery & Gourmet Food","336","Fruit & Nut Gifts","1","","","9","1","FBA","$56,058.56","2,068","https://www.amazon.com/dp/B092B8RVRN","https://images-na.ssl-images-amazon.com/images/I/81fKSTLS0cL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:06:17.120Z"
"B07K38QBKQ","Chocolate Gift Basket, Candy Food Gifts Arrangement Platter, Gourmet Snack Box, Holiday Present Idea, Valentines Day, Corporate Him & Her, Men Women Sympathy Family Parties & Get Well- Bonnie & Pop","$37.99","4.5","14186","","Grocery & Gourmet Food","379","Candy & Chocolate Gifts","1","","","5","4","FBA","$945,253.26","24,058","https://www.amazon.com/dp/B07K38QBKQ","https://images-na.ssl-images-amazon.com/images/I/81bnwjXx4LL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:06:17.121Z"
"B01N1A4MMW","Crazy Cups Flavored Coffee Pods Variety Pack for Keurig K Cups Brewers, Assorted Flavored Coffee Sampler, 40 Count","$23.41","4.4","54019","","Grocery & Gourmet Food","848","Coffee Gifts","2","","","7","3","AMZ","$420,838.85","17,127","https://www.amazon.com/dp/B01N1A4MMW","https://images-na.ssl-images-amazon.com/images/I/91gnLEKtJWL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:06:17.122Z"
"B0822XNNY6","Valentine's Day Gift Care Package (50ct) Snacks Chocolates Candy Box Assortment Variety Bundle Present Kids Adults Boy Girl Guy Friend College Husband Wife Boyfriend Girlfriend Love","$31.95","4.4","3103","","Grocery & Gourmet Food","770","Snack Food Gifts","2","","","3","2","FBA","$80,815.70","2,606","https://www.amazon.com/dp/B0822XNNY6","https://images-na.ssl-images-amazon.com/images/I/91HdWG9IxvL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:06:17.123Z"
"B07DDLCWJD","Peet's Coffee, Dark Roast Espresso Capsules, Compatible with Nespresso Original Machine, 100% Arabica Coffee - Nerissimo Intensity 11, 50 Count (5 Boxes of 10 Espresso Capsules)","$25.98","4.6","4245","","Grocery & Gourmet Food","820","Coffee Gifts","1","","","6","3","AMZ","$507,355.00","11,966","https://www.amazon.com/dp/B07DDLCWJD","https://images-na.ssl-images-amazon.com/images/I/61eHLQrop-L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:06:17.124Z"
"B01N22CM3F","CRAVEBOX Snacks Box Variety Pack Care Package (45 Count) Valentines Treats Gift Basket Adults Kids Grandkids Guys Girls Women Men Boyfriend Birthday Cookies Chips College Student Office School","$29.95","4.4","44095","","Grocery & Gourmet Food","878","Food Assortments & Variety Gifts","1","","","1","8","FBA","$445,418.54","14,872","https://www.amazon.com/dp/B01N22CM3F","https://images-na.ssl-images-amazon.com/images/I/91ogRxtAM2L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:06:17.125Z"
"B0BC2C83KM","Ultimate Assorted Candy Party Mix - 2 LB Bag - Mega Variety Bulk Assortment - Valentine's Day - Individually Wrapped Candy - Queen Jax - Variety Pack","$18.99","3.7","4672","","Grocery & Gourmet Food","578","Candy & Chocolate Gifts","2","","","3","9","FBA","$308,459.20","14,354","https://www.amazon.com/dp/B0BC2C83KM","https://images-na.ssl-images-amazon.com/images/I/917I2L+NG0L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:06:17.126Z"
"B0FR9VHK44","Godiva Premium Assorted Chocolates, 27-count","$28.14","4.6","195","","Grocery & Gourmet Food","1076","Candy & Chocolate Gifts","3","","","1","37","MERCH","$168,869.62","7,170","https://www.amazon.com/dp/B0FR9VHK44","https://images-na.ssl-images-amazon.com/images/I/51qiAh+JxNL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:06:17.127Z"
"B0BWGDK9S1","Assorted Chocolate Candy Variety Pack - 2 Lb Bulk Chocolate Mix - Valentine's Day - Bulk Mini Chocolates Candy Bars Individually Wrapped - Individually Wrapped Candies","$14.99","3.7","3073","","Grocery & Gourmet Food","1256","Candy & Chocolate Gifts","4","","","5","4","FBA","$139,747.22","7,084","https://www.amazon.com/dp/B0BWGDK9S1","https://images-na.ssl-images-amazon.com/images/I/81VvW9ERs4L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:06:17.128Z"
