asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B092B8RVRN","NUT CRAVINGS - Valentines Day Mixed Nuts Heart Shaped Gift Basket, Love in A Box (4 Assortments) Romantic Food Arrangement, Healthy Snack Care Package, Food Assortments","$29.97","4.3","10154","","Grocery & Gourmet Food","336","Fruit & Nut Gifts","1","","","9","1","FBA","$56,058.56","2,068","https://www.amazon.com/dp/B092B8RVRN","https://images-na.ssl-images-amazon.com/images/I/81fKSTLS0cL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.184Z"
"B07Y2DYWJ9","Valentines Day Nuts Gift Basket - Assortment of Sweet & Roasted Salted Gourmet Nuts - Romantic Food Gift Box for Him, Husband, Christmas, Fathers Day, Mothers Day, Sympathy, Family, Men & Women","$19.95","4.6","2644","","Grocery & Gourmet Food","3370","Fruit & Nut Gifts","2","","","2","1","FBA","$179,459.38","7,285","https://www.amazon.com/dp/B07Y2DYWJ9","https://images-na.ssl-images-amazon.com/images/I/91occmUO1UL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.185Z"
"B08X94JGJ1","Valentines Day Nuts Gift Basket - Assortment of Sweet & Roasted Salted Gourmet Nuts - Romantic Food Gift Box for Him, Husband, Christmas, Fathers Day, Mothers Day, Sympathy, Family, Men & Women","$26.95","4.5","7086","","Grocery & Gourmet Food","4131","Fruit & Nut Gifts","3","","","3","1","FBA","$309,759.13","12,628","https://www.amazon.com/dp/B08X94JGJ1","https://images-na.ssl-images-amazon.com/images/I/919ORz0v6IL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.186Z"
"B006GL6N9E","A Gift Inside Classic Fresh Fruit Basket Gift with Crackers, Cheese and Nuts for Holiday, Thank You, Birthday, Get Well, Anniversary, Corporate","$38.95","4.3","7738","","Grocery & Gourmet Food","4873","Fruit & Nut Gifts","4","","","7","9","AMZ","$321,401.57","7,633","https://www.amazon.com/dp/B006GL6N9E","https://images-na.ssl-images-amazon.com/images/I/91RYbyaEdYL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.187Z"
"B01LOZ311O","NUT CRAVINGS - Valentines Day Mixed Nuts Gift Basket in Red Gold Box (7 Assortments, 1 LB) Treats for Adults, Food Arrangement, Healthy Snack Care Package, Kosher","$29.97","4.2","10153","","Grocery & Gourmet Food","5005","Fruit & Nut Gifts","5","","","12","1","FBA","$182,579.86","6,501","https://www.amazon.com/dp/B01LOZ311O","https://images-na.ssl-images-amazon.com/images/I/61deH2hQcjL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.188Z"
"B07CHSN691","BONNIE AND POP - Dried Fruit Gift Basket - Healthy Gourmet Snack Box - Holiday Food Tray - Variety Snacks - Birthday, Sympathy, Mom, Dad, Corporate Tray - Bonnie & Pop","$36.45","4.5","11655","","Grocery & Gourmet Food","5510","Fruit & Nut Gifts","6","","","5","1","FBA","$217,027.96","5,571","https://www.amazon.com/dp/B07CHSN691","https://images-na.ssl-images-amazon.com/images/I/71baxHB-fYL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.189Z"
"B0861QZN6C","Nut Gift Basket, in Reusable Wooden Crate, Healthy Gift Option, Gourmet Snack Food Box, with Unique Flavors, Great for Feel Better, Sympathy & Birthday- Bonnie & Pop","$29.99","4.6","3967","","Grocery & Gourmet Food","5401","Fruit & Nut Gifts","8","","","5","1","FBA","$181,838.18","5,261","https://www.amazon.com/dp/B0861QZN6C","https://images-na.ssl-images-amazon.com/images/I/71DN-WxErrL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.190Z"
"B08L8FD9M7","NUT CRAVINGS Gourmet Collection - Christmas Treats Nuts Gift Basket with Happy Holiday Ribbon in Reusable Wooden Tray (12 Assortments) Food Arrangement, Healthy Snack Care Package, Kosher","$44.97","4.3","4437","","Grocery & Gourmet Food","8027","Fruit & Nut Gifts","7","","","8","1","FBA","$41,802.43","1,262","https://www.amazon.com/dp/B08L8FD9M7","https://images-na.ssl-images-amazon.com/images/I/919GT1OwNcL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.192Z"
"B0FK8RLX83","Niro Gift Basket Trail Mix Snacks Variety Pack for Adults, 20-Pack of 20 Different Healthy Snacks for Adults, Individually Wrapped Nut and Mix Assortment for On-The-Go Snacking","$26.99","4.6","68","","Grocery & Gourmet Food","8372","Fruit & Nut Gifts","9","","","2","1","FBA","$69,325.82","1,952","https://www.amazon.com/dp/B0FK8RLX83","https://images-na.ssl-images-amazon.com/images/I/917vb8xaXeL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.195Z"
"B0813ZQQL6","NUT CRAVINGS - Valentines Day Dried Fruit & Mixed Nuts Gift Basket in Reusable Wooden Tray + Ribbon (12 Assortments) Food Arrangement, Healthy Snack Care Package, Kosher","$34.37","4.3","5863","","Grocery & Gourmet Food","11132","Fruit & Nut Gifts","10","","","5","1","FBA","$120,749.84","3,683","https://www.amazon.com/dp/B0813ZQQL6","https://images-na.ssl-images-amazon.com/images/I/91cLr6XovyL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.196Z"
"B09GYLVDVB","Valentines Day Gifts for Him - 6 Gourmet Nut Snacks, Birthday Gifts for Men, Dad, Husband, Adults, Snack Box, Variety Food Basket, Unique Gift Idea for Family, Healthy Snack Pack","$32.95","4.5","1080","","Grocery & Gourmet Food","12415","Fruit & Nut Gifts","12","","","1","1","FBA","$60,473.74","1,729","https://www.amazon.com/dp/B09GYLVDVB","https://images-na.ssl-images-amazon.com/images/I/914K+ZdrvVL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.197Z"
"B0BCKYXPSV","Niro Gift Basket Assortment | Individual Nuts Snack Packs, Trail Mix Individual Packs Bulk - 30 Packs Mix Nuts Kit - Salted Cashews, Roasted & Unsalted Almonds","$39.60","4.6","138","","Grocery & Gourmet Food","12238","Fruit & Nut Gifts","11","","","2","1","FBA","$74,065.12","1,527","https://www.amazon.com/dp/B0BCKYXPSV","https://images-na.ssl-images-amazon.com/images/I/71sn6ImrNDL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.198Z"
"B0BRYN42RF","Dried Fruit & Nuts Gift Basket Arrangement Platter, Gourmet Food Snack Box, Gift Basket, Birthday Care Package, Healthy Kosher - Her Him - 12 Snackberry Assortment (Single)","$26.99","4.2","761","","Grocery & Gourmet Food","12503","Fruit & Nut Gifts","13","","","6","2","FBA","$41,835.12","999","https://www.amazon.com/dp/B0BRYN42RF","https://images-na.ssl-images-amazon.com/images/I/81Fyaq+7A6L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.199Z"
"B07Q6ZD19B","Oh! Nuts Dried Fruit and Nut Gift Basket - XL 18 Variety Gourmet Assorted Fruits and Nuts Gift Baskets - Holiday Gift Box - Food Snack Box for Birthday, Corporate - Gift for Men, Women","$54.99","4.5","2982","","Grocery & Gourmet Food","14899","Fruit & Nut Gifts","17","","","3","1","FBA","$236,261.97","4,294","https://www.amazon.com/dp/B07Q6ZD19B","https://images-na.ssl-images-amazon.com/images/I/81JVqlCDM0L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.200Z"
"B00F34772M","A Gift Inside Sweet Bloom Dried Fruit Deluxe Tray Basket Arrangement for Holiday Birthday Healthy Snack Business Kosher","$26.94","4.3","3047","","Grocery & Gourmet Food","14381","Fruit & Nut Gifts","14","","","1","1","AMZ","$42,867.71","1,406","https://www.amazon.com/dp/B00F34772M","https://images-na.ssl-images-amazon.com/images/I/81TRZn27d0L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.202Z"
"B0CK2VF4PQ","Nuts.com – Sweet and Salty Gift Tray for Winter, Valentine's Day and Festive Gifts — Healthy Snack Sampler Box, 1.25 Lbs of Roasted Cashews, Peanuts, Chocolate-Covered Raisins","$34.99","4.4","337","","Grocery & Gourmet Food","14478","Fruit & Nut Gifts","15","","","7","1","FBA","$24,610.30","642","https://www.amazon.com/dp/B0CK2VF4PQ","https://images-na.ssl-images-amazon.com/images/I/91eBN-A3lHL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.203Z"
"B01ANCEG5O","A Gift Inside Milk Madness Chocolate Dipped Strawberries - 12 Berries for Valentine's Day, Birthday, Thank You","$44.95","4.4","1912","","Grocery & Gourmet Food","22387","","","","","3","1","AMZ","$10,184.32","240","https://www.amazon.com/dp/B01ANCEG5O","https://images-na.ssl-images-amazon.com/images/I/71DYQNRvcyL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.204Z"
"B0GGDKYYMK","Laumière Gourmet Fruits – Lunar New Year Collection - Square (16 Pcs) – Gong Xi Fa Cai – Chinese New Year Good Luck Candy – Premium Dry Fruits and Nuts Gift Box - No Added Sugar - Gluten Free Basket","$24.95","4.2","72","","Grocery & Gourmet Food","15861","Fruit & Nut Gifts","18","","","3","1","FBA","$2,742.07","72","https://www.amazon.com/dp/B0GGDKYYMK","https://images-na.ssl-images-amazon.com/images/I/61NdmfXIAjL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.205Z"
"B0F1DZ4NY8","Dried Fruit Gift Basket - 7 Tropical Flavor Valentines Day Gifts | 12.5oz Soft Dried Fruit and Nuts Gift Basket - Dried Fruit Basket Gift - Dry Fruits Gift Box | Valentines Basket Ramadan Gift Basket","$22.95","4.3","185","","Grocery & Gourmet Food","15993","Fruit & Nut Gifts","19","","","2","1","FBA","$9,021.36","421","https://www.amazon.com/dp/B0F1DZ4NY8","https://images-na.ssl-images-amazon.com/images/I/810NCNQn++L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.206Z"
"B08DT16DJK","Valentines Day Dried Fruit & Nuts Gift Basket - Fresh Dried Fruit & Nuts Gift Basket - Romantic Food Gift Box for Him, Husband, Christmas, Fathers Day, Mothers Day, Sympathy, Family, Men & Women","$29.95","4.1","2272","","Grocery & Gourmet Food","18990","Fruit & Nut Gifts","23","","","1","1","FBA","$60,972.64","2,146","https://www.amazon.com/dp/B08DT16DJK","https://images-na.ssl-images-amazon.com/images/I/81BGkaFeUTL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T07:22:21.207Z"
