asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B0771L5HN5","Corner Protector for Baby, Protectors Guards, Furniture Corner Guard & Edge Safety Bumpers - Baby Proof Bumper Cushion - Clear & Transparent (12 Pack)","$9.98","4.5","59049","","Baby","91","Furniture Corner & Edge Safety Bumpers","1","","","3","2","FBA","$302,825.07","27,217","https://www.amazon.com/dp/B0771L5HN5","https://images-na.ssl-images-amazon.com/images/I/817-ee9KSuL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.319Z"
"B0B2TRVB9R","Roving Cove Slimfit Corner Edge Protector for Baby Proofing (Small 15ft Edge 4 Corners), Furniture Safety Bumper Guard, Soft NBR Rubber Foam, 3M Adhesive, Oyster White (Off White)","$16.99","4.5","35581","","Baby","188","Furniture Corner & Edge Safety Bumpers","2","","","16","1","FBA","$303,358.38","14,161","https://www.amazon.com/dp/B0B2TRVB9R","https://images-na.ssl-images-amazon.com/images/I/61MoKaSRq7L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.322Z"
"B00JU3JMHK","Roving Cove HeftyFit Corner Protector for Baby (4 Large Corners), Heavy-Duty Soft Rubber Foam Furniture Corner Bumper Guards, 3M Adhesive Pre-Taped, Onyx Black","$6.89","4.6","16686","","Baby","248","Furniture Corner & Edge Safety Bumpers","3","","","16","1","FBA","$115,339.93","14,787","https://www.amazon.com/dp/B00JU3JMHK","https://images-na.ssl-images-amazon.com/images/I/61dIhLKsBHL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.323Z"
"B09YM39DKP","8 pack Corner Protector for Baby, Clear Corner Protectors , Furniture Corner Guard & Edge Safety Bumpers , Baby Proof Bumper , Furniture & Table Edges Furniture & Sharp Corners Baby Proofing (L Shape)","$5.69","4.4","6954","","Baby","276","Furniture Corner & Edge Safety Bumpers","4","","","10","1","FBA","$83,282.57","11,717","https://www.amazon.com/dp/B09YM39DKP","https://images-na.ssl-images-amazon.com/images/I/61dZJNysAeL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.324Z"
"B086Z5B5B5","Roving Cove HeftyFit Edge Protector for Baby Proofing (6ft Large Edge Only), Heavy-Duty Soft Furniture Edge Bumper Guards, Desk Edge Cushion, Wall Corner Covers, 3M Adhesive, Oyster White (Off White)","$9.99","4.4","6315","","Baby","480","Furniture Corner & Edge Safety Bumpers","5","","","16","1","FBA","$107,825.40","8,885","https://www.amazon.com/dp/B086Z5B5B5","https://images-na.ssl-images-amazon.com/images/I/71unfXOev2L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.325Z"
"B0B3SK7RM8","Corner Protectors for Baby (12 Pack) - Patented - New & Improved Edge Protector for Baby – Transparent Corner Protectors - Baby Safety Products to Baby Proof Corners and Edges","$8.99","4.5","3783","","Baby","610","Furniture Corner & Edge Safety Bumpers","6","","","1","1","FBA","$85,054.68","8,694","https://www.amazon.com/dp/B0B3SK7RM8","https://images-na.ssl-images-amazon.com/images/I/7160TADl38L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.326Z"
"B09M9S8F1Q","12 Pack Soft Corner Protector Baby Proofing Edge and Corner Guards, Safety Pre-Taped Rubber Foam Furniture Bumper for Fireplace, Table, Stair, Cabinet (Black)","$9.99","4.5","3101","","Baby","670","Furniture Corner & Edge Safety Bumpers","7","","","4","1","FBA","$68,538.88","6,861","https://www.amazon.com/dp/B09M9S8F1Q","https://images-na.ssl-images-amazon.com/images/I/61x71tnehPL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.327Z"
"B0D3V6WD71","Rindion 40 Pack Corner Protector Baby, 2 Shapes Baby Proof Corners and Edges, Clear Table Corner Covers Baby, Baby Corner Protector Guards, Corner Guards for Table Edges & Sharp Corners","$6.99","4.4","721","","Baby","1239","Furniture Corner & Edge Safety Bumpers","8","","","3","1","FBA","$30,073.74","4,272","https://www.amazon.com/dp/B0D3V6WD71","https://images-na.ssl-images-amazon.com/images/I/71upeZIa+GL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.328Z"
"B0C3VN69FC","20 Pack Corner Protector Baby, Table Corner Protectors for Baby Guards Clear for Furniture Corner Protectors Proof Covers Baby Safety","$7.99","4.5","2221","","Baby","1372","Furniture Corner & Edge Safety Bumpers","9","","","3","1","FBA","$36,119.37","4,410","https://www.amazon.com/dp/B0C3VN69FC","https://images-na.ssl-images-amazon.com/images/I/71rAT9bt+ML._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.329Z"
"B07735SH26","Jool Baby Door Pinch Guards (6 Pack) – Slam Preventer – Babyproof Doors to Avoid Pinched Fingers & Door Slamming, Keep Pets from Getting Locked in","$9.99","4.7","5674","","Baby","1862","Furniture Corner & Edge Safety Bumpers","10","","","1","2","FBA","$26,456.76","2,847","https://www.amazon.com/dp/B07735SH26","https://images-na.ssl-images-amazon.com/images/I/5139aO23wTL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.330Z"
"B0D83XYHSV","1.57 in x 9.84 FT,Corner Protector Baby,Clear Edge Protector Strip,Sharp Edge Wrap Cover Tape,Self Adhesive Protective Bumper Guards for Cabinet Door,Desk,Glass Table,Bed Furniture and Wall","$12.99","4.2","570","","Baby","1928","Furniture Corner & Edge Safety Bumpers","11","","","12","1","FBA","$39,519.11","2,817","https://www.amazon.com/dp/B0D83XYHSV","https://images-na.ssl-images-amazon.com/images/I/717GkHz-FzL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.331Z"
"B0DZVVV6F3","Cabinet Protectors for Kitchen Cabinets, Cabinet Door Protector Trash Drawer Protector Edge Guard, Plastic Slip on Protectors for Cabinets– 3/4"" Thick, 18"" Length","$6.99","4.4","217","","Baby","2034","Furniture Corner & Edge Safety Bumpers","12","","","5","1","FBA","$31,524.66","3,291","https://www.amazon.com/dp/B0DZVVV6F3","https://images-na.ssl-images-amazon.com/images/I/41wFW2MSRrL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.333Z"
"B0BD4TFPRX","Baby Proofing Corner Protector Baby: 12 Pack Table Corner Protectors for Baby Furniture Guards| Baby Proof Corner Protectors to Cover Sharp Furniture","$5.97","4.4","3268","","Baby","2201","Furniture Corner & Edge Safety Bumpers","13","","","8","1","FBA","$22,280.26","3,349","https://www.amazon.com/dp/B0BD4TFPRX","https://images-na.ssl-images-amazon.com/images/I/71w4F-Y8LmL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.334Z"
"B0DC6MCPP9","Edge Protector 100% Silicone, Baby Proofing Thin Corners Clear Guards, Pre-Tape Adhesive Soft for Kids Safety, Child Table Cabinets Furniture Bumper (2/5x2/5 in (Thin Width), 12 FT)","$17.15","4.3","1764","","Baby","2314","Furniture Corner & Edge Safety Bumpers","14","","","6","1","FBA","$59,874.56","3,882","https://www.amazon.com/dp/B0DC6MCPP9","https://images-na.ssl-images-amazon.com/images/I/51qG3MkrazL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.336Z"
"B01MQIEWCV","Baby Proof Corners and Edges with Furniture Corner & Edge Safety Bumpers, Impact-Absorbent 18ft Bumper & 8 Foam Corner Protectors, Cushy, Thick, Odorless Table Edge Protectors for Baby, Child | Black","$21.78","4.4","3669","","Baby","2332","Furniture Corner & Edge Safety Bumpers","15","","","4","1","FBA","$43,036.39","1,976","https://www.amazon.com/dp/B01MQIEWCV","https://images-na.ssl-images-amazon.com/images/I/71g81qCd0WL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.337Z"
"B07CNS8W5Y","12 Pack Corner Protector Baby Corner Guards Furniture Corners & Edges Safety Bumpers Corner Covers Baby Safety for Sharp Edges","$5.69","4.2","12044","","Baby","2339","Furniture Corner & Edge Safety Bumpers","16","","","26","1","FBA","$28,246.46","3,299","https://www.amazon.com/dp/B07CNS8W5Y","https://images-na.ssl-images-amazon.com/images/I/71Bel+XUIfL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.339Z"
"B0DLL1Q58L","Snugly Fit 18"" Length Cabinet Door Protector, Flexible Slip-On Plastic Edge Guard, Thin Transparent Edge Protectors to Prevent Wear, Chipping, Discoloration, Cabinet Bumpers, 3/4"" Thick, 2 PCS","$5.99","4.6","709","","Baby","2404","Furniture Corner & Edge Safety Bumpers","17","","","7","1","FBA","$22,903.22","2,819","https://www.amazon.com/dp/B0DLL1Q58L","https://images-na.ssl-images-amazon.com/images/I/61Yl0Czzb8L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.341Z"
"B08SQJYHRB","Baby Proofing Edge Corner Protector, 20.5 ft (18.1ft Edge + 8 Corners) Baby Proof Corner Guards ,Thick Table Bumper Guard, 3M Pre-Taped Corners, Soft Rubber Foam Guard Heavy-Duty…","$13.69","4.4","1802","","Baby","2812","Furniture Corner & Edge Safety Bumpers","18","","","1","2","FBA","$25,721.99","1,879","https://www.amazon.com/dp/B08SQJYHRB","https://images-na.ssl-images-amazon.com/images/I/61V3BE9sHxL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.343Z"
"B08PKJYK1J","Angloria Edge Protector 100% Silicone, Baby Proofing Clear Table Corners Guards, Pre-Taped Adhesive Soft for Kids Proof Safety, Wall Furniture Bumper","$12.99","4.4","2000","","Baby","2854","Furniture Corner & Edge Safety Bumpers","19","","","6","1","FBA","$32,725.59","1,522","https://www.amazon.com/dp/B08PKJYK1J","https://images-na.ssl-images-amazon.com/images/I/718CiMOTnML._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.344Z"
"B0B6PX74HS","8-Pack Corner Protectors Baby Proof, Furniture Corner and Edge Safety Bumpers, Soft Rubber Foam Cushion Covers, 3M Taped Corner Guards, Baby Child Proofing Pads, Table Corner Protectors, Brown","$9.49","4.5","1394","","Baby","2877","Furniture Corner & Edge Safety Bumpers","20","","","10","1","FBA","$15,655.18","1,617","https://www.amazon.com/dp/B0B6PX74HS","https://images-na.ssl-images-amazon.com/images/I/61yb25hQcdL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.345Z"
"B0CJHQMD8D","Edge Corner Protector Baby Proofing 6.6ft (2M) with 8 Corners, Clear Soft Corner Protectors Baby Proof, Furniture Corner Guard & Edge Safety, Edge Protector for Table and Fireplace","$7.99","4.2","835","","Baby","2883","Furniture Corner & Edge Safety Bumpers","21","","","3","1","FBA","$20,774.79","1,891","https://www.amazon.com/dp/B0CJHQMD8D","https://images-na.ssl-images-amazon.com/images/I/71KIC6EA1yL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.347Z"
"B0B7R1M9GJ","Corner Protectors Baby Proofing, Clear Edge Protector Strip, Soft Corner Protectors for Kids, Baby Child Safety Tables Corner Guards for Furniture Against Sharp Corners for Cabinets, Tables 3.3ft","$5.13","4.1","1854","","Baby","2968","Furniture Corner & Edge Safety Bumpers","22","","","5","1","FBA","$11,967.94","1,497","https://www.amazon.com/dp/B0B7R1M9GJ","https://images-na.ssl-images-amazon.com/images/I/71Waknx76UL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.349Z"
"B0DBRZFVQX","Furniture Corner & Edge Safety Bumpers, 16ft Edge Protector & 4 Clear Corner Protector Baby Proofing. Clear Corner Guards for Corner Table Protector for Kids. Cabinet Edge Protector & Corner Bumpers","$18.99","4.4","3219","","Baby","2979","Furniture Corner & Edge Safety Bumpers","23","","","5","1","FBA","$27,715.06","1,459","https://www.amazon.com/dp/B0DBRZFVQX","https://images-na.ssl-images-amazon.com/images/I/71+I8LmpitL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:20:22.351Z"
