asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B08Y9V8TFM","Dermoviva Age Renewal Handwash 3x200 ml, Rejuvenates Ageing Skin, With Chamomile & Nettle Extracts, Buy 2 Get 1 Free","SAR 9.49","4.4","471","","Beauty","16","Hand Wash","1","","","4","2","AMZ","SAR","621","https://www.amazon.sa/dp/B08Y9V8TFM","https://images-eu.ssl-images-amazon.com/images/I/71japyUCFrL._AC_UL900_SR900,600_.jpg","false","false","1","2026-02-22T12:23:09.629Z"
"B0B5PMWV4G","Lux Anti-bacterial Perfumed Hand Wash Refill Pouch Velvet Jasmine, 1000ml","SAR 16.61","4.7","608","","Beauty","26","Hand Wash","2","","","3","5","AMZ","SAR","1,496","https://www.amazon.sa/dp/B0B5PMWV4G","https://images-eu.ssl-images-amazon.com/images/I/51y1qXsRmlL._AC_UL900_SR900,600_.jpg","false","false","1","2026-02-22T12:23:09.630Z"
"B07NF7SP9L","LUX Perfumed Liquid Hand Wash, Velvet Jasmine, with Almond Oil & Glycerin, for Fragrant, Soft and Clean Hands, 250ml","SAR 8.95","4.6","1558","","Beauty","40","Hand Wash","3","","","8","12","AMZ","SAR","1,066","https://www.amazon.sa/dp/B07NF7SP9L","https://images-eu.ssl-images-amazon.com/images/I/715T11gSY-L._AC_UL900_SR900,600_.jpg","false","false","1","2026-02-22T12:23:09.631Z"
"B07MV12R61","Dove Care & Protect Moisturising Hand Wash, 100% sensitive skin friendly, Original, with ¼ moisturising cream, 500ml","SAR 17.47","4.3","1366","","Beauty","80","Hand Wash","4","","","3","2","AMZ","SAR","732","https://www.amazon.sa/dp/B07MV12R61","https://images-eu.ssl-images-amazon.com/images/I/61PsLK2GrwL._AC_UL900_SR900,600_.jpg","false","false","1","2026-02-22T12:23:09.631Z"
"B07MGKYKPS","Mobi Liquid Hand & Body Soap, Romance Dreams, 3 Litre","SAR 25.95","4.6","1200","","Beauty","97","Hand Wash","6","","","2","8","AMZ","SAR","499","https://www.amazon.sa/dp/B07MGKYKPS","https://images-eu.ssl-images-amazon.com/images/I/61D4MtjtqeL._AC_UL900_SR900,600_.jpg","false","false","1","2026-02-22T12:23:09.632Z"
"B09FHZF8B6","Johnson & Johnson Vita-Rich, Moisturizing Hand Wash, Cotton Milk, 300ml","SAR 8.64","4.8","474","","Beauty","95","Hand Wash","5","","","2","4","AMZ","SAR","258","https://www.amazon.sa/dp/B09FHZF8B6","https://images-eu.ssl-images-amazon.com/images/I/61uf0WV3mdL._AC_UL900_SR900,600_.jpg","false","false","1","2026-02-22T12:23:09.633Z"
"B09V4HZZS1","Lifebuoy Hand Wash Refill, Mild Care for 100% Stronger Germ Protection with 10x Moisturizers, 1L","SAR 18.95","4.5","220","","Beauty","166","Hand Wash","13","","","2","4","AMZ","SAR","214","https://www.amazon.sa/dp/B09V4HZZS1","https://images-eu.ssl-images-amazon.com/images/I/51B3I9sQtYL._AC_UL900_SR900,600_.jpg","false","false","1","2026-02-22T12:23:09.634Z"
"B07MCZ8ZF9","Mobi Liquid Hand Soap, Fruit Scent, 3 Litre","SAR 25.95","4.6","1222","","Beauty","134","Hand Wash","9","","","2","10","AMZ","SAR","294","https://www.amazon.sa/dp/B07MCZ8ZF9","https://images-eu.ssl-images-amazon.com/images/I/61aQnySjSlL._AC_UL900_SR900,600_.jpg","false","false","1","2026-02-22T12:23:09.634Z"
"B086SRGT7Q","Gento Liquid Handwash Superior Protection with Moisturizer, Red, 500 ml, FP010563","SAR 9.99","4.6","248","","Beauty","231","Hand Wash","17","","","1","6","AMZ","SAR","447","https://www.amazon.sa/dp/B086SRGT7Q","https://images-eu.ssl-images-amazon.com/images/I/71YQOp-q4vL._AC_UL900_SR900,600_.jpg","false","false","1","2026-02-22T12:23:09.635Z"
"B08RF3HZ3W","CD Cosmo Designs French Lavender Moisturizing Hand Wash Aloe Vera And Vitamin E","SAR 7.24","4.4","99","","Beauty","156","Hand Wash","11","","","1","1","FBA","SAR","246","https://www.amazon.sa/dp/B08RF3HZ3W","https://images-eu.ssl-images-amazon.com/images/I/71C0kpD0fQL._AC_UL900_SR900,600_.jpg","false","false","1","2026-02-22T12:23:09.636Z"
"B07NF8Q787","LUX Perfumed Liquid Hand Wash, Soft Rose, with Almond Oil & Glycerin, for Fragrant, Soft and Clean Hands, 250ml","SAR 8.30","4.6","1015","","Beauty","132","Hand Wash","8","","","4","11","AMZ","SAR","381","https://www.amazon.sa/dp/B07NF8Q787","https://images-eu.ssl-images-amazon.com/images/I/71TkZk3+yTL._AC_UL900_SR900,600_.jpg","false","false","1","2026-02-22T12:23:09.637Z"
"B08MZL9WT2","Lifebuoy Hand Wash Refill, Total 10, for 100% Stronger Germ Protection in 10 seconds, 3L","SAR 64.96","4.4","1012","","Beauty","225","Hand Wash","15","","","2","1","AMZ","SAR","249","https://www.amazon.sa/dp/B08MZL9WT2","https://images-eu.ssl-images-amazon.com/images/I/51pPbwkveuL._AC_UL900_SR900,600_.jpg","false","false","1","2026-02-22T12:23:09.637Z"
"B087K8KBDM","Lux Botanicals Fig Extract & Geranium Oil Hand Wash, 500 ml","SAR 15.99","4.6","565","","Beauty","147","Hand Wash","10","","","5","7","FBA","SAR","944","https://www.amazon.sa/dp/B087K8KBDM","https://images-eu.ssl-images-amazon.com/images/I/616kEAftE6L._AC_UL900_SR900,600_.jpg","false","false","1","2026-02-22T12:23:09.638Z"
"B07NF74H3B","LIFEBUOY Hand Wash, Total 10, for 100 percent stronger germ protection in 10 seconds, 200ml","SAR 4.99","4.6","1981","","Beauty","125","Hand Wash","7","","","10","15","AMZ","SAR","580","https://www.amazon.sa/dp/B07NF74H3B","https://images-eu.ssl-images-amazon.com/images/I/61klMwXJPbL._AC_UL900_SR900,600_.jpg","false","false","1","2026-02-22T12:23:09.639Z"
"B07RGPMQSR","Dettol Skincare Liquid Handwash Pump, Rose & Sakura Blossom Scent, 200ml x 2","SAR 15.34","4.5","457","","Beauty","276","Hand Wash","20","","","1","9","AMZ","SAR","N/A","https://www.amazon.sa/dp/B07RGPMQSR","https://images-eu.ssl-images-amazon.com/images/I/71OaF923jGL._AC_UL900_SR900,600_.jpg","false","false","1","2026-02-22T12:23:09.639Z"
