asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B09HHDHXWX","Amazon Basics Gentle & Mild Clear Liquid Hand Soap Refill, Triclosan-Free, Dermatologist-Tested, pH Balanced, Cruelty-Free, 50 Fluid Ounces, 1-Pack (Previously Solimo)","$4.68","4.6","61332","","Our Brands","8","Hand Wash","1","","","11","1","AMZ","$923,077.10","165,933","https://www.amazon.com/dp/B09HHDHXWX","https://images-na.ssl-images-amazon.com/images/I/61F5elwBZYL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:51:38.054Z"
"B08R8PS5PB","Softsoap Antibacterial Refill 50oz Crisp Clean Scent","$4.70","4.6","18546","","Beauty & Personal Care","89","Foot & Hand Care","1","Hand Wash","2","8","2","AMZ","$496,819.51","60,842","https://www.amazon.com/dp/B08R8PS5PB","https://images-na.ssl-images-amazon.com/images/I/71vEFag8EyL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:51:38.055Z"
"B00F1U0YB4","MRS. MEYER'S CLEAN DAY Liquid Hand Soap Refill, Cruelty Free, Lemon Verbena Scent, 33 oz","$8.69","4.7","46513","","Beauty & Personal Care","132","Hand Wash","3","","","12","48","AMZ","$745,567.38","71,443","https://www.amazon.com/dp/B00F1U0YB4","https://images-na.ssl-images-amazon.com/images/I/71O6EsQ5lqL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:51:38.055Z"
"B084MVWG1F","Dial Antibacterial Liquid Hand Soap, Spring Water, 11 fl oz (Pack of 4)","$9.88","4.8","29088","","Beauty & Personal Care","183","Hand Wash","4","","","5","5","AMZ","$616,932.33","61,559","https://www.amazon.com/dp/B084MVWG1F","https://images-na.ssl-images-amazon.com/images/I/81YvRwzNunL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:51:38.056Z"
"B00262227E","MRS. MEYER'S CLEAN DAY Liquid Hand Soap Refill, Cruelty Free, Lavender Scent, 33 Fl Oz (Pack of 1)","$8.69","4.7","14415","","Beauty & Personal Care","200","Hand Wash","5","","","4","41","AMZ","$301,596.92","25,993","https://www.amazon.com/dp/B00262227E","https://images-na.ssl-images-amazon.com/images/I/71issVjgM+L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:51:38.057Z"
"B07TJG79HP","MRS. MEYER'S CLEAN DAY Hand Soap, Rain Water Scent, 12.5 Fl Oz Bottle - 3 Pack","$13.42","4.8","24151","","Beauty & Personal Care","203","Hand Wash","6","","","3","15","AMZ","$352,829.56","31,942","https://www.amazon.com/dp/B07TJG79HP","https://images-na.ssl-images-amazon.com/images/I/81El19+lcaL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:51:38.058Z"
"B07ZDHQQW1","Dial Antibacterial Defense Foaming Hand Soap + Aloe, Spring Water Scent, 52 Fl Oz Hand Soap Refill, Dermatologist-Tested, Gentle on Skin","$8.99","4.6","20276","","Beauty & Personal Care","223","Hand Wash","7","","","4","1","AMZ","$208,888.42","22,382","https://www.amazon.com/dp/B07ZDHQQW1","https://images-na.ssl-images-amazon.com/images/I/71X3MjMWTCL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:51:38.059Z"
"B0B3S3NGXB","J.R. Watkins Foaming Hand Soap with Pump Dispenser, Moisturizing Foam Hand Wash, Alcohol-Free, Cruelty-Free, Citron, 9 fl oz, 3 Pack","$10.44","4.6","8145","","Beauty & Personal Care","452","Hand Wash","8","","","16","2","AMZ","$398,988.03","30,168","https://www.amazon.com/dp/B0B3S3NGXB","https://images-na.ssl-images-amazon.com/images/I/71FkjLCf38L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:51:38.059Z"
"B07MFMWFYL","MRS. MEYER'S CLEAN DAY Hand Soap Refill, Rain Water Scent, 33 Fl Oz Bottle","$8.77","4.8","6979","","Beauty & Personal Care","701","Hand Wash","9","","","2","21","AMZ","$345,225.42","41,418","https://www.amazon.com/dp/B07MFMWFYL","https://images-na.ssl-images-amazon.com/images/I/718F1uVBhiL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:51:38.060Z"
"B0020VJTDG","MRS. MEYER'S CLEAN DAY Hand Soap Refill, Made with Essential Oils, Basil, 33 fl. oz","$8.77","4.7","42564","","Beauty & Personal Care","717","Hand Wash","10","","","2","20","AMZ","$105,092.14","11,983","https://www.amazon.com/dp/B0020VJTDG","https://images-na.ssl-images-amazon.com/images/I/71BktqYe2ML._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:51:38.061Z"
"B0BV122GGY","Dove Advanced Care Hand Wash Deep Moisture 4 Count for Soft, Smooth Skin, More Moisturizers than the Leading Ordinary Hand Soap, 12 oz","$21.83","4.7","11252","","Beauty & Personal Care","728","Hand Wash","11","","","13","1","AMZ","$479,343.15","28,323","https://www.amazon.com/dp/B0BV122GGY","https://images-na.ssl-images-amazon.com/images/I/71pACwmKzxL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:51:38.063Z"
