asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B0CYCL5T9F","Ozone Generator 45,000mg/h, Industrial O3 Deodorizer for Areas of 2500 Square Feet - High Capacity Ozone Machine Air Ionizer Odor Clean","$40.60","4.8","2348","","Home & Kitchen","1947","Home Air Ionizers","1","","","1","2","FBA","$314,850.76","5,387","https://www.amazon.com/dp/B0CYCL5T9F","https://images-na.ssl-images-amazon.com/images/I/71OJU4+xf3L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.920Z"
"B0DK2YVGQR","Ozone Generator 48,000mg, Commercial Ozone Machine Odor Removal, High Capacity O3 Ionizer Air Purifier Deodorizer, Portable Mini for Car, Home, Smoke, Pets, Industrial, for 4000 Square Feet -Black","$64.31","4.6","1027","","Home & Kitchen","2195","Home Air Ionizers","2","","","2","1","AMZ","$312,805.02","7,721","https://www.amazon.com/dp/B0DK2YVGQR","https://images-na.ssl-images-amazon.com/images/I/71HWCR0HSWL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.921Z"
"B0F83XMKHC","LabCharge Small Ionic Air Purifier for Home & Bedroom – Silent HEPA Filter – Covers 250 Sq Ft - Free Cleaner for Pets, Hair, Smoke, Dust, Odors & Dander – Compact & Black Design - Pack of 2","$89.99","4.1","469","","Home & Kitchen","9894","Home Air Ionizers","3","","","3","1","FBA","$225,212.60","2,541","https://www.amazon.com/dp/B0F83XMKHC","https://images-na.ssl-images-amazon.com/images/I/61c8CfkM8UL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.921Z"
"B0D54RSQLS","Air Ionizers for Home (3 Pack), Negative Ion Generator, Quiet Air Freshener for Bedroom, Office, Kitchen, Portable Air Filter Odor, Smoke Dust, Pets, Eliminator, Mini Air Cleaner","$29.99","4.1","634","","Home & Kitchen","18072","Home Air Ionizers","4","","","3","3","FBA","$46,192.36","1,445","https://www.amazon.com/dp/B0D54RSQLS","https://images-na.ssl-images-amazon.com/images/I/71OHuE8pmYL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.922Z"
"B0G5N4CMFM","2026 Upgraded Air Ionizers for Home & Dust Mites Plug in Air Purifier with Negative Ion Generator, Quiet Odor Eliminator for Bedroom, Office, Kitchen, Pet Odor, Smoke, Dust,8 Pack","","5.0","7","","Home & Kitchen","21328","Home Air Ionizers","5","","","4","1","FBA","$14,854.24","304","https://www.amazon.com/dp/B0G5N4CMFM","https://images-na.ssl-images-amazon.com/images/I/61igycU2vaL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.923Z"
"B00JAP7388","Enerzen Ozone Generator 60,000mg Industrial O3 Air Purifier Deodorizer (60,000mg - Black)","$74.95","4.6","26533","","Home & Kitchen","26022","Home Air Ionizers","6","","","3","1","FBA","$140,997.82","1,203","https://www.amazon.com/dp/B00JAP7388","https://images-na.ssl-images-amazon.com/images/I/61ZcJLVApfL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.924Z"
"B0795P2674","Airthereal MA5000 Commercial Ozone Generator, High Capacity Ozone Machine Odor Removal - Home Air Ionizers O3 Deodorizer for Rooms, Smoke, Cars and Pets, Eliminate Odors up to 2000sq.ft., Blue","$69.99","4.6","7655","","Home & Kitchen","29686","Home Air Ionizers","7","","","4","2","FBA","$84,889.25","1,507","https://www.amazon.com/dp/B0795P2674","https://images-na.ssl-images-amazon.com/images/I/71Y+RuT49iL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.924Z"
"B0DFTHNWWW","Medvoe 0zone Generator 65000mg - O3 Air Purifier for Home & Car, Ozone Machine Odor Removal for Smoke & Pet (Black)","$49.98","4.5","1379","","Home & Kitchen","32983","Home Air Ionizers","8","","","4","4","FBA","$95,040.35","1,461","https://www.amazon.com/dp/B0DFTHNWWW","https://images-na.ssl-images-amazon.com/images/I/61SRSyFih2L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.925Z"
"B0F1F6JS4D","6Pack Air Ionizer Plug In, Filterless Home Negative Air Purifier, Quiet Air Freshener Portable Cleaner for Odors Smoke Dust, Air Purifiers for Home Office, Bedroom, Bathroom","$45.99","4.2","253","","Home & Kitchen","34478","Home Air Ionizers","9","","","2","1","FBA","$34,755.46","725","https://www.amazon.com/dp/B0F1F6JS4D","https://images-na.ssl-images-amazon.com/images/I/71sa4z+x+mL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.926Z"
"B0GF23HW7T","2Pcs Indoor Air Purification Dust Removal Magic Box,Multi-Functional Air Magic Box,Automatic Dust Collection Air Box for Home,Odor Eliminator Air Freshener,Automatic Air Essence Box for Home,Bathroom","$28.99","4.2","2","","Home & Kitchen","41284","Home Air Ionizers","10","","","1","1","FBA","$5,959.42","260","https://www.amazon.com/dp/B0GF23HW7T","https://images-na.ssl-images-amazon.com/images/I/71F8cqTHvpL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.926Z"
"B0FC6BMNZP","Morrerfresh Cat Litter Deodorizer – 99% Odor Eliminator for Strong Pet Odors, Plug In Negative Ion Air Purifier for Litter Box, Home, Kitchen, Bathroom, Ozone-Free & Quiet Portable (Unscented)","$29.99","3.9","853","","Home & Kitchen","41426","Home Air Ionizers","11","","","3","1","FBA","$56,689.45","1,667","https://www.amazon.com/dp/B0FC6BMNZP","https://images-na.ssl-images-amazon.com/images/I/51qb4NzkT8L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.927Z"
"B0FPKPWVBT","Morrerfresh Cat Litter Deodorizer & Pet Odor Eliminator for Home, Ozone Air Purifier Plug in for Strong Dog Poof, Litter Box Deodorizer with 5 Mode for Smoke, Wardrobe, Garage, Car","$39.99","4.7","63","","Home & Kitchen","43255","Home Air Ionizers","12","","","2","1","FBA","$47,471.95","1,161","https://www.amazon.com/dp/B0FPKPWVBT","https://images-na.ssl-images-amazon.com/images/I/61xDgImjXSL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.928Z"
"B0D2Q9XCV1","PowerScale Ozone Generator 90,000mg/h O3 Intelligent Control Ozone Odor Eliminator Commercial Ozone Machine Odor Removal, For Home, Car, Pet Room - High Capacity Ionizer Ozone Air Purifier, Black","$47.99","4.6","595","","Home & Kitchen","44467","Home Air Ionizers","13","","","3","1","FBA","$89,154.33","1,211","https://www.amazon.com/dp/B0D2Q9XCV1","https://images-na.ssl-images-amazon.com/images/I/71k48wWc1WL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.929Z"
"B0FC5WKTTT","Plug in Air Ionizers 60 Million Negative Ions Out Put, 2 in 1 Ozone Odor Eliminator and Air Ionizers for Home, Kitchen, Bedroom, Office, Mini Air Cleaner for Dust, Smoke, Pets, 2 Pack","$45.99","4.5","40","","Home & Kitchen","47329","Home Air Ionizers","14","","","1","1","FBA","$2,917.38","49","https://www.amazon.com/dp/B0FC5WKTTT","https://images-na.ssl-images-amazon.com/images/I/71vtQkGwlJL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.929Z"
"B0CLHWTJ22","Morrerfresh Ozone Odor Eliminator for Strong Odor 99% Cat Litter Deodorizer Dog Poof Odor Removal Air Ionizers for Home Portable Air Purifier for Pets Toilet Wardrobe Shoe Garage Room Cabinet White","$38.99","4.2","721","","Home & Kitchen","51831","Home Air Ionizers","15","","","1","2","FBA","$34,261.20","1,009","https://www.amazon.com/dp/B0CLHWTJ22","https://images-na.ssl-images-amazon.com/images/I/71qft4KbE9L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.930Z"
"B09GFWRW9N","ONAMOR Ozone Generator 77000mg, Ozone Machine Ionizer O3 Deodorizer for Home, Basement, Smoke, and Pet Room (Eliminating Odors Area up to 4000 Square Feet, All Metallic Black)","$39.99","4.5","1688","","Home & Kitchen","52292","Home Air Ionizers","16","","","2","1","FBA","$52,260.83","1,187","https://www.amazon.com/dp/B09GFWRW9N","https://images-na.ssl-images-amazon.com/images/I/71UV3IotgLL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.931Z"
"B0DKNS19HX","Ozone Odor Eliminator for Strong Odor 99% Cat Litter Deodorizer Pets Poof Odor Removal Air Ionizers Home Plug-in Air Purifier for Bedroom, Toilet, Kitchen, Shoe, Smoke, Formaldehyde Air Freshener","$31.98","4.3","1111","","Home & Kitchen","20358","Home Air Ionizers","17","","","2","1","FBA","$36,974.30","1,229","https://www.amazon.com/dp/B0DKNS19HX","https://images-na.ssl-images-amazon.com/images/I/71Cg1mGCjVL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.932Z"
"B0FZKB8KQV","2026 New Plug in Air Purifiers Air Ionizers for Dust Mites, Odor Eliminator for Home with Negative Ion Generator, Quiet Portable Air Freshener Plug In for Bedroom,Office,Kitchen,Smoke,Dust (8Pack)","$59.98","5.0","25","","Home & Kitchen","37649","Home Air Ionizers","18","","","2","1","FBA","$60.74","1","https://www.amazon.com/dp/B0FZKB8KQV","https://images-na.ssl-images-amazon.com/images/I/61+RMdgrnxL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.933Z"
"B0CHJCGPLQ","Ozone Generator 68,000mg/h, Commercial Ozone Machine Odor Removal, High Capacity Ozone Machine, Home Ozone Generator for Car, Home, Smoke, Pet, etc (Black) - by TTDMK","$37.98","4.5","2158","","Home & Kitchen","53503","Home Air Ionizers","19","","","6","2","FBA","$47,896.40","1,015","https://www.amazon.com/dp/B0CHJCGPLQ","https://images-na.ssl-images-amazon.com/images/I/71vglX7jB1L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.933Z"
"B0FJRYY3R4","PVACG 4Pack Plug In Air Purifier for Home Mini Ionic Air Purifier for Small Room Quiet Working Air Ionizers for Home,Office, Bedroom,Living Room,Portable Air Freshener for Odor,Pets Smell(4)","$34.99","4.8","48","","Home & Kitchen","55986","Home Air Ionizers","20","","","5","2","FBA","$13,248.86","379","https://www.amazon.com/dp/B0FJRYY3R4","https://images-na.ssl-images-amazon.com/images/I/61xUNDIqYTL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.934Z"
"B0G3PF49NC","Air Purifier Ozone & Negative Ion 99% Odor Eliminator for Pet,Cat Litter Deodorizer,Dog Poop Odor Removal | Plug-In Air Ionizer Ozone Generator Air Purifier for Home, Pets, Cars,Bedroom-White","$37.31","4.9","35","","Home & Kitchen","57467","Home Air Ionizers","21","","","4","1","FBA","$16,710.57","445","https://www.amazon.com/dp/B0G3PF49NC","https://images-na.ssl-images-amazon.com/images/I/51+J6txYJVL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.935Z"
"B0G52581WZ","2026 Upgraded Air Ionizers for Dust Mites Plug in Air Purifier with Negative Ion Generator Quiet Odor Eliminator for Home, Bedroom, Office, Kitchen, Pet Odor, Smoke, Dust,6 Pack(Black)","$45.99","5.0","18","","Home & Kitchen","58666","Home Air Ionizers","22","","","3","1","FBA","$91.98","2","https://www.amazon.com/dp/B0G52581WZ","https://images-na.ssl-images-amazon.com/images/I/61JaUNxqtEL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.936Z"
"B0CZ8WQ739","ONAMOR Ozone Generator Odor Eliminator 70000mg, High Capacity Ozone Machine Odor Removal Up to 6000 Sq.Ft, Ionizer Ozonator for Smoke, Car, Basement And Pet Room, Black","$49.99","4.6","759","","Home & Kitchen","61050","Home Air Ionizers","23","","","2","1","FBA","$58,728.93","1,194","https://www.amazon.com/dp/B0CZ8WQ739","https://images-na.ssl-images-amazon.com/images/I/71z8HSCIOuL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.937Z"
"B0F6NFB6CK","HHGM 198,000mg/h Dual-Fan Ozone Machine Generator High Capacity Ozone Odor Eliminator Odor Removal Air Purifier Ionizer & Deodorizer for Car, Home, Smoke, Pets, Industrial, Basement, Commercial","$93.39","4.5","467","","Home & Kitchen","63920","Home Air Ionizers","24","","","3","2","FBA","$56,106.73","803","https://www.amazon.com/dp/B0F6NFB6CK","https://images-na.ssl-images-amazon.com/images/I/71S-x73S6aL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.938Z"
"B00FBMJK9Y","OION Technologies B-1000 Permanent Filter Ionic Air Purifier Pro Ionizer with UV-C, New","","4.1","13666","","Home & Kitchen","64076","Home Air Ionizers","25","","","1","1","FBA","$69,900.50","699","https://www.amazon.com/dp/B00FBMJK9Y","https://images-na.ssl-images-amazon.com/images/I/61Uujew57NL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.939Z"
"B0F83PJLN9","2026 Upgraded Ozone Generator, High Capacity Ozone Machine Odor Removal Up to 6000 Sq.Ft, for Car/Home/Smoke/Pet Odor, Black","$59.99","4.6","232","","Home & Kitchen","64625","Home Air Ionizers","26","","","3","1","FBA","$50,090.68","989","https://www.amazon.com/dp/B0F83PJLN9","https://images-na.ssl-images-amazon.com/images/I/81DYK-SPAzL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.939Z"
"B0F2J1JK9Y","Ozone Generator 160,000mg/H with Temp/Humidity Display - 120 Min Timer O3 Ionizer Air Purifier for Large Spaces (5000 Sq.Ft) - Upgraded Ozone Machine for Cars, Homes, Hotels, Kitchens & Pet Areas","$69.99","4.5","171","","Home & Kitchen","64636","Home Air Ionizers","27","","","2","1","FBA","$73,899.87","1,092","https://www.amazon.com/dp/B0F2J1JK9Y","https://images-na.ssl-images-amazon.com/images/I/71AhAc4nAeL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:12:23.940Z"
