asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B09GTRVJQM","LEVOIT Air Purifiers for Bedroom Home Dorm, AHAM VERIFIED, 3-in-1 Filter Claener with Fragrance Sponge, Portable Filters Smoke, Allergens, Pet Dander, Odor, Dust, Office, Desktop, Core Mini-P, White","$41.99","4.6","137035","","Home & Kitchen","98","Home Air Purifiers","1","","","6","1","AMZ","$355,514.93","8,011","https://www.amazon.com/dp/B09GTRVJQM","https://images-na.ssl-images-amazon.com/images/I/71wGv7Fh2AL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:08:13.796Z"
"B07VVK39F7","LEVOIT Air Purifier for Home Allergies Pet Hair in Bedroom, Covers Up to 1073 ft² by 56W High Torque Motor, AHAM VERIFIDE, 3-in-1 Filter with HEPA Sleep Mode, Remove Dust Smoke Odor, Core300-P, White","$89.99","4.7","119022","","Home & Kitchen","123","HEPA Filter Air Purifiers","1","","","6","1","AMZ","$747,311.85","7,371","https://www.amazon.com/dp/B07VVK39F7","https://images-na.ssl-images-amazon.com/images/I/71t-9BTIg9L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:08:13.797Z"
"B09VZ11WHK","Purriko Refrigerator Deodorizer,Lasts up to 10 Years,Refrigerator Odor Eliminator,Fridge Deodorizer,More Effective Than Baking Soda Bamboo Air Purifying Bags","$21.27","4.4","10914","","Home & Kitchen","465","Home Air Purifiers","3","","","1","2","FBA","$433,543.12","18,028","https://www.amazon.com/dp/B09VZ11WHK","https://images-na.ssl-images-amazon.com/images/I/71Yk6yF+UsL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:08:13.798Z"
"B0998FWTHP","PuroAir 240 HEPA Air Purifier for Home Large Rooms - Covers Up To 1,000 Sq Ft - Filters Up To 99.9% of Pollutants, Smoke, Pollen, Dust - Quiet HEPA Air Filter - Air Purifiers for Bedroom","$159.00","4.6","16195","","Home & Kitchen","471","HEPA Filter Air Purifiers","2","","","5","2","FBA","$4,051,442.21","20,818","https://www.amazon.com/dp/B0998FWTHP","https://images-na.ssl-images-amazon.com/images/I/61aae14eU1L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:08:13.798Z"
"B0DCBC8KKV","Air Purifiers for Home Large Room up to 2200sq.ft, MOOKA Air purifier for Home Pets with Washable Filter, PM 2.5 Display Air Quality Sensor Air Cleaner for Bedroom, Dorm room, Pets, Office PR1 (White)","$66.44","4.6","3272","","Home & Kitchen","592","HEPA Filter Air Purifiers","3","","","4","2","FBA","$653,456.17","8,232","https://www.amazon.com/dp/B0DCBC8KKV","https://images-na.ssl-images-amazon.com/images/I/71BZgEuBqNL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:08:13.799Z"
"B0BGPF71Q6","LEVOIT Air Purifiers for Home Large Room Up to 1875 Ft² with Washable Pre-Filter, AHAM VERIFIDE, Air Quality Monitor, HEPA Sleep Mode for Allergies, Pet Hair in Bedroom, Vital 200S-P, White","$139.31","4.7","12390","","Home & Kitchen","603","Home Travel-Size Air Purifiers","1","","","3","1","AMZ","$2,604,254.63","15,714","https://www.amazon.com/dp/B0BGPF71Q6","https://images-na.ssl-images-amazon.com/images/I/71zfD5vuHwL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:08:13.800Z"
"B0CBQRTQ6D","Shark Air Purifier for Home with NeverChange(5-Year) HEPA Air Filter, 1400 sq. ft. for Powerful Multi-Room Purification, Filters Smoke, Captures 99.98% of Particles & Dust, HP302, White","$249.00","4.4","4527","","Home & Kitchen","965","HEPA Filter Air Purifiers","4","","","10","1","AMZ","$3,545,690.99","17,642","https://www.amazon.com/dp/B0CBQRTQ6D","https://images-na.ssl-images-amazon.com/images/I/71BazgR4BwL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:08:13.800Z"
"B01728NLRG","Coway Airmega AP-1512HH(W) True HEPA Purifier with Air Quality Monitoring, Auto, Timer, Filter Indicator, and Eco Mode, 16.8 x 18.3 x 9.7, White","$169.99","4.6","28091","","Home & Kitchen","1064","HEPA Filter Air Purifiers","5","","","3","1","AMZ","$2,796,729.59","15,324","https://www.amazon.com/dp/B01728NLRG","https://images-na.ssl-images-amazon.com/images/I/41A9dpKGA-L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:08:13.801Z"
"B004VGIGVY","GermGuardian HEPA Air Purifier for Home, Large Rooms - 743 Sq. Ft. with HEPA Air Filter, UV-C Light & Odor Reduction, AC4825E, 22"" Tower, Gray","$83.98","4.6","62946","","Home & Kitchen","1209","HEPA Filter Air Purifiers","6","","","6","1","AMZ","$1,131,877.74","11,371","https://www.amazon.com/dp/B004VGIGVY","https://images-na.ssl-images-amazon.com/images/I/71sfbBI9LWL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:08:13.802Z"
"B0FNDG2TNK","KNKA Air Purifier for Home Bedroom Large Room Up to 3,500 Ft², HEPA Air Cleaner with Washable Pre-Filter, AHAM VERIFIDE, AQI Display, ECO Mode, Pet Mode for Pets, Allergies, Dust, Pollen, APH4000","$142.49","4.8","1142","","Home & Kitchen","1239","HEPA Filter Air Purifiers","7","","","3","1","FBA","$1,814,193.23","12,095","https://www.amazon.com/dp/B0FNDG2TNK","https://images-na.ssl-images-amazon.com/images/I/71eM07+OB6L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:08:13.802Z"
"B0DY4S3HP2","Air Purifiers for Home with H13 Quiet HEPA Filter Up to 1076 Ft² for Pet Hair, Odors, Pollen, Smoke, Compact Air Cleaner with 3 Speeds, Timer, Aroma Quiet 360°Intake Filter, White","$41.70","4.5","1551","","Home & Kitchen","1305","HEPA Filter Air Purifiers","8","","","2","1","FBA","$344,825.09","12,824","https://www.amazon.com/dp/B0DY4S3HP2","https://images-na.ssl-images-amazon.com/images/I/61ILVPCouhL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:08:13.803Z"
"B0B4ZSKPNL","Air Purifiers for Bedroom, FULMINARE H13 True HEPA Air Filter, Quiet Air Cleaner With Night Light, Portable Small Air Purifier for Home, Office, Living Room","$23.99","4.4","4479","","Home & Kitchen","1419","HEPA Filter Air Purifiers","9","","","8","3","FBA","$396,884.10","12,358","https://www.amazon.com/dp/B0B4ZSKPNL","https://images-na.ssl-images-amazon.com/images/I/71UoENKnfkL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:08:13.804Z"
"B00OLBR0LG","Germ Guardian GG1100W 7” Pluggable Small Air Purifier, Small Room Wall Air Sanitizer, Freshens Air, UV-C Light Kills Germs, Reduces Odors from Pets, Cooking, Mold, GermGuardian, 1-Yr Wty (White)","$19.99","4.2","10543","","Home & Kitchen","1512","Home Air Purifiers","13","","","4","1","AMZ","$129,724.77","3,117","https://www.amazon.com/dp/B00OLBR0LG","https://images-na.ssl-images-amazon.com/images/I/71xixRitzsL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:08:13.805Z"
