asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B0BGPF71Q6","LEVOIT Air Purifiers for Home Large Room Up to 1875 Ft² with Washable Pre-Filter, AHAM VERIFIDE, Air Quality Monitor, HEPA Sleep Mode for Allergies, Pet Hair in Bedroom, Vital 200S-P, White","$139.31","4.7","12390","","Home & Kitchen","603","Home Travel-Size Air Purifiers","1","","","3","1","AMZ","$2,604,254.63","15,714","https://www.amazon.com/dp/B0BGPF71Q6","https://images-na.ssl-images-amazon.com/images/I/71zfD5vuHwL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:16:38.218Z"
"B087M2ZWXR","Pure Enrichment PureZone Mini Portable Air Purifier - Cordless True HEPA Filter Cleans Air & Eliminates 99.97% of Dust, Odors, & Allergens Close to You - Cars, School, & Office (Black)","$39.99","4.1","1958","","Home & Kitchen","7594","Home Travel-Size Air Purifiers","2","","","6","1","FBA","$150,920.07","3,754","https://www.amazon.com/dp/B087M2ZWXR","https://images-na.ssl-images-amazon.com/images/I/61VKYNPTvDL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:16:38.218Z"
"B0G56JXGZY","Plug In Air Ionizers - Negative Ion Technology Air Purifier - Quiet Operation Air Freshener for Home, Bedroom, Office, Garage Room - Portable Air Purifiers Odor,Pets Smell - Air Cleaner White (4 Pack）","$59.99","4.5","121","","Home & Kitchen","8390","Home Travel-Size Air Purifiers","3","","","9","2","FBA","$88,361.23","1,921","https://www.amazon.com/dp/B0G56JXGZY","https://images-na.ssl-images-amazon.com/images/I/51WY9eLWbJL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:16:38.219Z"
"B0G6Z7J3FF","Plug In Air Ionizers Negative Ion Technology Air Purifier, Quiet Mini Air Freshener for Home, Bedroom, Office, Basement - Portable Air Purifiers for Odor, Dust, Pets Smell, Smoke (2pcs)","$19.99","4.8","28","","Home & Kitchen","22105","Home Travel-Size Air Purifiers","4","","","3","1","FBA","$5,300.01","189","https://www.amazon.com/dp/B0G6Z7J3FF","https://images-na.ssl-images-amazon.com/images/I/41hzl93Z2fL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:16:38.219Z"
"B0CRVJNQN5","Exluvon Fridge Deodorizer, Lasts for 10 Years Refrigerator Deodorizer Odor Eliminator,Travel Size Air Purifiers, More Effective Than Baking Soda Bamboo Charcoal Air Purifying Bag, Silver","$10.98","4.3","704","","Health & Household","40398","Home Travel-Size Air Purifiers","5","Charcoal Air Purifying Bags","19","4","2","FBA","$18,114.17","1,697","https://www.amazon.com/dp/B0CRVJNQN5","https://images-na.ssl-images-amazon.com/images/I/71oARYGggLL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:16:38.220Z"
"B005QSBIXY","ATTITUDE Odor Eliminator with Activated Carbon, Plant-Based Air Purifier, Vegan, Lavender & Eucalyptus Scent, 8 Ounces","$11.20","4.0","1207","","Home & Kitchen","38972","Home Travel-Size Air Purifiers","6","","","8","1","AMZ","$6,757.13","623","https://www.amazon.com/dp/B005QSBIXY","https://images-na.ssl-images-amazon.com/images/I/61Nk7Bz3+OL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:16:38.221Z"
"B0BN6KPQNR","Smoke Hunter 2.0 Special Replaceable Filter Element 3 Packs","$29.99","4.3","645","","Home & Kitchen","46336","Home Travel-Size Air Purifiers","7","","","2","1","FBA","$28,951.98","1,078","https://www.amazon.com/dp/B0BN6KPQNR","https://images-na.ssl-images-amazon.com/images/I/61jK7xWOSpL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:16:38.221Z"
"B0DHZFYK93","Priestley Small Air Purifiers for Home Bedroom Dorm Office Desktop, 20dB Quiet 3-in-1 HEPA Air Purifier with Essential Oil Diffuser, Air Filters Smoke, Allergies, Pet Dander, Odor, Dust","$33.99","4.6","1504","","Home & Kitchen","37182","Home Travel-Size Air Purifiers","8","","","3","1","FBA","$62,902.04","1,109","https://www.amazon.com/dp/B0DHZFYK93","https://images-na.ssl-images-amazon.com/images/I/61z18FVvhHL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:16:38.222Z"
"B0BXMMX45B","vonSploof Replacement Filter 3-Pack - Personal Smoke Air Filter To Trap Smoke & Odor I To Catch Smell, Trap Odors & Keep The Air Clean I Sploof Vaporizer For Your Smoke Buddy & You","$32.99","4.5","135","","Home & Kitchen","47636","Home Travel-Size Air Purifiers","9","","","1","1","FBA","$18,039.75","547","https://www.amazon.com/dp/B0BXMMX45B","https://images-na.ssl-images-amazon.com/images/I/31rXyCziNsL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:16:38.223Z"
"B0DGVMZPNW","Azuna Air Freshener and Odor Eliminator for Strong Odor Gel 12oz Refill Pouch | Plant-Based & Long Lasting | Pet, Smoke, Home and Bathroom | Sandalwood | Lasts 60–90 Days","$44.99","4.1","55","","Home & Kitchen","52501","Home Travel-Size Air Purifiers","10","","","1","1","FBA","$34,596.72","769","https://www.amazon.com/dp/B0DGVMZPNW","https://images-na.ssl-images-amazon.com/images/I/613u1kY6poL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:16:38.223Z"
