asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B0C2C9NHZW","LEVOIT Top Fill Humidifiers for Bedroom, 2.5L Tank for Large Room, Easy to Fill & Clean, 28dB Quiet Cool Mist Air Humidifier for Home Baby Nursery & Plants, Auto Shut-off for Safety, 25H","$27.96","4.4","20122","","Home & Kitchen","3","Humidifiers","1","","","1","1","AMZ","$0.00","N/A","https://www.amazon.com/dp/B0C2C9NHZW","https://images-na.ssl-images-amazon.com/images/I/71xIgTqSN6L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:56:33.118Z"
"B0CCY6VG8Z","Dreo Humidifiers for Bedroom, 4L Top Fill for Large Room, 36H Runtime, 28 dB Quiet Supersized Cool Mist Air Humidifier for Baby Nursery, Plants, Indoor, Night Light, Easy to Clean & Fill, White","$33.97","4.4","11906","","Home & Kitchen","26","Humidifiers","2","","","1","1","AMZ","$210,850.96","6,207","https://www.amazon.com/dp/B0CCY6VG8Z","https://images-na.ssl-images-amazon.com/images/I/61-VUNgNlBL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:56:33.118Z"
"B09LM1588Z","Homvana Humidifiers for Bedroom Home, 3.6 L Cool Mist Top-Fill 34H Super Long Time, Quiet 23dB, Baby Humidifier, Oil Diffuser for Large Room, House, Plant, Nursery, Office, BPA FREE, Ultrasonic (Grey)","$29.98","4.4","10021","","Home & Kitchen","89","Humidifiers","3","","","3","14","FBA","$1,010,732.18","31,889","https://www.amazon.com/dp/B09LM1588Z","https://images-na.ssl-images-amazon.com/images/I/61k8GrdmN7L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:56:33.119Z"
"B09W21XFS5","LEVOIT - Humidifiers for Bedroom - Quiet (3L Water Tank) - Cool Mist/Top Fill/Essential Oil Diffuser/25Watt - Home/Large Room - 360° Nozzle - Rapid Ultrasonic Humidification for Baby Nursery/Plant","$31.50","4.4","15730","","Home & Kitchen","130","Humidifiers","4","","","1","1","AMZ","$1,295,866.62","34,360","https://www.amazon.com/dp/B09W21XFS5","https://images-na.ssl-images-amazon.com/images/I/71lD4wE4HTL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:56:33.119Z"
"B0FXGK76DF","DREO Humidifiers for Bedroom, 3L Top Fill 30H & 26dB Quiet Runtime for Large Room, Cool Mist Ultrasonic Humidifier with Humidity Sensor, Night Light for Home, Baby, Nursery, Plants, New Edition","$29.96","4.5","1864","","Home & Kitchen","141","Humidifiers","5","","","4","1","AMZ","$0.00","N/A","https://www.amazon.com/dp/B0FXGK76DF","https://images-na.ssl-images-amazon.com/images/I/618s2JAQmXL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:56:33.120Z"
"B0CCVX6FSD","Dreo Smart Humidifiers for Bedroom, Top Fill 4L Supersized Humidifier Large Room with 28 dB, 36H Runtime, Touch/APP/Voice Control, Nightlight, Cool Mist Humidifiers for Baby, Plants, Indoor, Black","$49.99","4.4","7454","","Home & Kitchen","201","Humidifiers","6","","","1","1","AMZ","$44,600.74","892","https://www.amazon.com/dp/B0CCVX6FSD","https://images-na.ssl-images-amazon.com/images/I/71QsYwtx4pL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:56:33.121Z"
"B0000TN7ME","Vicks Warm Steam Vaporizer & Humidifier 1.5 Gallon Tank for Small and Medium Rooms, Night Light, Works with VapoPads and VapoSteam","$16.19","4.2","12834","","Health & Household","933","Humidifiers","7","Cold & Flu Medicine","7","2","12","AMZ","$459,958.72","23,480","https://www.amazon.com/dp/B0000TN7ME","https://images-na.ssl-images-amazon.com/images/I/71Sltgog1QL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:56:33.121Z"
"B08HS45N13","LEVOIT Humidifiers for Bedroom Large Room Home, (6L) Cool Mist Top Fill Essential Oil Diffuser for Baby & Plants, Smart App & Voice Control, Rapid Humidification & Auto Mode - Quiet Sleep Mode, Gray","$71.99","4.4","24900","","Home & Kitchen","236","Humidifiers","8","","","1","1","AMZ","$0.00","N/A","https://www.amazon.com/dp/B08HS45N13","https://images-na.ssl-images-amazon.com/images/I/71YxUFC4ZlL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:56:33.122Z"
"B06XB26Q8N","Boveda 62% Two-Way Humidity Control Packs For Storing ½ oz – Size 4 – 10 Pack – Moisture Absorbers for Small Storage Containers – Humidifier Packs – Hydration Packets in Resealable Bag","$14.99","4.7","64249","","Home & Kitchen","356","Humidifiers","9","","","13","1","FBA","$472,005.40","23,019","https://www.amazon.com/dp/B06XB26Q8N","https://images-na.ssl-images-amazon.com/images/I/71Ild8JbvnL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:56:33.123Z"
"B0B1DQ8KV3","LEVOIT Humidifiers for Bedroom Home, Smart Warm and Cool Mist Air Humidifier for Large Room, Auto Customized Humidity, Fast Symptom Relief, Easy Top Fill, Essential Oil, Quiet, OasisMist4.5L, White","$62.80","4.4","5037","","Home & Kitchen","398","Humidifiers","10","","","3","1","AMZ","$1,067,853.35","13,391","https://www.amazon.com/dp/B0B1DQ8KV3","https://images-na.ssl-images-amazon.com/images/I/71BKdwThcJL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:56:33.123Z"
