asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B01M6416TW","Munchkin® Rinse™ Shampoo Bath Rinser Cup, Ultra Soft and Flexible Rim, Babies, Toddlers and Kids, Grey","$5.79","4.8","21983","","Baby","506","Kids' Bathroom Safety Products","1","","","3","1","AMZ","$50,228.96","8,675","https://www.amazon.com/dp/B01M6416TW","https://images-na.ssl-images-amazon.com/images/I/51eAvGNu1fL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.272Z"
"B0C2DKCLBF","Nuby Bathtub Safety Spout Guard - Compatible with Most Standard Faucets - Bath Toys - Dolphin","$5.69","4.5","2135","","Baby","684","Kids' Bathroom Safety Products","2","","","4","1","AMZ","$35,077.41","6,182","https://www.amazon.com/dp/B0C2DKCLBF","https://images-na.ssl-images-amazon.com/images/I/518NrU2v-WL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.273Z"
"B07FK63PSH","Skip Hop Baby Bath Rinse Cup MOBY Tear-free Waterfall Rinser Grey Age 0+","$8.25","4.8","29730","","Baby","730","Kids' Bathroom Safety Products","3","","","4","3","AMZ","$49,397.72","5,536","https://www.amazon.com/dp/B07FK63PSH","https://images-na.ssl-images-amazon.com/images/I/51QFb8JXAuL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.274Z"
"B0BHZWRY8W","Dr. Brown's CleanUp Dino-Pour Baby Bath Rinse Cup, Tear-Free Rinsing for Babies and Toddlers, BPA Free","$5.99","4.8","3057","","Baby","736","Kids' Bathroom Safety Products","4","","","7","3","AMZ","$42,243.47","7,272","https://www.amazon.com/dp/B0BHZWRY8W","https://images-na.ssl-images-amazon.com/images/I/71ifcE2kb9L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.274Z"
"B07D98DLDV","Skip Hop Baby Bath Spout Cover Universal Fit MOBY Grey","$13.99","4.7","28418","","Baby","878","Kids' Bathroom Safety Products","5","","","4","2","FBA","$74,832.60","5,357","https://www.amazon.com/dp/B07D98DLDV","https://images-na.ssl-images-amazon.com/images/I/51I2p+W-TeL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.275Z"
"B07K9NQQ4D","Toilet Locks Baby Proof (2-Pack) Ideal Baby Proof Toilet Lid Lock with Arm – No Tools Needed Easy Installation with 3M Adhesive – Top Safety Toilet Seat Lock – Fits Most Toilets, White","$12.99","4.5","4849","","Baby","1025","Kids' Bathroom Safety Products","6","","","2","1","FBA","$53,499.63","4,119","https://www.amazon.com/dp/B07K9NQQ4D","https://images-na.ssl-images-amazon.com/images/I/71zK-cNpBnL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.276Z"
"B081T5449V","Comfortable Baby Bath Kneeler and Elbow Rest Pad Set – Thick Memory Foam Bath Kneeling Pad with Elbow Support – Baby Bathtub Cushion with Toy Organizer for Bathing Infant or Toddler - Grey","$39.99","4.7","1888","","Baby","1049","Kids' Bathroom Safety Products","7","","","5","3","FBA","$173,366.43","4,434","https://www.amazon.com/dp/B081T5449V","https://images-na.ssl-images-amazon.com/images/I/71BqePd+83L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.277Z"
"B07MB5PTNG","Munchkin® Extend™ Faucet Extender, 2 Count (Pack of 1)","$9.99","4.6","17258","","Baby","1053","Kids' Bathroom Safety Products","8","","","3","5","FBA","$47,879.22","4,793","https://www.amazon.com/dp/B07MB5PTNG","https://images-na.ssl-images-amazon.com/images/I/71T4YmSH0YL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.277Z"
"B082LPZPHZ","4our Kiddies Baby Toilet Lock (2 Pack) for Child Safety, Baby Proof Toilet Seat Lock with 2 Extra Pallet Fit for Most Standard Toilet, Easy Intallation Toilet Lid Lock with 2 Extra 3M Adhesive","$13.95","4.5","4179","","Baby","1559","Kids' Bathroom Safety Products","9","","","2","1","FBA","$47,733.86","3,735","https://www.amazon.com/dp/B082LPZPHZ","https://images-na.ssl-images-amazon.com/images/I/51fvBLFE2rL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.278Z"
"B08CNM6DZT","Benicci Comfortable Bath Kneeler and Elbow Kneeling Rest Pad for Baby Bathing Parents - Painless Foam Mat with Toy Organizer Pockets - Quick Drying, Foldable, Non-Slip for Baby and Toddler Bathing","$39.97","4.8","3584","","Baby","1690","Kids' Bathroom Safety Products","10","","","3","1","FBA","$120,074.57","3,108","https://www.amazon.com/dp/B08CNM6DZT","https://images-na.ssl-images-amazon.com/images/I/71K9lf3hdZL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.279Z"
"B07DFWJ9J9","Baby Toilet Lock by Wappa Baby - 9""L x 4""W - Ideal Baby Proof Toilet Lid Lock - No Tools Needed Easy Installation with 3M Adhesive - Top Safety Toilet Seat Lock - Fits Most Toilets - White (1 Pack)","$8.50","4.4","13946","","Baby","1752","Kids' Bathroom Safety Products","11","","","2","1","FBA","$26,572.46","3,126","https://www.amazon.com/dp/B07DFWJ9J9","https://images-na.ssl-images-amazon.com/images/I/71EYd6CcAEL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.279Z"
"B0C78MC1NL","mushie Bath Spout Cover | Soft Silicone Bathtub Faucet Safety Guard for Kids | Universal Fit (Shifting Sand)","$15.99","4.7","828","","Baby","1778","Kids' Bathroom Safety Products","12","","","9","1","FBA","$50,319.49","3,147","https://www.amazon.com/dp/B0C78MC1NL","https://images-na.ssl-images-amazon.com/images/I/51MVZQk1xUL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.280Z"
"B07K1W7WN5","Skip Hop Baby Bath All-in-One Elbow Saver and Kneeler, Moby, Grey","$29.99","4.6","8990","","Baby","1994","Kids' Bathroom Safety Products","13","","","5","6","FBA","$39,570.47","1,175","https://www.amazon.com/dp/B07K1W7WN5","https://images-na.ssl-images-amazon.com/images/I/91psPgBPL0L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.281Z"
"B0C799BQJ3","mushie Baby Bath Rinse Cup | 100% Food Grade Silicone | Shampoo & Body Washing Rinser Cup For Kids (Shifting Sand)","$15.99","4.9","782","","Baby","2057","Kids' Bathroom Safety Products","14","Bathtub Toys","165","10","1","FBA","$46,250.41","2,892","https://www.amazon.com/dp/B0C799BQJ3","https://images-na.ssl-images-amazon.com/images/I/61r0IYtwf0L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.282Z"
"B0DCM64CVG","Munchkin® Soft Spot™ Bath Spout Cover for Baby, Bathtub Guard with Built-in Bubble Bath Dispenser, Silicone, Grey","$9.99","4.6","579","","Baby","2175","Kids' Bathroom Safety Products","15","","","1","1","AMZ","$25,331.32","2,536","https://www.amazon.com/dp/B0DCM64CVG","https://images-na.ssl-images-amazon.com/images/I/515UnlMmXHL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.283Z"
"B0CQF3C571","Bath Spout Cover for Bathtub,Baby Shower Protector Cover A Fun Way to Protects Baby from Bumping Head During Bathing Time Cute Soft Whale Design Making for Enjoyable Safe Baths (Pink)","$7.89","4.6","2132","","Baby","2243","Kids' Bathroom Safety Products","16","","","5","1","FBA","$14,275.91","1,809","https://www.amazon.com/dp/B0CQF3C571","https://images-na.ssl-images-amazon.com/images/I/61e+wfArdFL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.284Z"
"B0BWQLPRPN","KOMIDK Baby Kids Shower Cap Shampoo Bath Bathing Hat Silicone Adjustable Washing Hair Shower Bathing Protection Shower Cap for Toddler, Baby, Kid, Children (Pink)","$8.99","4.1","871","","Baby","2411","Kids' Bathroom Safety Products","17","","","3","1","FBA","$22,161.38","2,465","https://www.amazon.com/dp/B0BWQLPRPN","https://images-na.ssl-images-amazon.com/images/I/71tDOeF+O-L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.284Z"
"B0D8BK739N","Skyroku Faucet Extender for Toddlers, Sink Extenders with Temperature Sensitive for Kids Hand Washing Sink Faucet Extension,Suitable for Bathroom Sink, Kitchen,Bathtub (Brown)","$8.99","4.6","383","","Baby","2857","Kids' Bathroom Safety Products","18","","","7","1","FBA","$12,153.43","1,212","https://www.amazon.com/dp/B0D8BK739N","https://images-na.ssl-images-amazon.com/images/I/51Qydq2sb7L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.285Z"
"B0CR3PWHP1","beiens Bath Kneeler and Elbow Rest Pad Set - 1.5'' Comfortable Thick Baby Bath Kneeler Pads, Quick Dry Soft Kneeling Pad for Baby Bath Time, Non-Slip Knee& Arm Support Bathtub Mat with Toys Organizer","$29.99","4.7","338","","Baby","2881","Kids' Bathroom Safety Products","19","","","3","1","FBA","$51,138.33","1,321","https://www.amazon.com/dp/B0CR3PWHP1","https://images-na.ssl-images-amazon.com/images/I/81zmZNtKEeL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.286Z"
"B0F198SBWP","Faucet Cover Bathtub for Baby, Soft Silicone Tub Spout Cover, Faucet Protector for Kids, Bath Spout Guard for Baby, Toddler Tub Faucet Cover, Water Spout Cover for Child Safety, Universal Fit (Ivory)","$12.99","4.7","174","","Baby","2895","Kids' Bathroom Safety Products","20","","","5","1","FBA","$30,469.39","2,346","https://www.amazon.com/dp/B0F198SBWP","https://images-na.ssl-images-amazon.com/images/I/51OdRmjaXxL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.287Z"
"B0CSYJQ9D6","Baby Bathtub Faucet Cover, Baby Safety Protection Silicone Toys, Bath Spout Cover Baby Bathtub, Faucet Cover Baby Bathtub Silicone Whale for Kids, Toddler, Infant, Gifts for Children","$7.77","4.7","665","","Baby","2973","Kids' Bathroom Safety Products","21","","","3","4","FBA","$18,445.59","2,310","https://www.amazon.com/dp/B0CSYJQ9D6","https://images-na.ssl-images-amazon.com/images/I/61LCrNxW-aL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.288Z"
"B0FB8X299P","Splash Guard for Bathtub Kids - Silicone Bathtub Splash Guard with 11 Suction Cups, Bath Tub Play Shelf for Kids & Toy Holder, Prevent Water Spill in Bathroom, Fun Bath Time for Toddlers Baby, Gray","$25.95","4.5","168","","Baby","3251","Kids' Bathroom Safety Products","22","","","4","1","FBA","$39,080.93","1,626","https://www.amazon.com/dp/B0FB8X299P","https://images-na.ssl-images-amazon.com/images/I/61Q8Oo0gSUL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.289Z"
"B0DBHJPYT9","Yookidoo Baby Bath Shower Head – Elephant Water Pump with Trunk Spout Sprayer & Rinser, Dual Knob Flow Control, Bath Time Essential for Newborns, Tub or Sink (Forest Green)","$24.99","4.3","22016","","Baby","3318","Kids' Bathroom Safety Products","23","","","7","1","FBA","$287,153.65","11,562","https://www.amazon.com/dp/B0DBHJPYT9","https://images-na.ssl-images-amazon.com/images/I/51x8mEnsWEL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.290Z"
"B07WQTV19X","Bath Kneeler and Elbow Rest Pad, 1.75 inch Extra Thick Baby Bath Kneeling Pad and Elbow Pad for Bathtub. Bath Tub Elbow Pad with Infant Toy and Baby Accessories Organizer, Grey","$29.99","4.7","1515","","Baby","3362","Kids' Bathroom Safety Products","24","","","3","1","FBA","$49,593.28","1,501","https://www.amazon.com/dp/B07WQTV19X","https://images-na.ssl-images-amazon.com/images/I/812EC78+9GS._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.291Z"
"B0967NB1KW","FUSACONY Shower Cap Children, Baby Safe Shampoo Cap, Baby Adjustable Shampoo Protection, Shampoo Protection for Children, Washing Hair without Tears, for 0-9 Years Crown (Red)","$8.90","3.9","5192","","Baby","3366","Kids' Bathroom Safety Products","25","","","8","1","FBA","$16,275.56","1,806","https://www.amazon.com/dp/B0967NB1KW","https://images-na.ssl-images-amazon.com/images/I/61+dGHp-waL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.292Z"
"B0BRCL3CVR","Faucet Cover Bathtub Baby Tub - Bath Spout Cover Baby Bathtub, Faucet Cover Baby Bathtub Silicone Whale for Kids, Toddler, Infant","$9.60","4.6","1026","","Baby","3438","Kids' Bathroom Safety Products","26","","","3","1","FBA","$12,819.88","1,335","https://www.amazon.com/dp/B0BRCL3CVR","https://images-na.ssl-images-amazon.com/images/I/51aDFjox7UL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.293Z"
"B0CJ94BZ2S","Baby Shower Cap Shield, Shower Cap for Kids, Visor Hat for Eye and Ear Protection for 0-9 Years Old Children,Cute Dinosaur/Crocodile/Hippo shape Makes the Baby Bath More Fun (Dinosaur, Blue)","$8.99","4.0","435","","Baby","3823","Kids' Bathroom Safety Products","27","","","9","1","FBA","$9,838.31","1,094","https://www.amazon.com/dp/B0CJ94BZ2S","https://images-na.ssl-images-amazon.com/images/I/519-TVeDuxL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.294Z"
"B0CQF6XTYY","Bath Spout Cover for Bathtub - Protects Baby from Bumping Head During Bathing Time Baby Faucet Cover Universal Faucet Protective Cover Whale Design","$7.49","4.6","1665","","Baby","3979","Kids' Bathroom Safety Products","28","","","5","1","FBA","$5,721.07","795","https://www.amazon.com/dp/B0CQF6XTYY","https://images-na.ssl-images-amazon.com/images/I/61+f2S7x3NL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.295Z"
"B0B44RFGYW","Dr. Brown’s CleanUp Dino-Soft Baby Bath Spout Cover, Soft and Safe on Tub Faucet, Toddler Bathtub Safety for Kids, BPA Free, Certified Plastic Neutral","$11.86","4.2","1286","","Baby","4157","Kids' Bathroom Safety Products","29","","","1","1","AMZ","$9,102.95","772","https://www.amazon.com/dp/B0B44RFGYW","https://images-na.ssl-images-amazon.com/images/I/61kGm011U3L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.296Z"
"B0C4G3BLHG","Generic Faucet Extender for Kitchen and Bathtub Sink - Universal Sink Handle Extenders - Fun Hand-Washing with Sink Faucet Extender for Toddlers and Babies (Grey)","$4.95","4.5","534","","Baby","4188","Kids' Bathroom Safety Products","30","","","1","4","FBA","$5,477.82","1,104","https://www.amazon.com/dp/B0C4G3BLHG","https://images-na.ssl-images-amazon.com/images/I/41SiF8IIKBL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:16:01.297Z"
"B09JGHRFR7","Cuddling Baby Bath Kneeler and Elbow Rest Pad Set - 2PC Premium Baby Bath Mat Set - Non-Slip Kneeling Pad with Storage Pockets - Machine Washable, Durable Foam Pad Bundle - Gray","$38.99","4.7","609","","Baby","4264","Kids' Bathroom Safety Products","31","","","2","1","FBA","$38,850.77","1,018","https://www.amazon.com/dp/B09JGHRFR7","https://images-na.ssl-images-amazon.com/images/I/71FSLa1XWLL._AC_UL300_SR300,200_.jpg","false","false","1","2026-02-04T06:16:01.298Z"
"B0CNGGMR9J","PandaEar Baby Bath Kneeler & Elbow Rest Pad, Comfortable Non-Slip Kneeling Mat Cushion with Toy Organizer Storage Pockets, Foldable Foam Mat for Toddler Bathroom Bathing Time (Grey)","$24.95","4.6","255","","Baby","4442","Kids' Bathroom Safety Products","32","","","2","1","FBA","$21,817.66","883","https://www.amazon.com/dp/B0CNGGMR9J","https://images-na.ssl-images-amazon.com/images/I/61+TK-pAJZL._AC_UL300_SR300,200_.jpg","false","false","1","2026-02-04T06:16:01.299Z"
