asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B07P5K7DQP","Pure Encapsulations Magnesium (Glycinate) - Supplement to Support Stress Relief, Sleep, Heart Health, Nerves, Muscles, and Metabolism* - with Magnesium Glycinate - 90 Capsules","$26.00","4.6","44995","","Health & Household","16","Magnesium Mineral Supplements","1","","","3","1","FBA","$8,818,105.81","239,308","https://www.amazon.com/dp/B07P5K7DQP","https://images-na.ssl-images-amazon.com/images/I/71xzWlvjHAL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:30:54.621Z"
"B0B6CTYD6S","Magnesium Glycinate 400mg | 180 Capsules | Sleep, Muscle, & Heart Support | Vegan, Third Party Tested, Gluten Free, Non-GMO, by Double Wood Supplements","$16.95","4.6","19304","","Health & Household","100","Magnesium Mineral Supplements","2","","","2","3","FBA","$2,060,010.87","131,293","https://www.amazon.com/dp/B0B6CTYD6S","https://images-na.ssl-images-amazon.com/images/I/61fmgFB1-KL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:30:54.621Z"
"B08WPLW4VN","BIOptimizers Magnesium Breakthrough Supplement with 500mg - 7 Forms of Magnesium: Glycinate, Malate, Citrate, and More - Natural Support for Sleep and Cognitive Function -60 Capsules- Calming Vitamins","$39.95","4.6","16539","","Health & Household","111","Magnesium Mineral Supplements","3","","","3","4","FBA","$4,477,421.49","128,206","https://www.amazon.com/dp/B08WPLW4VN","https://images-na.ssl-images-amazon.com/images/I/71wVwMsV58L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:30:54.622Z"
"B08XXHCGZT","Nature Made Magnesium Glycinate 200 mg per Serving, Magnesium Supplement for Muscle, Heart, Nerve and Bone Support, 60 Magnesium Bisglycinate Capsules, 30 Day Supply","$16.50","4.6","19934","","Health & Household","131","Magnesium Mineral Supplements","4","","","2","20","AMZ","$1,660,766.69","90,374","https://www.amazon.com/dp/B08XXHCGZT","https://images-na.ssl-images-amazon.com/images/I/711zilbEUGL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:30:54.622Z"
"B006P536E6","Life Extension Neuro-Mag Magnesium L-Threonate, Memory Health, Quick Thinking, Cognitive Health Support, Vegetarian, Non-GMO, 90 Vegetarian Capsules (144 mg from 2000 mg Magtein magnesium L-threonate","$31.50","4.6","23296","","Health & Household","147","Magnesium Mineral Supplements","5","Diet & Sports Nutrition","17","1","5","AMZ","$2,996,034.64","101,057","https://www.amazon.com/dp/B006P536E6","https://images-na.ssl-images-amazon.com/images/I/71ZkI71L96L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:30:54.623Z"
"B07TNJRN9N","BioEmblem Triple Magnesium Complex | 300mg Magnesium Glycinate, Malate & Citrate | High Absorption Chelated Formula | Vegan, Non-GMO, Gluten-Free | 90 Capsules","$27.99","4.6","30191","","Health & Household","212","Magnesium Mineral Supplements","6","","","1","3","FBA","$2,157,248.68","86,014","https://www.amazon.com/dp/B07TNJRN9N","https://images-na.ssl-images-amazon.com/images/I/71MnMgRtSBL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:30:54.623Z"
"B00H5PJ0HW","Nature's Bounty Magnesium 500 mg Tablets, High Potency Magnesium Supplement for Bone & Muscle Health, Whole Body Support, 200 Count (Pack of 1)","$11.89","4.7","101581","","Health & Household","226","Magnesium Mineral Supplements","7","Sales & Deals","27","3","9","AMZ","$1,089,497.87","83,295","https://www.amazon.com/dp/B00H5PJ0HW","https://images-na.ssl-images-amazon.com/images/I/71+s3D0i-JL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:30:54.624Z"
"B000BD0RT0","Doctor's Best High Absorption Magnesium Glycinate Lysinate Supplement for Sleep Support - Chelated Magnesium Tablets for Women & Men, 200mg per Serving, Supports Calm & Relaxation, Vegan - 240 Count","$20.99","4.5","74604","","Health & Household","278","Magnesium Mineral Supplements","8","Sales & Deals","48","2","3","FBA","$1,299,637.02","68,240","https://www.amazon.com/dp/B000BD0RT0","https://images-na.ssl-images-amazon.com/images/I/61A-zRQCJiL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:30:54.625Z"
"B0F5XYHRPV","THORNE - Magnesium Glycinate - Supports Restful Sleep, Muscle Relaxation, Heart Health & Metabolism* - Chelated Magnesium Capsules - Third-Party Certified - Gluten, Dairy & Soy-Free - 90 Servings","$25.00","4.7","1245","","Health & Household","287","Magnesium Mineral Supplements","9","","","3","1","FBA","$1,812,204.38","72,488","https://www.amazon.com/dp/B0F5XYHRPV","https://images-na.ssl-images-amazon.com/images/I/71BwFPGbYaL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:30:54.625Z"
"B0C88BJYX2","Naturebell Pure Magnesium Glycinate 500mg, 240 Veggie Capsules | 100% Chelated & Purified – 3rd Party Tested, Vegan Friendly, Non-GMO","$19.95","4.7","15844","","Health & Household","294","Magnesium Mineral Supplements","10","","","2","4","FBA","$1,521,020.45","78,773","https://www.amazon.com/dp/B0C88BJYX2","https://images-na.ssl-images-amazon.com/images/I/81pSEdYFGBL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:30:54.626Z"
"B01M4GM9R1","Magnesium L Threonate, Magtein, Sleep and Cognitive Support – High Absorption – Most Bioavailable Form of Magnesium – 2,000 mg – 120 Capsules","$29.95","4.6","18394","","Health & Household","426","Magnesium Mineral Supplements","11","","","1","3","FBA","$1,825,858.57","60,964","https://www.amazon.com/dp/B01M4GM9R1","https://images-na.ssl-images-amazon.com/images/I/61iCwueXtEL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T11:30:54.627Z"
