asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B01L2GW7SI","Naoki Matcha Superior Ceremonial Blend – Authentic Japanese First Harvest Ceremonial Grade Matcha Green Tea Powder from Uji, Kyoto (40g / 1.4oz)","$24.99","4.5","8939","","Grocery & Gourmet Food","115","Matcha Tea","1","","","11","1","FBA","$1,761,993.28","57,165","https://www.amazon.com/dp/B01L2GW7SI","https://images-na.ssl-images-amazon.com/images/I/812FyEigEcL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T16:05:33.375Z"
"B00PFDH0IC","Jade Leaf Matcha Organic Culinary Grade Matcha Powder - Japanese Green tea for Baking, Smoothies, Lattes, and Skin Care, 30g / 1.06 Ounce (Pack of 1)","$10.99","4.5","101309","","Grocery & Gourmet Food","223","Matcha Tea","2","","","17","1","FBA","$1,189,259.52","45,181","https://www.amazon.com/dp/B00PFDH0IC","https://images-na.ssl-images-amazon.com/images/I/814rtrQtC5L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T16:05:33.376Z"
"B01DTQD7VA","Jade Leaf Matcha Organic Matcha Latte Mix - Lightly Sweet Japanese Matcha Green Tea Powder with Organic Can Sugar for Café Style Blend, 5.3 Ounce / 150g (Pack of 1)","$9.99","4.4","35111","","Grocery & Gourmet Food","510","Matcha Tea","3","","","12","1","FBA","$604,152.83","29,818","https://www.amazon.com/dp/B01DTQD7VA","https://images-na.ssl-images-amazon.com/images/I/7199ofwQB+L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T16:05:33.378Z"
"B08PY3Q8XS","Micro Ingredients Organic Matcha Green Tea Powder, First Harvest, Culinary Grade from Japan, 100% Pure & Unflavored, Great for Tea, Latte, & Smoothies, Non-GMO, No Sugar, Eco-Friendly Packaging, 1 Lb","$28.99","4.5","5951","","Grocery & Gourmet Food","1698","Matcha Tea","4","","","2","1","FBA","$342,379.98","11,836","https://www.amazon.com/dp/B08PY3Q8XS","https://images-na.ssl-images-amazon.com/images/I/71KPVSiDmzL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T16:05:33.380Z"
"B077572GG8","Matcha DNA Organic Matcha Powder - XXL 16oz TIN – Matcha Green Tea - USDA Organic Gluten-Free Vegan, Unsweetened No Additives - Everyday Green Macha Powder Tea for Lattes, Smoothies, Baking & Recipes","$25.99","4.4","20478","","Grocery & Gourmet Food","2128","Matcha Tea","5","","","5","2","FBA","$106,100.88","4,175","https://www.amazon.com/dp/B077572GG8","https://images-na.ssl-images-amazon.com/images/I/71oMGLhkN9L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T16:05:33.382Z"
"B0BPXQ2PR5","Chaism Ceremonial Grade Matcha Green Tea Powder - Premium First Harvest USDA Organic Gluten-Free Vegan, 100% Pure Unsweetened No Additives, 1.06oz Tin","$19.99","4.5","2673","","Grocery & Gourmet Food","2208","Matcha Tea","6","","","3","1","FBA","$230,534.74","12,884","https://www.amazon.com/dp/B0BPXQ2PR5","https://images-na.ssl-images-amazon.com/images/I/81R6bHdJkyL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T16:05:33.383Z"
"B0C49Y5YS7","Tenzo Matcha Green Tea Powder - USDA Organic Premium Grade - Authentic Japanese Matcha Tea - Latte Powder - BetterBoost (1.06 Ounce)","$9.49","4.4","2032","","Grocery & Gourmet Food","3305","Matcha Tea","7","","","10","1","FBA","$91,451.46","5,039","https://www.amazon.com/dp/B0C49Y5YS7","https://images-na.ssl-images-amazon.com/images/I/814bjRAPGQL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T16:05:33.385Z"
"B06XXMY1RP","Encha Ceremonial Grade Matcha Powder - Organic First Harvest Japanese Matcha Green Tea, Matcha Tea From Uji, Japan (60g/2.12oz)","$36.99","4.4","8649","","Grocery & Gourmet Food","3628","Matcha Tea","8","","","14","1","FBA","$196,199.65","5,973","https://www.amazon.com/dp/B06XXMY1RP","https://images-na.ssl-images-amazon.com/images/I/81JPIjDLBUL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T16:05:33.386Z"
"B0CXT6L9H5","Crafti Ceremonial Grade Matcha Powder (Organic) - Unsweetened Authentic Japanese Daily Matcha Green Tea Powder from Uji, Kyoto for Barista-Grade Lattes (30g / 1.06oz)","$20.95","4.4","1662","","Grocery & Gourmet Food","3702","Matcha Tea","9","","","8","1","FBA","$130,934.01","5,096","https://www.amazon.com/dp/B0CXT6L9H5","https://images-na.ssl-images-amazon.com/images/I/81qHcH6gvAL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T16:05:33.388Z"
"B09JV6TT9C","Clevr Matcha SuperLatte, Instant Ceremonial Grade, Superfood Powder Blend with Oat Milk, Lions Mane, Reishi Mushroom, Coconut Cream, Ashwagandha, Serve Hot or Iced, (14 Lattes)","$29.00","4.2","1516","","Grocery & Gourmet Food","4364","Matcha Tea","10","","","10","1","FBA","$152,711.98","4,976","https://www.amazon.com/dp/B09JV6TT9C","https://images-na.ssl-images-amazon.com/images/I/81ygZFvta1L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T16:05:33.389Z"
