asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B000SDKDM4","Lavazza Super Crema Whole Bean Coffee, Medium Espresso Roast, Arabica and Robusta Blend, 2.2 lb Bag, Package May Vary (Pack of 1)","$22.82","4.5","55072","","Grocery & Gourmet Food","8","Roasted Coffee Beans","1","","","10","5","AMZ","$2,623,243.12","128,440","https://www.amazon.com/dp/B000SDKDM4","https://images-na.ssl-images-amazon.com/images/I/61dSjp-nZvL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T21:48:04.662Z"
"B005OJ4X32","Lavazza Espresso Barista Gran Crema Whole Bean Coffee Blend, Medium Espresso Roast, Oz Bag (Packaging May Vary) - 2.2 LB, 35.2 Ounce","$17.49","4.6","20784","","Grocery & Gourmet Food","133","Roasted Coffee Beans","2","","","11","8","AMZ","$1,356,336.79","58,571","https://www.amazon.com/dp/B005OJ4X32","https://images-na.ssl-images-amazon.com/images/I/61qBpVRd7iL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T21:48:04.664Z"
"B071WWCVJV","Amazon Fresh, Colombia Whole Bean Coffee Medium Roast, 32 Oz","$18.44","4.3","15018","","Grocery & Gourmet Food","171","Roasted Coffee Beans","3","","","9","1","AMZ","$699,785.51","46,766","https://www.amazon.com/dp/B071WWCVJV","https://images-na.ssl-images-amazon.com/images/I/7121M8H6isL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T21:48:04.666Z"
"B00DRCBOC6","San Francisco Bay Coffee - Decaf Medium-Dark Roast Whole Bean Coffee - Decaf Gourmet Blend (2 lb bag) - Swiss Water Processed","$26.99","4.4","23201","","Grocery & Gourmet Food","270","Roasted Coffee Beans","4","","","14","2","AMZ","$1,028,737.54","36,902","https://www.amazon.com/dp/B00DRCBOC6","https://images-na.ssl-images-amazon.com/images/I/61d3fboQVLL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T21:48:04.668Z"
"B09369VYBL","Starbucks Whole Bean Coffee, Dark Roast Coffee, Espresso Roast, 100% Arabica, 1 bag (18 oz)","$11.74","4.6","10004","","Grocery & Gourmet Food","274","Roasted Coffee Beans","5","","","17","3","AMZ","$725,366.99","30,719","https://www.amazon.com/dp/B09369VYBL","https://images-na.ssl-images-amazon.com/images/I/71uP4k7hcOL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T21:48:04.679Z"
"B00112IMUQ","Illy Classico Whole Bean Coffee, Medium Roast, Classic Roast With Notes Of Caramel, Orange Blossom And Jasmine, 100% Arabica Coffee, No Preservatives, 8.8 Ounce Can (Pack Of 1)","$15.99","4.5","10089","","Grocery & Gourmet Food","297","Roasted Coffee Beans","6","","","26","7","AMZ","$1,313,214.50","37,346","https://www.amazon.com/dp/B00112IMUQ","https://images-na.ssl-images-amazon.com/images/I/61fHk4+LpeL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T21:48:04.682Z"
"B016RY0LWO","Lavazza Espresso Whole Bean Coffee, Medium Roast, 100% Arabica, 2.2 lb Bag","$17.49","4.7","6535","","Grocery & Gourmet Food","441","Roasted Coffee Beans","7","","","2","9","AMZ","$495,620.15","26,772","https://www.amazon.com/dp/B016RY0LWO","https://images-na.ssl-images-amazon.com/images/I/61DZrxomt+L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T21:48:04.684Z"
"B006Y7WAHE","Cameron's Coffee Roasted Whole Bean Coffee, Breakfast Blend, 32 Ounce","$17.98","4.4","8046","","Grocery & Gourmet Food","423","Roasted Coffee Beans","8","","","41","1","AMZ","$671,775.26","24,340","https://www.amazon.com/dp/B006Y7WAHE","https://images-na.ssl-images-amazon.com/images/I/61h3xuhSDQL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T21:48:04.686Z"
"B00PQKRVFG","Lavazza House Blend Perfetto Ground Coffee 12oz Bag, Medium Roast, Full-bodied, Intensity 3/5, 100% Arabica, Ideal for Drip Brewers, (Pack of 1) - Package May Vary","$6.37","4.5","8819","","Grocery & Gourmet Food","482","Roasted Coffee Beans","9","","","10","2","AMZ","$233,678.74","18,452","https://www.amazon.com/dp/B00PQKRVFG","https://images-na.ssl-images-amazon.com/images/I/61-amoVHDIL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T21:48:04.688Z"
"B0002E2GQU","Lavazza Crema E Aroma Whole Bean Coffee Blend, 2.2-Pound Bag , Balanced medium roast with an intense, earthy flavor and long lasting crema, Non-GMO","$19.15","4.5","36370","","Grocery & Gourmet Food","808","Roasted Coffee Beans","10","","","9","9","AMZ","$510,652.99","13,570","https://www.amazon.com/dp/B0002E2GQU","https://images-na.ssl-images-amazon.com/images/I/51gnQtl7P1L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T21:48:04.690Z"
"B0959BPLP4","Starbucks Whole Coffee Beans, Medium Roast Hot or Iced Coffee, Pike Place Roast, 28 oz ​","$20.97","4.6","8415","","Grocery & Gourmet Food","810","Roasted Coffee Beans","11","","","17","2","AMZ","$406,815.95","15,966","https://www.amazon.com/dp/B0959BPLP4","https://images-na.ssl-images-amazon.com/images/I/71mh04k8k2L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-06T21:48:04.692Z"
