asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B08JHCVHTY","Blink Subscription Plus Plan with monthly auto-renewal","$11.99","4.4","270718","","Amazon Devices & Accessories","1","","","","","11","1","N/A","$0.00","N/A","https://www.amazon.com/dp/B08JHCVHTY","https://images-na.ssl-images-amazon.com/images/I/316iIKOVz7L._AC_UL600_SR600,400_.png","false","false","1","2026-02-04T06:04:35.916Z"
"B0BZWRSRWV","Ring Battery Doorbell (newest model), Home or business security with Head-to-Toe video, Live View with Two-Way Talk, and Motion Detection & Alerts, Satin Nickel","$59.99","4.6","41242","","Amazon Devices & Accessories","2","","","","","4","2","FBA","$2,318,561.14","24,033","https://www.amazon.com/dp/B0BZWRSRWV","https://images-na.ssl-images-amazon.com/images/I/51IswCEoJXL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:04:35.916Z"
"B0B6GLQJMV","Ring Indoor Cam, Home or business security in 1080p HD video, White","$34.99","4.7","38582","","Amazon Devices & Accessories","4","","","","","9","1","AMZ","$1,194,396.69","25,159","https://www.amazon.com/dp/B0B6GLQJMV","https://images-na.ssl-images-amazon.com/images/I/51gHswF64tL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:04:35.917Z"
"B0C3SSXL4K","Inspire Black Nitrile Gloves HEAVY DUTY 6 Mil Nitrile Chemical Resistant Medical Cooking Cleaning Disposable Black Gloves","$14.44","4.7","13040","","Tools & Home Improvement","7","Chemical Resistant Gloves","1","","","10","1","FBA","$1,614,973.79","87,056","https://www.amazon.com/dp/B0C3SSXL4K","https://images-na.ssl-images-amazon.com/images/I/71u2II-WKSL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:04:35.917Z"
"B0CKWK2KJD","Inspire Black Nitrile Disposable Gloves | 4.5 Nitrile Disposable Safety Medical Cooking Cleaning Black Gloves","$9.49","4.6","9656","","Tools & Home Improvement","12","Sterile Disposable Safety Gloves","1","","","20","2","FBA","$908,109.09","56,468","https://www.amazon.com/dp/B0CKWK2KJD","https://images-na.ssl-images-amazon.com/images/I/615M-t7+dWL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:04:35.918Z"
"B0D3V6Y38G","Loop Quiet 2 Ear Plugs - Ultra-Comfy Reusable Noise-Reducing Earplugs for Sleep, Deep Focus, Travel, Sensitivity | Flexible Hearing Protection | Customizable Fit | 24dB (SNR) Noise Reduction","$19.95","4.1","23168","","Health & Household","268","Earplugs","1","","","4","1","FBA","$3,118,502.16","94,630","https://www.amazon.com/dp/B0D3V6Y38G","https://images-na.ssl-images-amazon.com/images/I/51t0B9HHobL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:04:35.919Z"
"B09N6XCCQH","PROMEDIX P Nitrile Disposable Gloves,4mil-100 Count,Gloves Disposable Latex Free,Powder Free for Cooking,Household,Food safe","$8.99","4.6","18756","","Tools & Home Improvement","20","Non-Sterile Disposable Safety Gloves","1","","","25","1","FBA","$525,093.97","48,380","https://www.amazon.com/dp/B09N6XCCQH","https://images-na.ssl-images-amazon.com/images/I/71SHxiSt5nL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:04:35.919Z"
"B019OAWUZ4","SKYLA HOMES Baby Locks (8-Pack) Child Safety Cabinet Proofing - Safe Quick and Easy 3M Adhesive Cabinet Drawer Door Latches No Screws & Magnets Multi-Purpose for Furniture Kitchen Ovens Toilet Seats","$9.99","4.6","37698","","Baby","32","Child Safety Cabinet Locks","1","","","17","1","FBA","$448,649.19","41,633","https://www.amazon.com/dp/B019OAWUZ4","https://images-na.ssl-images-amazon.com/images/I/71ZczEw6opL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:04:35.920Z"
"B0D59ZRS4M","SWIFTLITE Disposable Vinyl Gloves, Food Safe, Latex-Free Powder-Free Clear Plastic Gloves for Cooking, House Clean, Food Prep","$6.99","4.5","5373","","Tools & Home Improvement","32","Non-Sterile Disposable Safety Gloves","2","","","12","1","FBA","$444,737.68","42,741","https://www.amazon.com/dp/B0D59ZRS4M","https://images-na.ssl-images-amazon.com/images/I/81XFpaBN-8L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:04:35.921Z"
"B0D241GHP5","Ring Outdoor Cam Plus, Battery (newest model), Home or business security, Wide-Angle 2K Video with Ring Vision, Low-Light Sight for full-color night vision, Mount-Anywhere Versatility, White","$69.99","4.5","6278","","Amazon Devices & Accessories","14","","","","","22","3","FBA","$2,962,562.92","31,233","https://www.amazon.com/dp/B0D241GHP5","https://images-na.ssl-images-amazon.com/images/I/51ykxN5EgpL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T06:04:35.922Z"
