asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B00HSC9F2C","Clorox Disinfecting Cleaning Wipes Variety Pack, 75 Count Each, Pack of 3 (Package May Vary)","$12.78","4.8","115657","","Health & Household","33","Sales & Deals","1","Household Disinfectant Wipes","2","2","22","AMZ","$2,382,116.23","186,394","https://www.amazon.com/dp/B00HSC9F2C","https://images-na.ssl-images-amazon.com/images/I/81TpNqZ2jaL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:46:00.972Z"
"B000GISTZ4","Optimum Nutrition Gold Standard 100% Whey Protein Powder, Vanilla Ice Cream, 2 Pound (Packaging May Vary)","$35.99","4.6","259990","","Health & Household","18","Sports Nutrition Whey Protein Powders","1","Sales & Deals","2","47","7","AMZ","$12,516,478.87","246,340","https://www.amazon.com/dp/B000GISTZ4","https://images-na.ssl-images-amazon.com/images/I/71BFejouWCL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:46:00.975Z"
"B01BZ0LXL8","Hefty Ultra Strong Tall Kitchen Trash Bags, Lavender & Sweet Vanilla Scent, 13 Gallon, 80 Count","$11.97","4.8","208266","","Health & Household","11","Trash Bags","1","Sales & Deals","3","17","3","FBA","$3,854,580.45","300,433","https://www.amazon.com/dp/B01BZ0LXL8","https://images-na.ssl-images-amazon.com/images/I/81Wx3UVgfnL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:46:00.977Z"
"B002DYIZEO","Optimum Nutrition Micronized Creatine Monohydrate Powder, Unflavored, 120 Servings, 600 Grams (Packaging May Vary)","$27.43","4.6","99476","","Health & Household","15","Creatine Nutritional Supplements","1","Sales & Deals","4","7","6","AMZ","$6,342,595.65","284,677","https://www.amazon.com/dp/B002DYIZEO","https://images-na.ssl-images-amazon.com/images/I/71SGNJz5y8L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:46:00.979Z"
"B00DLDH1N2","Quest Nutrition Chocolate Chip Cookie Dough Protein Bars, High Protein, Low Carb, Gluten Free, Keto Friendly, 12 Count","$26.24","4.3","104612","","Health & Household","26","Sports Nutrition Protein Bars","1","Sales & Deals","5","21","8","AMZ","$4,636,697.66","183,733","https://www.amazon.com/dp/B00DLDH1N2","https://images-na.ssl-images-amazon.com/images/I/81bOQhkUXFL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:46:00.981Z"
"B00GB85JR4","NatureWise Vitamin D3 5000iu (125 mcg) 1 Year Supply for Immune Support, Healthy Muscle Function, and Bone Health - Non-GMO, Gluten Free in Organic Extra Virgin Olive Oil, (Mini Softgel), 360 Count","$14.99","4.7","189733","","Health & Household","43","Vitamin D Supplements","1","Sales & Deals","6","18","1","AMZ","$2,599,348.00","204,116","https://www.amazon.com/dp/B00GB85JR4","https://images-na.ssl-images-amazon.com/images/I/7162k36ybFL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:46:00.983Z"
"B01HI7WP0U","Tylenol Extra Strength Acetaminophen Rapid Release Gels, Pain Reliever & Fever Reducer, Gelcaps with Laser-Drilled Holes for Fast Release, Gentle on Stomach, 500 mg Per Gelcap, 100 Count OTC Medicine","$12.47","4.8","84622","","Health & Household","58","Acetaminophen","1","Sales & Deals","7","5","11","AMZ","$1,489,867.34","144,753","https://www.amazon.com/dp/B01HI7WP0U","https://images-na.ssl-images-amazon.com/images/I/71vClI1+jAL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:46:00.984Z"
"B00Y8MP4G6","Garden of Life Once Daily Dr. Formulated Probiotics for Women 50 Billion CFU 16 Probiotic Strains with Organic Prebiotics for Digestive, Vaginal & Immune Health, Dairy Free, Shelf Stable 30 Capsules","$31.99","4.6","59107","","Health & Household","95","Acidophilus Nutritional Supplements","2","Sales & Deals","8","3","7","AMZ","$3,546,323.83","123,074","https://www.amazon.com/dp/B00Y8MP4G6","https://images-na.ssl-images-amazon.com/images/I/81oEKJEtLxL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:46:00.986Z"
"B004U3Y8OM","Nature Made Vitamin D3 1000 IU (25 mcg), Vitamin D Supplement for Bone, Teeth, Muscle and Immune Health Support, 300 Softgels, 300 Day Supply","$9.99","4.8","53824","","Health & Household","111","Vitamin D Supplements","3","Sales & Deals","9","5","20","FBA","$826,884.43","85,672","https://www.amazon.com/dp/B004U3Y8OM","https://images-na.ssl-images-amazon.com/images/I/71JO8SJ5mBL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:46:00.987Z"
"B0078W0QOI","Boiron Oscillococcinum for Relief from Flu-Like Symptoms of Body Aches, Headache, Fever, Chills, and Fatigue - 30 Doses","$27.97","4.7","32261","","Health & Household","93","Single Homeopathic Remedies","1","Cold & Flu Medicine","2","4","5","AMZ","$2,541,981.04","132,873","https://www.amazon.com/dp/B0078W0QOI","https://images-na.ssl-images-amazon.com/images/I/71QbcP49A3L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:46:00.988Z"
"B010NE2XPC","DUDE Wipes - Flushable Wipes - 6 Pack, 288 Wipes - Unscented Extra-Large Adult Wet Wipes - Vitamin-E & Aloe - Septic and Sewer Safe","$20.58","4.7","231749","","Health & Household","9","Personal Cleansing Wipes","1","Sales & Deals","11","15","10","AMZ","$5,229,650.34","325,127","https://www.amazon.com/dp/B010NE2XPC","https://images-na.ssl-images-amazon.com/images/I/71qrc6dn3cL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:46:00.990Z"
"B00016RL9G","Emergen-C 1000mg Vitamin C Powder for Daily Immune Support Caffeine Free Vitamin C Supplements with Zinc and Manganese, B Vitamins and Electrolytes, Super Orange Flavor - 30 Count","$12.98","4.8","88831","","Health & Household","123","Vitamin C Supplements","1","Sales & Deals","12","6","6","AMZ","$1,343,483.36","101,634","https://www.amazon.com/dp/B00016RL9G","https://images-na.ssl-images-amazon.com/images/I/810qFC0++jL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:46:00.991Z"
