asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B07RRRV5CT","Quest Nutrition Nacho Cheese Tortilla Style Protein Chips, 18g Protein, 4g Net Carb, Gluten Free, 1.1 oz (Pack of 12)","$25.44","4.5","99761","","Health & Household","99","Sports Nutrition Chips & Crisps Snacks","1","","","32","3","AMZ","$3,094,410.20","147,194","https://www.amazon.com/dp/B07RRRV5CT","https://images-na.ssl-images-amazon.com/images/I/81IqKdsFOvL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T10:59:37.696Z"
"B09WCWK8LM","Quest Nutrition Protein Chips Variety Pack, BBQ, Cheddar & Sour Cream, Sour Cream & Onion, High Protein, Low Carb, 1.1 oz (Pack of 12)","$29.98","4.4","27261","","Health & Household","459","Sports Nutrition Chips & Crisps Snacks","2","","","10","1","AMZ","$1,241,969.93","51,933","https://www.amazon.com/dp/B09WCWK8LM","https://images-na.ssl-images-amazon.com/images/I/81rfpq4TkZL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T10:59:37.697Z"
"B0B9WDZ7K9","WILDE Protein Chips Variety Pack, High Protein Snacks for Adults, Keto Chips, Gluten Free, Low Carb Snack Box Made with Real Ingredients 1.34oz Bags, Pack of 12","$35.99","4.2","3469","","Health & Household","1977","Sports Nutrition Chips & Crisps Snacks","3","","","6","1","FBA","$643,718.82","18,435","https://www.amazon.com/dp/B0B9WDZ7K9","https://images-na.ssl-images-amazon.com/images/I/81zNFlXbISL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T10:59:37.698Z"
"B0CS51LG55","Pure Protein Popped Crisps - Variety Pack: Hickory Barbecue, Sour Cream & Onion, Sweet Chili - 12g Plant Based Protein, Gluten Free, Non GMO, Vegan, Air Popped & Puffed Crisps – Healthy Protein Snacks – 12 Pack","$23.76","4.4","1543","","Health & Household","3982","","","","","14","5","AMZ","$221,545.44","9,447","https://www.amazon.com/dp/B0CS51LG55","https://images-na.ssl-images-amazon.com/images/I/81xKQ5rPnfL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T10:59:37.699Z"
"B0D6RXFR47","Legendary Foods Cheesy Nacho Protein Chips – Popped Tortilla Style – 22g High Protein, 4g Net Carbs, Low Sugar, Gluten Free, Keto Snack Packs – 10 Count – Healthy Crunchy Chips","$35.99","4.4","768","","Health & Household","4670","Sports Nutrition Chips & Crisps Snacks","5","","","6","1","FBA","$296,919.69","8,969","https://www.amazon.com/dp/B0D6RXFR47","https://images-na.ssl-images-amazon.com/images/I/71P9LOUVROL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T10:59:37.700Z"
"B0CFSQTWR3","Quest Nutrition Cheese Crackers, Spicy Cheddar, 10g of Protein, Low Carb, Made with Real Cheese, Protein Snack, 4 Count","$7.48","4.4","8090","","Health & Household","6294","Sports Nutrition Chips & Crisps Snacks","6","","","7","1","AMZ","$474,100.70","27,078","https://www.amazon.com/dp/B0CFSQTWR3","https://images-na.ssl-images-amazon.com/images/I/813pmg4KM9L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T10:59:37.702Z"
"B09YCJSTPJ","Flock Keto Chicken Skin Chips – 4 Flavors Variety Pack, Low Carb, High Protein, Gluten-Free Chicken Crisps, Keto Snack, Low Carb Chips, Protein Crackers, Diet Snacks, 8-Pack (1oz)","$29.00","3.1","8323","","Health & Household","6502","Sports Nutrition Chips & Crisps Snacks","7","","","8","2","FBA","$88,913.65","3,076","https://www.amazon.com/dp/B09YCJSTPJ","https://images-na.ssl-images-amazon.com/images/I/71GxPKeIL6L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T10:59:37.703Z"
"B07CBQCM15","Moon Cheese Cheddar Believe It, 10 Ounce, 2-Pack, Crunchy, Protein-Rich Cheese Snack, Keto Friendly, 100% Real Cheese","$29.99","4.3","5458","","Health & Household","6730","Sports Nutrition Chips & Crisps Snacks","8","","","10","2","FBA","$129,918.47","5,168","https://www.amazon.com/dp/B07CBQCM15","https://images-na.ssl-images-amazon.com/images/I/71BxtXsL4FL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T10:59:37.704Z"
"B0BFKD24CF","Wilde Snacks Chips Protein Seasalt Vingar 4 OZ","$5.99","4.3","384","","Health & Household","10516","Sports Nutrition Chips & Crisps Snacks","9","","","2","13","AMZ","$27,430.90","4,051","https://www.amazon.com/dp/B0BFKD24CF","https://images-na.ssl-images-amazon.com/images/I/81MryQF8uoL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T10:59:37.705Z"
"B0BFKCLNYQ","Wilde Snacks Chips Protein Buffalo 4 OZ","$5.99","4.3","307","","Health & Household","11427","Sports Nutrition Chips & Crisps Snacks","10","","","2","14","AMZ","$27,083.74","4,165","https://www.amazon.com/dp/B0BFKCLNYQ","https://images-na.ssl-images-amazon.com/images/I/81qJAGK3zTL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-22T10:59:37.707Z"
