asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
B08ZJQ1XD4,LMNT Zero Sugar Electrolytes - Watermelon Salt | Drink Mix | 30-Count,$44.70,4.6,48310,,Health & Household,10,Sports Nutrition Electrolyte Replacement Drinks,1,,,12,10,FBA,"$13,905,998.04","346,191",https://www.amazon.com/dp/B08ZJQ1XD4,https://m.media-amazon.com/images/I/71O37o3ZoOL._AC_SL1500_.jpg,FALSE,FALSE,1,2026-02-22T11:12:46.282Z
B01IT9NLHW,Liquid I.V.® Hydration Multiplier - Lemon Lime | Electrolyte Powder Drink Mix | 1 Pack (16 Servings),$23.46,4.6,283002,,Health & Household,27,Sports Nutrition Electrolyte Replacement Drinks,2,Sales & Deals,41,18,1,FBA,"$5,760,185.95","249,457",https://www.amazon.com/dp/B01IT9NLHW,"https://images-na.ssl-images-amazon.com/images/I/71uzLBMH8ZL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.282Z
B08XQZX9K3,"Ultima Replenisher Daily Electrolyte Powder – Original Variety Pack, 20 Stickpacks – Zero Sugar Hydration Packets with 6 Electrolytes and Minerals – Sugar Free, Plant Based & Keto Friendly​ Drink Mix",$20.99,4.5,47339,,Health & Household,47,Sports Nutrition Electrolyte Replacement Drinks,3,,,16,1,FBA,"$3,327,014.52","149,021",https://www.amazon.com/dp/B08XQZX9K3,"https://images-na.ssl-images-amazon.com/images/I/711WJgJ7LzL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.283Z
B0BQ4G7LY8,Liquid I.V.® Hydration Multiplier Sugar-Free - Lemon Lime | Electrolyte Powder Drink Mix | 1 Pack(14 Servings),$20.16,4.6,23829,,Health & Household,66,Sports Nutrition Electrolyte Replacement Drinks,4,,,10,1,FBA,"$3,255,635.05","161,640",https://www.amazon.com/dp/B0BQ4G7LY8,"https://images-na.ssl-images-amazon.com/images/I/71F55i2ABUL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.284Z
B09BD8GZ8L,Nectar Hydration Packets - Electrolytes Powder Packets - Sugar Free & 0 Calorie - Organic Fruit Liquid Daily IV Electrolytes Powder for Dehydration Relief and Rehydration (Variety 30 Pack),$25.42,4.3,14561,,Health & Household,155,Sports Nutrition Electrolyte Replacement Drinks,5,,,33,3,FBA,"$2,271,357.55","79,091",https://www.amazon.com/dp/B09BD8GZ8L,"https://images-na.ssl-images-amazon.com/images/I/81kwlhCMSXL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.285Z
B097QF7HVH,REDMOND Re-Lyte Hydration Electrolyte Powder Mix (Strawberry Lemonade),$44.99,4.6,11636,,Health & Household,173,Sports Nutrition Electrolyte Replacement Drinks,6,,,7,1,FBA,"$3,832,938.22","86,429",https://www.amazon.com/dp/B097QF7HVH,"https://images-na.ssl-images-amazon.com/images/I/71GnMxbyxuL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.285Z
B01AMVB87A,"Nuun Sport Electrolyte Tablets with Magnesium, Calcium, Potassium, Chloride & Sodium, Gluten Free & Vegan, Mixed Flavors, 6 Pack (60 Servings Total)",$31.46,4.4,58121,,Health & Household,148,Sports Nutrition Electrolyte Replacement Drinks,7,,,18,1,AMZ,"$764,272.72","26,970",https://www.amazon.com/dp/B01AMVB87A,"https://images-na.ssl-images-amazon.com/images/I/81FfZghzVaL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.286Z
B0FGFJGYPT,"TREVI™ Sugar Free Electrolytes - Drink Mix Hydration Powder Packets - 28 Count - Favorites Variety Pack - Cherry Lime, Strawberry Kiwi, Berry Lemonade, Arctic Frost",$9.99,4.5,3540,,Health & Household,330,Sports Nutrition Electrolyte Replacement Drinks,8,,,32,1,FBA,"$591,674.26","57,866",https://www.amazon.com/dp/B0FGFJGYPT,"https://images-na.ssl-images-amazon.com/images/I/813cIhi4KRL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.287Z
B01IIGL894,"Ultima Replenisher Daily Electrolyte Powder Drink Mix – Sugar Free – Grape, 90 Servings – Hydration Powder with 6 Key Electrolytes and Trace Minerals – Keto Friendly, Vegan, Non-GMO",$47.99,4.7,36995,,Health & Household,168,Sports Nutrition Electrolyte Replacement Drinks,9,,,14,1,FBA,"$2,961,624.47","61,532",https://www.amazon.com/dp/B01IIGL894,"https://images-na.ssl-images-amazon.com/images/I/61nNMn4i4YL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.287Z
B07RWF8L2V,Cure Hydration | Plant-Based Electrolyte Drink Mix | No Added Sugar | FSA-HSA | Dehydration Relief Powder Made with Coconut Water | Non-GMO | Vegan | Pouch of 14 Packets - Berry Pomegranate,$23.99,4.4,6245,,Health & Household,591,Sports Nutrition Electrolyte Replacement Drinks,10,,,9,2,FBA,"$1,013,310.33","42,302",https://www.amazon.com/dp/B07RWF8L2V,"https://images-na.ssl-images-amazon.com/images/I/71iNAHOmIML._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.288Z
B0DB99PD1B,"Santa Cruz Paleo Electrolyte Powder, Mango Lemonade, Sugar Free Hydration Drink Mix with Himalayan Pink Salt, Sea Salt, Magnesium Glycinate, Potassium Chloride, Sweetened with Stevia, 30 Servings",$29.99,4.6,4612,,Health & Household,618,Sports Nutrition Electrolyte Replacement Drinks,11,,,18,1,FBA,"$1,211,547.92","40,398",https://www.amazon.com/dp/B0DB99PD1B,"https://images-na.ssl-images-amazon.com/images/I/81s9PQORuIL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.289Z
B01IIGCCIK,"Ultima Replenisher Daily Electrolyte Powder Drink Mix – Sugar Free – Lemonade, 30 Servings – Hydration Powder with 6 Key Electrolytes and Trace Minerals – Keto Friendly, Vegan, Non-GMO",$21.99,4.6,23502,,Health & Household,685,Sports Nutrition Electrolyte Replacement Drinks,12,,,9,2,FBA,"$881,135.15","40,200",https://www.amazon.com/dp/B01IIGCCIK,"https://images-na.ssl-images-amazon.com/images/I/61U-FjEhJKL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.290Z
B08J2MPF8R,Liquid I.V.® Hydration Multiplier +Immune Support - Tangerine | Electrolyte Powder Drink Mix | 1 Pack (14 Servings),$23.15,4.7,24856,,Health & Household,803,Sports Nutrition Electrolyte Replacement Drinks,13,,,3,1,FBA,"$866,039.03","38,172",https://www.amazon.com/dp/B08J2MPF8R,"https://images-na.ssl-images-amazon.com/images/I/71dCpeJyfSL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.290Z
B08TZD2R7L,"DripDrop Hydration Packets - Bold Variety Pack - Single Serve Electrolytes Powder Drink Mix - Watermelon, Berry, Lemon, Orange - Non-GMO, Gluten Free, Vegan - 32 Sticks",$32.99,4.6,22970,,Health & Household,867,Sports Nutrition Electrolyte Replacement Drinks,14,,,10,1,FBA,"$1,101,133.76","33,512",https://www.amazon.com/dp/B08TZD2R7L,"https://images-na.ssl-images-amazon.com/images/I/612dSrTgAxL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.291Z
B0FJZGJ4G1,"Raspberry Lemonade Electrolytes – 30‑Serving Hydration Drink Mix with Coconut Water, Essential Minerals & Real Fruit Flavors – Sweetened with Monk Fruit & Stevia – No Artificial Ingredients",$34.20,4.1,767,,Health & Household,948,Sports Nutrition Electrolyte Replacement Drinks,15,,,10,1,FBA,"$1,022,970.63","29,911",https://www.amazon.com/dp/B0FJZGJ4G1,"https://images-na.ssl-images-amazon.com/images/I/71sTEop+7YL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.292Z
B094QB6PH6,"DripDrop Hydration Packets - Juicy Variety Pack - Single Serve Electrolytes Powder Drink Mix - Grape, Fruit Punch, Strawberry Lemonade, Cherry - Non-GMO, Gluten Free, Vegan - 32 Sticks",$27.37,4.6,11599,,Health & Household,987,Sports Nutrition Electrolyte Replacement Drinks,16,,,1,2,FBA,"$671,831.74","21,940",https://www.amazon.com/dp/B094QB6PH6,"https://images-na.ssl-images-amazon.com/images/I/61cLXS1-6DL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.293Z
B0FC95RMNL,"Instant Hydration Electrolytes Powder Packets - Raspberry Electrolyte Drink Mix - Zero Sugar - Keto, Vegan, Gluten-Free, Non-GMO - Boost Recovery, Brain Health, Muscle & Tissue Support- 30 Sticks",$48.00,3.9,1157,,Health & Household,1007,Sports Nutrition Electrolyte Replacement Drinks,17,,,7,1,FBA,"$1,359,213.77","28,250",https://www.amazon.com/dp/B0FC95RMNL,"https://images-na.ssl-images-amazon.com/images/I/51Oj5GXhedL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.294Z
B0CSQWZPBX,"Liquid I.V.® Hydration Multiplier Sugar-Free Variety Pack - Raspberry Melon, Lemon Lime, White Peach, Green Grape (Variety Pack)",$27.99,4.6,4643,,Health & Household,1015,Sports Nutrition Electrolyte Replacement Drinks,18,,,1,1,FBA,"$861,649.23","31,528",https://www.amazon.com/dp/B0CSQWZPBX,"https://images-na.ssl-images-amazon.com/images/I/71UNltNRH-L._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.294Z
B0CG7W485N,"Liquid I.V.® Hydration Multiplier - Variety Pack - Lemon Lime, Passion Fruit, Strawberry, Tropical Punch | Electrolyte Powder Drink Mix | 1 Pack (16 Servings)",$27.99,4.6,6161,,Health & Household,1086,Sports Nutrition Electrolyte Replacement Drinks,19,,,1,1,FBA,"$895,861.95","33,148",https://www.amazon.com/dp/B0CG7W485N,"https://images-na.ssl-images-amazon.com/images/I/7131LcjiPRL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.295Z
B0CTKX72Z4,"DripDrop Sugar Free Hydration Packets - Zero Classic Variety Pack - Single Serve Electrolytes Powder Drink Mix - Lemon Lime, Watermelon, Peach, Passion Fruit - Non-GMO, Gluten Free, Vegan - 32 Sticks",$31.80,4.5,4587,,Health & Household,1280,Sports Nutrition Electrolyte Replacement Drinks,20,,,9,2,FBA,"$782,016.70","26,971",https://www.amazon.com/dp/B0CTKX72Z4,"https://images-na.ssl-images-amazon.com/images/I/714mDASrtrL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.296Z
B0DN6T1QGD,"Venture Pal High Sodium Sugar-Free Electrolyte Powder Packets - Hydration Packets with Sodium, Potassium & Magnesium | Zero Calories | Vegan, Keto, and Paleo Friendly | 16 Sticks",$8.49,4.2,1576,,Health & Household,1384,Sports Nutrition Electrolyte Replacement Drinks,21,,,5,2,FBA,"$310,508.07","22,823",https://www.amazon.com/dp/B0DN6T1QGD,"https://images-na.ssl-images-amazon.com/images/I/81SqsJpSypL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.297Z
B0D5NCFLBV,"Nutricost Electrolyte Complex Powder (120 Servings, Fruit Punch) - Hydration Supplement Drink Mix with Vitamins and Minerals",$27.95,4.5,1756,,Health & Household,1474,Sports Nutrition Electrolyte Replacement Drinks,22,,,7,2,FBA,"$532,572.54","20,882",https://www.amazon.com/dp/B0D5NCFLBV,"https://images-na.ssl-images-amazon.com/images/I/710uaubJ+xL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.298Z
B09VRJNFQC,"DripDrop Hydration Packets - Juicy Variety Pack - Single Serve Electrolytes Powder Drink Mix - Grape, Fruit Punch, Strawberry Lemonade, Cherry - Non-GMO, Gluten Free, Vegan - 16 Sticks",$16.07,4.5,15639,,Health & Household,1963,Sports Nutrition Electrolyte Replacement Drinks,23,,,4,1,FBA,"$302,728.37","18,213",https://www.amazon.com/dp/B09VRJNFQC,"https://images-na.ssl-images-amazon.com/images/I/71OE06SSK5L._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.299Z
B0BX17VQVZ,"Salud 2-in-1 Hydration Packets + Immunity Electrolytes Powder, Horchata - Agua Fresca Drink Mix, Elderberry, Dairy & Soy Free, Non-GMO, Gluten Free, Vegan, Low Calorie, 1g Sugar (15 Servings)",$29.99,4.4,3414,,Health & Household,2046,Sports Nutrition Electrolyte Replacement Drinks,24,,,14,1,FBA,"$495,895.56","16,535",https://www.amazon.com/dp/B0BX17VQVZ,"https://images-na.ssl-images-amazon.com/images/I/71EBg-NSibL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.300Z
B0DVXD2WBB,THORNE - Daily Electrolytes - Zero Sugar & Low-Calorie Electrolyte Powder Drink Mix - Flavors Derived from Natural Sources - NSF Certified for Sport - Variety - 30 Stick Packs,$40.00,4.3,697,,Health & Household,2063,Sports Nutrition Electrolyte Replacement Drinks,25,,,4,1,FBA,"$707,419.56","17,686",https://www.amazon.com/dp/B0DVXD2WBB,"https://images-na.ssl-images-amazon.com/images/I/81KxHzlCW5L._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.301Z
B09J1MZSDH,"SaltStick Electrolyte FastChews - 60 Mixed Berry Chewable Tablets - Salt Tablets for Running and Hydration, Electrolyte Chews - 60 Count",$19.95,4.6,11494,,Health & Household,2061,Sports Nutrition Electrolyte Replacement Drinks,26,,,22,2,FBA,"$456,017.42","18,594",https://www.amazon.com/dp/B09J1MZSDH,"https://images-na.ssl-images-amazon.com/images/I/71X7fEb4SgL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.301Z
B0DMWWB8MB,Cure Hydration | Plant-Based Electrolyte Drink Mix | No Added Sugar | FSA-HSA | Dehydration Relief Powder Made with Coconut Water | Non-GMO | Vegan | 8 Packets - Tropical Variety Pack,$15.99,4.5,1867,,Health & Household,2114,Sports Nutrition Electrolyte Replacement Drinks,27,,,5,1,FBA,"$461,043.60","16,338",https://www.amazon.com/dp/B0DMWWB8MB,"https://images-na.ssl-images-amazon.com/images/I/71ALQX5lTnL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.302Z
B0D5ZXFQNF,LMNT Sparkling Electrolyte Drink - Citrus Salt | 12-Count,$30.99,4.4,1821,,Health & Household,2195,Sports Nutrition Electrolyte Replacement Drinks,28,,,4,1,FBA,"$783,264.92","24,557",https://www.amazon.com/dp/B0D5ZXFQNF,"https://images-na.ssl-images-amazon.com/images/I/81593tT5gsL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.303Z
B00815PLP0,"Sqwincher Zero Qwik Stik, Fruit Punch, Sugar Free, Low Calorie, Low Sodium Electrolyte Powder Hydration Drink Mix, .11 0z Packet (Pack of 50)",$22.99,4.6,13785,,Health & Household,2454,Sports Nutrition Electrolyte Replacement Drinks,29,,,10,39,AMZ,"$230,761.79","11,708",https://www.amazon.com/dp/B00815PLP0,"https://images-na.ssl-images-amazon.com/images/I/81U1TrXgjuL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.304Z
B0CQRPX3HC,"SALTT Electrolytes Powder Unflavored Drink Mix - Clean Slate - 30 Hydration Packets - Magnesium, Potassium, Sodium, Trace Minerals - Zero Sugar & Gluten Free - Travel Essentials",$34.99,4.4,1361,,Health & Household,2517,Sports Nutrition Electrolyte Replacement Drinks,30,,,13,2,FBA,"$521,355.45","14,900",https://www.amazon.com/dp/B0CQRPX3HC,"https://images-na.ssl-images-amazon.com/images/I/61uyXqWeVaL._AC_UL600_SR600,400_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.305Z
B0DB28SXX3,"FlavCity Electrolytes Powder Packets - 28 Hydration Packets, Variety Pack - No Added Sugar - Hydration Powder with Real Fruit & Unrefined Sea Salt - Keto & Gluten-Free (28 Stick Packs)",$44.99,4.2,2233,,Health & Household,2591,Sports Nutrition Electrolyte Replacement Drinks,31,,,5,1,FBA,"$621,402.84","13,723",https://www.amazon.com/dp/B0DB28SXX3,"https://images-na.ssl-images-amazon.com/images/I/71+ZHk3B3XL._AC_UL300_SR300,200_.jpg",FALSE,FALSE,1,2026-02-22T11:12:46.306Z
