asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B004F1LNDI","Honey Stinger Organic Honey Waffle, Energy Stroopwafel for Exercise, Endurance and Performance, Sports Nutrition for Home & Gym, Pre and Post Workout, Box of 16 Waffles, 16.96 Ounce (Pack of 16)","$19.88","4.6","20628","","Health & Household","281","Sports Nutrition Endurance & Energy Bars","1","","","22","5","AMZ","$1,008,401.40","51,073","https://www.amazon.com/dp/B004F1LNDI","https://images-na.ssl-images-amazon.com/images/I/714IS8b6iWL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:26:38.427Z"
"B0CXQ5ZHWH","CLIF BAR - Energy Protein Bars - Chocolate Chip - Made with Organic Oats - Energy Bars - Non-GMO - (15 Pack)","$17.06","4.7","5106","","Health & Household","169","Sports Nutrition Endurance & Energy Products","1","Sports Nutrition Endurance & Energy Bars","2","6","2","AMZ","$1,059,840.71","62,554","https://www.amazon.com/dp/B0CXQ5ZHWH","https://images-na.ssl-images-amazon.com/images/I/81CovauK1OL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:26:38.428Z"
"B0CXQ52DC2","CLIF BAR - Energy Protein Bars - Peanut Butter Banana with Dark Chocolate - Made with Organic Oats - Energy Bars - Non-GMO - (10 Pack)","$10.74","4.7","1216","","Health & Household","2724","Sports Nutrition Endurance & Energy Bars","3","Sports Nutrition Endurance & Energy Products","23","1","1","AMZ","$130,611.41","11,530","https://www.amazon.com/dp/B0CXQ52DC2","https://images-na.ssl-images-amazon.com/images/I/81PHmy0sckL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:26:38.428Z"
"B0CXQ71XY8","CLIF BAR - Energy Protein Bars - Cool Mint Chocolate with Caffeine - Made with Organic Oats - Energy Bars - Non-GMO - (10 Pack)","$11.37","4.7","750","","Health & Household","3241","Sports Nutrition Endurance & Energy Bars","4","Sports Nutrition Endurance & Energy Products","28","2","1","AMZ","$113,889.92","10,152","https://www.amazon.com/dp/B0CXQ71XY8","https://images-na.ssl-images-amazon.com/images/I/81CtWrO0vRL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:26:38.429Z"
"B0CXQ4ZC1Y","CLIF BAR - Energy Protein Bars - Blueberry Almond Crisp - Made with Organic Oats - Energy Bars - Non-GMO - (10 Pack)","$10.74","4.6","927","","Health & Household","4635","Sports Nutrition Endurance & Energy Bars","5","Sports Nutrition Endurance & Energy Products","39","1","1","AMZ","$70,485.52","6,067","https://www.amazon.com/dp/B0CXQ4ZC1Y","https://images-na.ssl-images-amazon.com/images/I/81sdzXGAAJL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:26:38.431Z"
"B0CXQ6LP2L","CLIF BAR - Energy Protein Bars - Oatmeal Raisin Walnut - Made with Organic Oats - Energy Bars - Non-GMO - (10 Pack)","$13.10","4.6","900","","Health & Household","6519","Sports Nutrition Endurance & Energy Bars","6","Sports Nutrition Endurance & Energy Products","58","1","1","AMZ","$78,189.84","6,137","https://www.amazon.com/dp/B0CXQ6LP2L","https://images-na.ssl-images-amazon.com/images/I/81BC2EXW6GL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:26:38.431Z"
"B07FB9MDCW","CLIF Nut Butter Bar - Peanut Butter - Energy Snack Bars - Non-GMO - USDA Organic - Plant Based - Low Glycemic - 1.76 oz. (5 Pack)","$7.99","4.5","559","","Health & Household","7776","Sports Nutrition Endurance & Energy Bars","7","Sports Nutrition Endurance & Energy Products","69","1","2","AMZ","$41,618.22","5,560","https://www.amazon.com/dp/B07FB9MDCW","https://images-na.ssl-images-amazon.com/images/I/817kO2NAyeL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:26:38.432Z"
"B07PVKSR5C","CLIF BAR Minis - White Chocolate Macadamia Nut Flavor - Made with Organic Oats - 4g Protein - Non-GMO - Plant Based - Snack-Size Energy Bars - 0.99 oz. (20 Pack)","$15.17","4.6","1337","","Health & Household","12343","Sports Nutrition Endurance & Energy Bars","8","","","1","3","AMZ","$51,535.60","3,610","https://www.amazon.com/dp/B07PVKSR5C","https://images-na.ssl-images-amazon.com/images/I/81iMKuKmt8L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:26:38.433Z"
"B07PZHVDV5","CLIF BAR Minis - Chocolate Brownie Flavor - Made with Organic Oats - 4g Protein - Non-GMO - Plant Based - Snack-Size Energy Bars - 0.99 oz. (20 Pack)","$15.10","4.4","1557","","Health & Household","12904","Sports Nutrition Endurance & Energy Bars","9","","","1","3","AMZ","$63,030.98","4,513","https://www.amazon.com/dp/B07PZHVDV5","https://images-na.ssl-images-amazon.com/images/I/81zjQj4Bn8L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:26:38.434Z"
"B0CPL363V2","BARE PERFORMANCE NUTRITION Go Bar, Oat Based Endurance Training Snack 36g of Carbohydrates and 200 Calories Per Serving, 12 Bars Per Box, Original Oat","$29.99","4.6","189","","Health & Household","14535","Sports Nutrition Endurance & Energy Bars","10","Sports Nutrition Endurance & Energy Products","130","3","1","FBA","$49,366.77","1,646","https://www.amazon.com/dp/B0CPL363V2","https://images-na.ssl-images-amazon.com/images/I/71ESegr8a0L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:26:38.435Z"
