asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B07TPYQHS9","Gomacro, Nutrition Bar Oatmeal Chocolate Chip Organic 12 Count, 2.3 Ounce","$27.87","4.4","11105","","Health & Household","304","Sports Nutrition Food Bars","1","","","17","2","AMZ","$1,605,975.49","56,642","https://www.amazon.com/dp/B07TPYQHS9","https://images-na.ssl-images-amazon.com/images/I/51Imb7HRZDL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.296Z"
"B09Z2FKPST","Mezcla Puff Crispy Protein Bars, Gluten Free & Vegan Protein Bars, 10g Protein, Alt for Crispy Rice Treat, Granola Bars & Breakfast Bars, Healthy Snacks for Adults, Variety Pack, 8 Count","$24.99","4.2","1698","","Health & Household","2620","Sports Nutrition Food Bars","2","","","9","1","FBA","$359,975.92","13,463","https://www.amazon.com/dp/B09Z2FKPST","https://images-na.ssl-images-amazon.com/images/I/81UEJNr3Q0L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.298Z"
"B0D6RW9X3B","Legendary Foods 22g Protein Pastry 0g Added Sugar, Low Carb, Gluten Conscious, Keto Snack, Ideal for Glucose Management, Includes Whey Protein Isolate, 8 Pack Double Chocolate","$26.99","4.0","2736","","Health & Household","2789","Sports Nutrition Food Bars","3","","","3","1","FBA","$220,219.81","8,867","https://www.amazon.com/dp/B0D6RW9X3B","https://images-na.ssl-images-amazon.com/images/I/81R5u81yTXL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.300Z"
"B0FT3WVCZZ","Stars + Honey Protein Bars- Flavor Variety,15g Protein, 2g Sugar, w/ Collagen Keto Friendly Snack - Gluten, Dairy, & Soy Free - High-Protein Snacks for Energy & Recovery-12 pack","$46.00","4.3","269","","Health & Household","3566","Sports Nutrition Food Bars","4","","","10","1","MERCH","$421,613.79","9,394","https://www.amazon.com/dp/B0FT3WVCZZ","https://images-na.ssl-images-amazon.com/images/I/81aTjLVTfbL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.302Z"
"B0BF45BT9K","MOSH Variety Pack Keto Protein Bars, High Fiber, Low Carb, Gluten Free, High Protein, Brain Healthy Snack with Ashwagandha, Lion's Mane, 6 Count","$26.99","4.1","3970","","Health & Household","4439","Sports Nutrition Food Bars","5","","","11","4","FBA","$210,905.78","5,237","https://www.amazon.com/dp/B0BF45BT9K","https://images-na.ssl-images-amazon.com/images/I/51jqoZdywIL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.304Z"
"B01J9MJMQC","Atkins Chocolate Chip Granola Protein Meal Bar, High Fiber, 17g Protein, 1g Sugar, 3g Net Carbs, Meal Replacement, Keto Friendly, 8 Count","$12.69","4.5","3945","","Health & Household","14584","Sports Nutrition Food Bars","6","Sales & Deals","1365","1","9","AMZ","$25,529.30","2,012","https://www.amazon.com/dp/B01J9MJMQC","https://images-na.ssl-images-amazon.com/images/I/81dJZ20N1kL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.306Z"
"B09GJ1RDS8","Ratio Soft Baked Bars, Chocolate Brownie, 1g Sugar, Keto Friendly, 5.34 oz (6 Bars)","$15.20","3.8","4857","","Health & Household","19751","Sports Nutrition Food Bars","7","","","4","2","AMZ","$17,639.60","2,342","https://www.amazon.com/dp/B09GJ1RDS8","https://images-na.ssl-images-amazon.com/images/I/815TFjfHH2L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.307Z"
"B0C645FL4P","Supergut GLP-1 Boosting Prebiotic Bars, Peanut Butter Chocolate - Gut Healthy Protein Snacks & Breakfast Bars - Keto-Friendly Meal Replacement Energy Bars for Gut Health (12 Count)","$35.99","4.3","491","","Health & Household","21620","Sports Nutrition Food Bars","8","","","6","2","FBA","$53,847.71","1,500","https://www.amazon.com/dp/B0C645FL4P","https://images-na.ssl-images-amazon.com/images/I/71o-NR+zMqL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.308Z"
"B08J5QX1WS","G2G Protein Bar, 8 Flavor Variety Pack, High Protein, Gluten-Free, Healthy Snack, Delicious Meal Replacement, Clean Ingredients, Refrigerated for Freshness, (Pack of 8)","$26.99","4.7","475","","Health & Household","35923","Sports Nutrition Food Bars","9","","","4","1","MERCH","$27,873.84","811","https://www.amazon.com/dp/B08J5QX1WS","https://images-na.ssl-images-amazon.com/images/I/71cgBh18HyL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.309Z"
"B0D654Y3V1","Power Crunch PRO Protein Wafer Bars, High Protein Snacks with Delicious Taste, Peanut Butter Fudge, 2.0 Ounce (4 Count)","$8.99","4.5","260","","Health & Household","38227","Sports Nutrition Food Bars","10","","","2","1","AMZ","$7,310.87","813","https://www.amazon.com/dp/B0D654Y3V1","https://images-na.ssl-images-amazon.com/images/I/713AbeqmIfL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.310Z"
"B08KSJ5ZP9","Yo! Bar by Bearded Brothers Vegan Organic Kids Bar | Gluten Free, Paleo and Whole 30 | Soy Free, Non-GMO, Low Glycemic, No Sugar Added, Fiber + Whole Foods | Variety 3 Flavor Pack | 25 Bars","$29.99","4.5","154","","Health & Household","38811","Sports Nutrition Food Bars","11","","","7","2","MERCH","$24,180.39","847","https://www.amazon.com/dp/B08KSJ5ZP9","https://images-na.ssl-images-amazon.com/images/I/61pEdZ4HBgL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.311Z"
"B07D9X4MQ4","Larabar Kids Bakes Chocolate Brownie Gluten Free Bars, 5.76 oz, 6 Ct (Pack of 8)","$38.96","4.5","2536","","Health & Household","38941","Sports Nutrition Food Bars","12","","","8","5","AMZ","$11,210.64","645","https://www.amazon.com/dp/B07D9X4MQ4","https://images-na.ssl-images-amazon.com/images/I/81HTDXJG4YL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.313Z"
"B0DJTFMXTY","Ready Clean Protein Bar Chocolate Chip","$18.39","4.3","64","","Health & Household","41381","Sports Nutrition Food Bars","13","","","1","3","MERCH","$8,570.33","415","https://www.amazon.com/dp/B0DJTFMXTY","https://images-na.ssl-images-amazon.com/images/I/71M25LcRb4L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.314Z"
"B003T614KC","NuGo Dark Chocolate Mint Chocolate Chip, 13g Protein Bar, Vegan, Gluten Free, Non-GMO, Kosher Pareve, 12 Count","$19.10","4.4","431","","Health & Household","42719","Sports Nutrition Food Bars","14","","","3","3","AMZ","$292.19","9","https://www.amazon.com/dp/B003T614KC","https://images-na.ssl-images-amazon.com/images/I/71Pk8GhfqLL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.316Z"
"B00AW1BDQC","G2G Protein Bar, Peanut Butter Chocolate Chip, Real Food, Refrigerated for Freshness, Healthy Snack, Delicious Meal Replacement, Gluten-Free, 8 Count (Pack of 8)","$26.99","4.7","416","","Health & Household","44296","Sports Nutrition Food Bars","15","","","4","1","MERCH","$24,880.88","615","https://www.amazon.com/dp/B00AW1BDQC","https://images-na.ssl-images-amazon.com/images/I/71ONi0sOkPL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.317Z"
"B0CSZDTNTW","Step One Foods Lemon Almond Bar, Heart Healthy Snack Plant Sterols, Omega 3's High Fiber Snack Gluten & Dairy Free, Vegan, Zero Sodium, Granola Bars (12 Pack)","$38.99","4.1","167","","Health & Household","44754","Sports Nutrition Food Bars","16","","","1","1","FBA","$16,294.20","418","https://www.amazon.com/dp/B0CSZDTNTW","https://images-na.ssl-images-amazon.com/images/I/61lEWv+rFQL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.318Z"
"B00GEAE7RM","NuGo Fiber d'Lish Peanut Chocolate Chip, 12g High Fiber, Vegan, 160 Calories, 16 Count","$27.54","4.2","2510","","Health & Household","14621","Sports Nutrition Food Bars","17","Sales & Deals","1370","5","2","AMZ","$65,401.73","2,364","https://www.amazon.com/dp/B00GEAE7RM","https://images-na.ssl-images-amazon.com/images/I/71hv08AXmHL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.320Z"
"B0074CDYI2","LUNA BAR - Gluten Free Snack Bars - Chocolate Dipped Coconut Flavor -8g of protein - Non-GMO - Plant-Based Wholesome Snacking - On the Go Snacks (1.69 Ounce Snack Bars, 15 Count)","$24.99","4.2","788","","Health & Household","47403","Sports Nutrition Food Bars","18","Sales & Deals","2803","1","3","FBA","$12,892.67","488","https://www.amazon.com/dp/B0074CDYI2","https://images-na.ssl-images-amazon.com/images/I/71qIE9Fx2LL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.321Z"
"B07583X2K5","Milky Way Bite Size Candy Bars - 3 lb.","$29.70","4.6","152","","Health & Household","58515","Sports Nutrition Food Bars","19","","","1","7","MERCH","$9,672.88","375","https://www.amazon.com/dp/B07583X2K5","https://images-na.ssl-images-amazon.com/images/I/71eUUerHvAL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.322Z"
"B0F869HV7J","CLIF BAR - Energy Protein Bars - Trail Mix - Made with Organic Oats - Energy Bars - Non-GMO - (5 Pack)","$6.69","4.7","5106","","Health & Household","181","Sports Nutrition Food Bars","20","","","6","1","AMZ","$1,059,840.71","62,554","https://www.amazon.com/dp/B0F869HV7J","https://images-na.ssl-images-amazon.com/images/I/81W7WtvyE4L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.324Z"
"B0CFBZNWDG","MenoWell Menopause and Perimenopause Protein Bars for Women, Weight Management Support, Peanut Butter Chocolate, 25% Daily Fiber, Prebiotic, Plant-Based, 7g of Protein, 3g Added Sugar, 10 Count (Pack of 1)","$22.75","3.9","160","","Health & Household","75480","Sports Nutrition Food Bars","21","","","3","3","FBA","$7,967.61","296","https://www.amazon.com/dp/B0CFBZNWDG","https://images-na.ssl-images-amazon.com/images/I/61i2z0zbPLL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.325Z"
"B007D6DVPA","LUNA BAR - Gluten Free Snack Bars - Blueberry Bliss Flavor - 7g of protein - Non-GMO - Plant-Based Wholesome Snacking - On the Go Snacks (1.69 Ounce Snack Bars, 15 Count)","$20.57","4.6","1377","","Health & Household","81114","Sports Nutrition Food Bars","22","Sports Nutrition Products","3732","2","5","AMZ","$3,755.99","165","https://www.amazon.com/dp/B007D6DVPA","https://images-na.ssl-images-amazon.com/images/I/71wBteEBjlL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.326Z"
"B0D4TNVXWZ","CLIF BAR - Energy Protein Bars - Crunchy Peanut Butter and Peanut Butter Banana with Dark Chocolate - Variety Pack - Made with Organic Oats - Energy Bars - Non-GMO - (20 Pack)","$55.19","4.6","86","","Health & Household","81835","Sports Nutrition Food Bars","23","","","1","1","FBA","$1,927.13","75","https://www.amazon.com/dp/B0D4TNVXWZ","https://images-na.ssl-images-amazon.com/images/I/71ux2qehjKL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.327Z"
"B0D64X8GTR","Power Crunch PRO Protein Wafer Bars, High Protein Snacks with Delicious Taste, French Vanilla, 2.0 Ounce (4 Count)","$8.99","4.0","20","","Health & Household","86357","Sports Nutrition Food Bars","24","","","2","1","AMZ","$1,383.83","154","https://www.amazon.com/dp/B0D64X8GTR","https://images-na.ssl-images-amazon.com/images/I/71mJShLP6YL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.328Z"
"B0FLSQ2BQS","Ready® Protein Bars Bundle - High-Protein Snack with 15g Whey Protein, With Flaxseeds and Omega-3s for Sustained Energy, Supports Lean Muscle and Recovery, No Artificial Sweeteners - 48CT Variety Pack (2x 12ct Chocolate Sea Salt and 2x 12ct Chocolate Peanut Butter)","$54.99","4.3","423","","Health & Household","72793","Sports Nutrition Food Bars","25","","","2","1","MERCH","$12,016.14","208","https://www.amazon.com/dp/B0FLSQ2BQS","https://images-na.ssl-images-amazon.com/images/I/71IetobbwXL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:20:28.329Z"
