asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B07JNF1YNK","Mom's Choice Gold Awards Winner - EUDEMON 1 Pack Childproof Oven Door Lock, Oven Front Lock Easy to Install & Heat-Resistant Material no Tools Need or Drill (Black)(ONLY for Flat Surface)","$9.99","4.4","15709","","Baby","385","Stove Safety Covers & Appliance Latches","1","","","2","1","FBA","$127,661.04","12,779","https://www.amazon.com/dp/B07JNF1YNK","https://images-na.ssl-images-amazon.com/images/I/51Q6g7tbPiL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T07:07:03.935Z"
"B07RLXSQHG","Mom's Choice Gold Awards Winner - Stove Knob Covers for Child Safety (5 + 1 Pack) Double-Key Design and Upgraded Universal Size Gas Knob Covers Clear View Childproof Oven Knob Covers for Kids and Pets","$17.99","4.3","6255","","Baby","782","Stove Safety Covers & Appliance Latches","2","","","1","2","FBA","$98,442.03","5,728","https://www.amazon.com/dp/B07RLXSQHG","https://images-na.ssl-images-amazon.com/images/I/714bPKYMbAL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T07:07:03.936Z"
"B0DPV6KQTW","Lwuzkdo 5-Pack Gas Stove Knob Locks for Toddler Safety, Durable Design Knob Safety Covers, Child Proof Oven Knob Locks, Prevent Accidental Touch(Black)","$7.99","4.5","599","","Baby","888","Stove Safety Covers & Appliance Latches","3","","","1","1","FBA","$34,483.97","4,316","https://www.amazon.com/dp/B0DPV6KQTW","https://images-na.ssl-images-amazon.com/images/I/71RCvLDDcXL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T07:07:03.937Z"
"B0B5VPJ4MD","5 Pack Child Proof Refrigerator Lock, QYESWHSR Fridge Locks for Kids with Sticky Adhesive Pads, Child Safety Locks for Doors, RV Refrigerator, Oven Lock Child Safety Baby Cabinet Locks - Grey Updated","$9.99","4.5","3262","","Baby","835","Stove Safety Covers & Appliance Latches","4","Child Safety Cabinet Locks","10","5","1","FBA","$86,874.78","8,581","https://www.amazon.com/dp/B0B5VPJ4MD","https://images-na.ssl-images-amazon.com/images/I/61xfx8SXcCL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T07:07:03.938Z"
"B0D7PSC4YQ","Mom's Choice Gold Awards Winner - EUDEMON 1 Pack Latest French Fridge Lock French Door Refrigerator/Freezer Lock Apply to Max 3.54""(90mm) Two Door Gap Distance for Kids & Babies,Easy to Install(Black)","$9.99","4.4","751","","Baby","1265","Stove Safety Covers & Appliance Latches","5","","","2","1","FBA","$39,909.24","3,995","https://www.amazon.com/dp/B0D7PSC4YQ","https://images-na.ssl-images-amazon.com/images/I/51KpLI6LPCL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T07:07:03.938Z"
"B0CGN7DGF8","RORMGO Refrigerator Lock 2 Packs, Fridge Lock with Silicone Wire Protection Fridge Locks for Kids Easy to Use and Install Cabinet Locks with Key, Black","$9.99","4.4","2648","","Baby","1310","Stove Safety Covers & Appliance Latches","6","","","9","1","FBA","$38,626.99","4,343","https://www.amazon.com/dp/B0CGN7DGF8","https://images-na.ssl-images-amazon.com/images/I/719P-vjS6sL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T07:07:03.939Z"
"B07HGKP64D","2025-26 Mom's Choice Winner- Gas Stove Knob Locks - Gray Silicone Stove Knob Safety Covers for Toddlers, Pets - Child Proof Universal Size Knobs - Baby Proofing Protectors for Electric Stoves- 5Pcs","$16.95","4.3","3672","","Baby","1401","Stove Safety Covers & Appliance Latches","7","","","5","1","FBA","$59,466.50","3,471","https://www.amazon.com/dp/B07HGKP64D","https://images-na.ssl-images-amazon.com/images/I/61IRWq-QwAL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T07:07:03.940Z"
"B0DDT2YH7B","Stove Knob Safety Covers, for Knob Diameter Less Than 2.4"", Unlock with Adult Two-Finger, Dual-Key Press Gas Stove Knob Locks, Upgraded Oven Lock Knob Covers for Child Safety, Black Color, Pack of 5","$15.99","4.5","681","","Baby","2033","Stove Safety Covers & Appliance Latches","8","","","4","1","FBA","$37,921.67","2,372","https://www.amazon.com/dp/B0DDT2YH7B","https://images-na.ssl-images-amazon.com/images/I/71z5AlrnGIL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T07:07:03.941Z"
"B09WQRJ351","EUDEMON 1 Pack Updated Child Proof Refrigerator/Fridge/Freezer Door Lock Apply to Max 1""(25mm) Sealing Strip for Toddlers and Kids, no Tools Need or Drill (White)","$9.99","4.6","7529","","Baby","797","Stove Safety Covers & Appliance Latches","9","","","2","1","FBA","$50,941.04","5,099","https://www.amazon.com/dp/B09WQRJ351","https://images-na.ssl-images-amazon.com/images/I/51D0+-3ULYL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T07:07:03.942Z"
"B09PDDLL7H","Stove Knob Covers for Child Safety - 5 Pack Babepai Upgraded Double-Key Design Universal Size Baby Safety Gas Oven Knob Covers Stove Guard Baby Proofing","$13.99","4.5","1931","","Baby","3069","Stove Safety Covers & Appliance Latches","10","","","2","1","FBA","$20,797.89","1,162","https://www.amazon.com/dp/B09PDDLL7H","https://images-na.ssl-images-amazon.com/images/I/71KpZWFaExL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T07:07:03.943Z"
"B0FMRCKMPH","HOIGRBOM Stove Knob Safety Covers, 6 Pack Universal Gas Stove Knob Covers, Heat-Resistant Baby Proof Stove Knob Covers, Gas Stove Knob Locks for Child Safety and Pet (Black)","$11.99","4.6","83","","Baby","3347","Stove Safety Covers & Appliance Latches","11","","","1","1","FBA","$21,728.98","2,072","https://www.amazon.com/dp/B0FMRCKMPH","https://images-na.ssl-images-amazon.com/images/I/71lijtadLOL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T07:07:03.943Z"
"B09TK19JVW","Mom's Choice Gold Awards Winner - SAFELON 1 Pcs Baby Safety Oven Door Lock, Double Button Oven Lock for Kitchen Safety (Black)","$9.99","4.3","1595","","Baby","3382","Stove Safety Covers & Appliance Latches","12","","","3","1","FBA","$13,265.95","1,328","https://www.amazon.com/dp/B09TK19JVW","https://images-na.ssl-images-amazon.com/images/I/51F+3eI1gYL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T07:07:03.944Z"
"B0C73D7PBG","EUDEMON 1 Pack Updated Oven Front Lock,Childproof Oven Door Lock, Easy to Install & Use Durable and Heat-Resistant Material no Tools Need or Drill(Black)","$9.98","4.2","873","","Baby","3426","Stove Safety Covers & Appliance Latches","13","","","2","1","FBA","$11,959.22","1,198","https://www.amazon.com/dp/B0C73D7PBG","https://images-na.ssl-images-amazon.com/images/I/51J80RSR84L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T07:07:03.945Z"
"B0FB374MGX","BSFHH Heat-Resistant Glass Stove Top Cover with Anti-Slip Rubber Coating – Electric Stove Protector, Scratch-Resistant, Expands Counter Space, Stylish Kitchen Decor (Tree)","$24.99","4.6","160","","Baby","3484","Stove Safety Covers & Appliance Latches","14","","","20","1","FBA","$27,611.88","1,105","https://www.amazon.com/dp/B0FB374MGX","https://images-na.ssl-images-amazon.com/images/I/81vcxsJIWBL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-04T07:07:03.946Z"
