asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B0DQNQ1ZVZ","Schylling NeeDoh Nice Cube -Sensory Squeeze Toy with Super Solid Squish - 2.25"" Cube","$13.95","4.3","3686","","Toys & Games","1","Squeeze Toys","1","","","3","5","MERCH","$2,010,439.93","165,637","https://www.amazon.com/dp/B0DQNQ1ZVZ","https://images-na.ssl-images-amazon.com/images/I/51CfZ8zGq9L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.844Z"
"B0BRBMNN93","LEGO Heart Ornament Building Toy Set - Gifts & Craft for Valentines Day - Fun Arts and Crafts Idea for Girls and Boys, Ages 9+ - Display on The Wall as Home Decoration - 40638","$22.90","4.8","5521","","Toys & Games","2","Toy Building Sets","1","","","1","10","AMZ","$840,359.44","64,693","https://www.amazon.com/dp/B0BRBMNN93","https://images-na.ssl-images-amazon.com/images/I/816191cAjDL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.844Z"
"B0BZCHMVTK","Bezente Assorted Rainbow Latex Balloons, 100 Pack 12 inch Round Helium Bright Color Balloons for Birthday Bridal Shower Wedding Party Decorations","$5.43","4.6","11874","","Toys & Games","3","Kids' Party Balloons","1","","","161","2","FBA","$394,729.84","48,887","https://www.amazon.com/dp/B0BZCHMVTK","https://images-na.ssl-images-amazon.com/images/I/71r5Gqy84rL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.845Z"
"B0BDQLJMFV","PartyWoo Black Balloons 140 pcs Different Sizes of 18 12 10 5 Inch Black Balloons Arch Kit Garland for Baby Shower Birthday Graduation Casino Gaming Anniversary Retirement Party Decorations Black-Y18","$8.99","4.4","7430","","Toys & Games","4","Kids' Party Balloons","2","","","87","2","FBA","$504,673.89","51,172","https://www.amazon.com/dp/B0BDQLJMFV","https://images-na.ssl-images-amazon.com/images/I/719Q+UaPALL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.846Z"
"B000BUUTJ6","Bicycle Jumbo Index Playing Cards , 2 Pack Large Print Poker Size Deck of Cards for Easy Reading, Family Card Games, and Casino Play","$5.24","4.8","28143","","Toys & Games","5","Standard Playing Card Decks","1","","","11","6","AMZ","$657,178.81","65,592","https://www.amazon.com/dp/B000BUUTJ6","https://images-na.ssl-images-amazon.com/images/I/71Ygz4aX3NL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.846Z"
"B00JM5GW10","Play Doh Modeling Compound 10-Pack Case of Assorted Colors, Non-Toxic 2 oz. Cans, Back to School Gifts, Prizes, & Party Favors, Preschool Toys for Kids, Ages 2+ (Amazon Exclusive)","$7.99","4.8","66917","","Toys & Games","6","Kids' Art Clay & Dough","1","","","1","3","AMZ","$794,990.34","99,498","https://www.amazon.com/dp/B00JM5GW10","https://images-na.ssl-images-amazon.com/images/I/71LqxbA1WCL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.846Z"
"B0BH45SNRM","LEGO Roses - Building Toy for Kids, Girls & Boys, Ages 8+ - Artificial, Fake Roses for Home Decor & Display - Gift Idea for Plant & Flower Lovers - 40460","$12.99","4.8","6894","","Toys & Games","7","Toy Building Sets","2","","","2","16","AMZ","$213,849.70","21,578","https://www.amazon.com/dp/B0BH45SNRM","https://images-na.ssl-images-amazon.com/images/I/71Nz5KYCW4L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.847Z"
"B0C6XBP4CW","Schylling NeeDoh Gumdrop - Textured Sensory Toy with Super Solid Squish - 2.5"" Tall - Colors May Vary (Pack of 1)","$7.25","4.3","13543","","Toys & Games","8","Squeeze Toys","2","","","3","5","FBA","$303,101.86","34,035","https://www.amazon.com/dp/B0C6XBP4CW","https://images-na.ssl-images-amazon.com/images/I/71v0sBDQvsL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.847Z"
"B0DT44TSM2","POP MART The Monsters Big into Energy Series-Vinyl Plush Pendant Blind Box, Blind Box Figures, Random Design Action Figures Collectible Toys Home Decorations, Single Box","$36.98","4.6","1763","","Toys & Games","9","Stuffed Animals & Plush Toys","1","","","2","5","FBA","$5,537,296.17","44,377","https://www.amazon.com/dp/B0DT44TSM2","https://images-na.ssl-images-amazon.com/images/I/711IpYzAhhL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.848Z"
"B0D9ZTW7PS","Schylling NeeDoh Nice Ice Baby - Sensory Squeeze Toy - Super Solid Squish - 1.25"" Wide - Color May Vary (Pack of 1)","$6.79","4.1","2105","","Toys & Games","10","Squeeze Toys","3","","","1","14","FBA","$446,140.92","65,922","https://www.amazon.com/dp/B0D9ZTW7PS","https://images-na.ssl-images-amazon.com/images/I/717FM41-pPL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.849Z"
"B00006RVTS","Crayola Colored Pencils (36ct), Kids Pencil Set, Pre-Sharpened Coloring Book Pencils for Kids & Adults, Arts & Crafts Supplies, Ages 3+","$4.94","4.8","48644","","Toys & Games","11","Kids' Colored Pencils","1","","","2","4","AMZ","$321,373.34","47,054","https://www.amazon.com/dp/B00006RVTS","https://images-na.ssl-images-amazon.com/images/I/61TZzq7oBKL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.849Z"
"B09PGVGCH5","Horizon Group USA Bluey Aqua Art - Reusable Water Reveal Activity Pages With Water Pen for No-Mess Drawing and Coloring","$4.99","4.7","11647","","Toys & Games","12","Kids' Paint With Water Kits","1","","","11","1","AMZ","$510,607.16","93,266","https://www.amazon.com/dp/B09PGVGCH5","https://images-na.ssl-images-amazon.com/images/I/81fmkv7E38L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.850Z"
"B07B6ZN7P8","LeapFrog Learning Friends 100 Words Book, Green","$14.64","4.8","144226","","Toys & Games","13","Interactive Electronic Learning Books","1","","","7","6","AMZ","$2,034,689.61","109,141","https://www.amazon.com/dp/B07B6ZN7P8","https://images-na.ssl-images-amazon.com/images/I/71wQb2LWUkL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.851Z"
"B0BJZRS4KR","40 Inch Beige Number 1 Balloon for 1st Birthday Decoration, Large Self Inflating Cream Foil Number Balloons 0-9 for Boys Girls, White Sand 1 Helium Balloons for Women Men Party Anniversary Supplies","$5.99","4.2","4243","","Toys & Games","14","Kids' Party Balloons","3","","","210","1","FBA","$171,351.05","28,232","https://www.amazon.com/dp/B0BJZRS4KR","https://images-na.ssl-images-amazon.com/images/I/61x6TgbHHKL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.851Z"
"B00ZRD99C0","Bright Starts Oball Easy Grasp Classic Ball BPA-Free Infant Toy in Red, Yellow, Green, Blue, Age Newborn and up, 4 Inches","$4.74","4.8","81458","","Toys & Games","15","Balls for Babies & Toddlers","1","","","17","1","AMZ","$137,290.04","22,994","https://www.amazon.com/dp/B00ZRD99C0","https://images-na.ssl-images-amazon.com/images/I/71BFqKPjRBL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.852Z"
"B003HGGPLW","Crayola Broad Line Markers (12 Count), Washable Markers for Kids, Assorted Colors, Arts & Crafts Supplies, For Coloring Books & Art Projects, Ages 3+","$7.74","4.8","19386","","Toys & Games","16","Kids' Coloring Pens & Markers","1","","","2","6","AMZ","$167,201.54","33,169","https://www.amazon.com/dp/B003HGGPLW","https://images-na.ssl-images-amazon.com/images/I/81YCP3jdKKL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.853Z"
"B0829FT44S","50+ Official Pokemon Cards Collection with 5 Foils in Any Combination and at Least 1 Rarity, GX, EX, FA, Tag Team, Or Secret Rare","$7.98","4.4","10317","","Toys & Games","17","Dedicated Deck Card Games","1","","","1","21","FBA","$292,621.01","36,364","https://www.amazon.com/dp/B0829FT44S","https://images-na.ssl-images-amazon.com/images/I/71p-47sRv9L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.853Z"
"B0DG2VRFV7","30 Pack Squishy Toys, Kawaii Squishies Party Favors for Kids 4-8 8-12 Treasure Box Toys for Classroom Birthday Xmas Gifts Goodie Bag Mini Animals Mochi Squishy Stress Relief Sensory Toys Random","$7.99","4.6","2136","","Toys & Games","18","Squeeze Toys","4","","","5","1","FBA","$235,562.54","26,166","https://www.amazon.com/dp/B0DG2VRFV7","https://images-na.ssl-images-amazon.com/images/I/71HXqi9myuL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:00.854Z"
"B0FMS891HB","LEGO Creator 3 in 1 Cute Hamster with a Flower Building Toy for Girls & Boys, Ages 7+ - Kids Build a Hamster, Hedgehog or Eagle Animal Figure - Gift Idea for Birthdays - 31376","$9.99","4.9","71","","Toys & Games","19","Toy Building Sets","3","","","1","2","AMZ","$141,420.35","14,156","https://www.amazon.com/dp/B0FMS891HB","https://images-na.ssl-images-amazon.com/images/I/713PfQ42y7L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T21:29:01.487Z"
