asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B0FLXY2CBC","8 Blade All-in-1 Vegetable Chopper Mandoline Slicer with Container, Food Chopper, Onion Chopper, Veggie Cutter for Salad, Kitchen Gadgets Accessories Essentials, White","$16.99","4.5","478","","Kitchen & Dining","10","Seasoning & Spice Choppers","1","","","4","1","FBA","$285,087.72","14,352","https://www.amazon.com/dp/B0FLXY2CBC","https://images-na.ssl-images-amazon.com/images/I/71Qj8BrJQtL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:34:25.007Z"
"B0764HS4SL","Fullstar The Original Pro Chopper - Vegetable Chopper and Spiralizer, Food Chopper with Container, Fruit Slicer, Kitchen Gadgets & Gifts, Home Essentials (4 in 1, White)","$29.99","4.5","125216","","Kitchen & Dining","35","Seasoning & Spice Choppers","2","","","13","1","FBA","$2,824,564.93","94,599","https://www.amazon.com/dp/B0764HS4SL","https://images-na.ssl-images-amazon.com/images/I/81GZZyozv-L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:34:25.008Z"
"B0DCKCK326","Mueller Vegetable Chopper Mandoline Slicer, Food Veggie Chopper, Cheese Grater, Onion Vegetable Cutter with Container, Dicer, Kitchen Gadgets & Essentials, White Sand/Grey","$20.89","4.6","25999","","Kitchen & Dining","81","Seasoning & Spice Choppers","3","","","2","4","FBA","$763,603.84","33,923","https://www.amazon.com/dp/B0DCKCK326","https://images-na.ssl-images-amazon.com/images/I/81dhj9s4w4L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:34:25.008Z"
"B09WFWN76D","OXO Good Grips Vegetable Chopper","$22.58","4.5","5359","","Kitchen & Dining","410","Seasoning & Spice Choppers","4","","","1","5","FBA","$295,522.73","12,965","https://www.amazon.com/dp/B09WFWN76D","https://images-na.ssl-images-amazon.com/images/I/61qwEbpg9KL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:34:25.009Z"
"B096Z5C4LK","Ourokhome Manual Food Processor Vegetable Chopper, Portable Hand Pull String Garlic Mincer Onion Cutter for Veggies, Ginger, Fruits, Nuts, Herbs, etc., 500ml, Grey","$8.93","4.5","10848","","Kitchen & Dining","616","Seasoning & Spice Choppers","5","","","15","1","FBA","$136,293.04","12,145","https://www.amazon.com/dp/B096Z5C4LK","https://images-na.ssl-images-amazon.com/images/I/71wMPXTwikL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:34:25.010Z"
"B0F8RFGQ19","Ziweaye Manual Food Processor Vegetable Chopper, Portable Hand Pull String Garlic Mincer Onion Cutter for Veggies, Ginger, Fruits, Nuts, Herbs, etc., 500ml,（Gray-green）","$7.99","4.5","722","","Kitchen & Dining","1065","Seasoning & Spice Choppers","6","","","5","1","FBA","$31,945.60","3,451","https://www.amazon.com/dp/B0F8RFGQ19","https://images-na.ssl-images-amazon.com/images/I/710cQKF-1BL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:34:25.011Z"
"B000I6JZWA","Vidalia Chop Wizard, Vegetable and Fruit Chopper with 2 Cup Base, Stainless Steel Blades, Dishwasher Safe","$22.95","4.6","21274","","Kitchen & Dining","1201","Seasoning & Spice Choppers","7","","","1","3","FBA","$157,807.87","7,213","https://www.amazon.com/dp/B000I6JZWA","https://images-na.ssl-images-amazon.com/images/I/51jTJfNnjtL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:34:25.012Z"
"B097CW44Q5","Cambom Manual Food Chopper Vegetable Cutter, Hand String Vegetable Chopper Onions Cutter for Vegetable Fruits Nuts BPA Free Food Safe Material, 500ml Gray","$7.99","4.5","9387","","Kitchen & Dining","1255","Seasoning & Spice Choppers","8","","","14","1","FBA","$60,688.86","5,811","https://www.amazon.com/dp/B097CW44Q5","https://images-na.ssl-images-amazon.com/images/I/61JuIDlVloL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:34:25.012Z"
"B0C9ZGMN9D","JAYVAR Onion Holder for Slicing, Onion Cutter Vegetable Chopper, Stainless Steel Tomato Slicer Vegetable Cutter for Potato, Avocados, Eggs, Food Slicer Assistant Tool for Fruit Lemon and Meat","$8.98","4.5","4174","","Kitchen & Dining","1570","Seasoning & Spice Choppers","9","","","1","1","FBA","$46,282.28","4,857","https://www.amazon.com/dp/B0C9ZGMN9D","https://images-na.ssl-images-amazon.com/images/I/718d5Zc8RXL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:34:25.013Z"
"B0DFC5R1L2","Stainless Steel Onion Slice Holder, Lemon Slicer Vegetable Cutter, Chopper Slicing Assistant Tool for Meat, Onion, Potato, Tomato Home Kitchen Tools (1 PCS)","$12.99","4.4","1733","","Kitchen & Dining","2082","Seasoning & Spice Choppers","10","","","6","1","FBA","$25,236.24","3,021","https://www.amazon.com/dp/B0DFC5R1L2","https://images-na.ssl-images-amazon.com/images/I/61TzUtY+4DL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:34:25.013Z"
