asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B007R8XGJA","CELSIUS Sparkling Orange, Functional Essential Energy Drink 12 Fl Oz (Pack of 12)","$19.98","4.6","99115","","Grocery & Gourmet Food","1","Energy Drinks","1","","","23","3","AMZ","$7,414,170.84","366,858","https://www.amazon.com/dp/B007R8XGJA","https://images-na.ssl-images-amazon.com/images/I/81AUXMI85aL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:20:35.212Z"
"B01N05APQY","Nespresso Capsules Vertuo, Variety Pack, Medium and Dark Roast Coffee, 30 Count Coffee Pods, Brews 7.8 oz.","$42.00","4.8","140383","","Grocery & Gourmet Food","2","Single-Serve Coffee Capsules & Pods","1","","","8","2","AMZ","$11,766,955.15","277,572","https://www.amazon.com/dp/B01N05APQY","https://images-na.ssl-images-amazon.com/images/I/613UCQXJDwL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:20:35.213Z"
"B000SDKDM4","Lavazza Super Crema Whole Bean Coffee, Medium Espresso Roast, Arabica and Robusta Blend, 2.2 lb Bag, Package May Vary (Pack of 1)","$16.61","4.5","54935","","Grocery & Gourmet Food","3","Roasted Coffee Beans","1","","","5","5","AMZ","$2,131,868.72","98,494","https://www.amazon.com/dp/B000SDKDM4","https://images-na.ssl-images-amazon.com/images/I/61dSjp-nZvL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:20:35.213Z"
"B0BL7316GD","Monster Energy Zero Ultra, Sugar Free Energy Drink, 16 Ounce | Pack of 15","$27.49","4.7","82701","","Grocery & Gourmet Food","4","Energy Drinks","2","","","33","7","AMZ","$6,011,844.14","186,601","https://www.amazon.com/dp/B0BL7316GD","https://images-na.ssl-images-amazon.com/images/I/71icrGncNzL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:20:35.214Z"
"B07ZLFPXHC","Banana Bunch (4-5 Count)","","4.5","70980","","Grocery & Gourmet Food","5","Fresh Fruits","1","","","1","1","AMZ","$0.00","N/A","https://www.amazon.com/dp/B07ZLFPXHC","https://images-na.ssl-images-amazon.com/images/I/61aLynLf2GL._AC_UL300_SR300,200_.jpg","false","false","1","2026-02-01T18:20:35.215Z"
"B003P02EGU","Sparkling Ice, Black Raspberry Sparkling Water, Zero Sugar Flavored Water, with Vitamins and Antioxidants, Low Calorie Beverage, 17 fl oz Bottles (Pack of 12)","$12.47","4.6","107419","","Grocery & Gourmet Food","6","Carbonated Drinking Water","1","","","17","1","AMZ","$2,082,636.20","161,895","https://www.amazon.com/dp/B003P02EGU","https://images-na.ssl-images-amazon.com/images/I/81fv0rP0kPL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:20:35.215Z"
"B01DDIRDZA","Core Power Elite High Protein Shake, Chocolate, 42g Bottle, 14oz, 12 Pack","$49.98","4.6","38893","","Grocery & Gourmet Food","7","Protein Drinks","1","","","6","51","AMZ","$10,470,901.57","285,884","https://www.amazon.com/dp/B01DDIRDZA","https://images-na.ssl-images-amazon.com/images/I/81gd0FxLYYL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:20:35.216Z"
"B09RC41QGJ","Twinings Lemon & Ginger Herbal Tea Individually Wrapped Bags, 100 Count (Pack of 1), Tangy Lemon, Spicy Ginger, Naturally Caffeine-Free, Enjoy Hot or Iced, 100 Teabags","$13.71","4.7","110283","","Grocery & Gourmet Food","8","Herbal Tea","2","","","154","3","AMZ","$2,210,757.28","181,199","https://www.amazon.com/dp/B09RC41QGJ","https://images-na.ssl-images-amazon.com/images/I/71atqr5Hh3L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:20:35.217Z"
"B076H6F974","Frito-Lay Fun Times Mix Variety Pack, 2.37 Pounds, (Pack of 40)","$15.67","4.6","171139","","Grocery & Gourmet Food","9","Potato Chips & Crisps","1","","","12","5","AMZ","$2,839,089.94","151,855","https://www.amazon.com/dp/B076H6F974","https://images-na.ssl-images-amazon.com/images/I/91R081RZiML._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:20:35.217Z"
"B0FL9GK819","Bloom Nutrition Sparkling Energy Drink - Natural Caffeine, Zero Sugar, 180mg Caffeine - Antioxidant-Rich with Green Coffee Bean, Green Tea Extract, Prebiotics - Crisp Apple - 12oz 12 Pack","$24.99","4.7","4860","","Grocery & Gourmet Food","10","Energy Drinks","3","","","16","1","AMZ","$2,933,283.37","137,741","https://www.amazon.com/dp/B0FL9GK819","https://images-na.ssl-images-amazon.com/images/I/81tOIELHpnL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:20:35.218Z"
