asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B06WWRCZXX","Queen Size 4 Piece Sheet Set - Comfy Breathable & Cooling Bed Sheets Set - Hotel Luxury Bedding for Women, Men, Kids, Teens, Boys & Girls - Deep Pockets, Soft and Wrinkle Free - Oeko-Tex - Dark Grey","$21.24","4.5","423819","","Home & Kitchen","1","Kids' Sheet & Pillowcase Sets","1","","","440","1","FBA","$8,111,476.61","272,453","https://www.amazon.com/dp/B06WWRCZXX","https://images-na.ssl-images-amazon.com/images/I/61f1FJiuShL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T17:43:31.937Z"
"B085DTZQNZ","Owala FreeSip Insulated Stainless Steel Water Bottle with Straw, BPA-Free Sports Water Bottle, Great for Travel, 24 Oz, Very, Very Dark | Insulated, with Straw, for Sports, Travel, and School, BPA-Free","$21.72","4.7","107332","","Kitchen & Dining","1","Travel & To-Go Drinkware","1","Insulated Bottles","1","62","3","AMZ","$20,277,141.68","638,010","https://www.amazon.com/dp/B085DTZQNZ","https://images-na.ssl-images-amazon.com/images/I/718RbhzhVbL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T17:43:31.937Z"
"B0C2C9NHZW","LEVOIT Top Fill Humidifiers for Bedroom, 2.5L Tank for Large Room, Easy to Fill & Clean, 28dB Quiet Cool Mist Air Humidifier for Home Baby Nursery & Plants, Auto Shut-off for Safety, 25H","$27.96","4.4","20115","","Home & Kitchen","3","Humidifiers","1","","","1","1","AMZ","$0.00","N/A","https://www.amazon.com/dp/B0C2C9NHZW","https://images-na.ssl-images-amazon.com/images/I/71xIgTqSN6L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T17:43:31.938Z"
"B0BQR2BQYZ","upsimples 11x14 Picture Frame, Display Pictures 8x10 with Mat or 11x14 Without Mat, Wall Hanging Photo Frame, Black, 1 Pack","$6.99","4.5","35299","","Home & Kitchen","4","Wall & Tabletop Picture Frames","1","","","203","1","FBA","$2,477,556.74","225,890","https://www.amazon.com/dp/B0BQR2BQYZ","https://images-na.ssl-images-amazon.com/images/I/71Si2QlAb3L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T17:43:31.938Z"
"B00FXNAAW2","Amazon Basics Slim, Velvet, Non-Slip Suit Clothes Hangers, Pack of 50, Black","$17.81","4.8","225118","","Home & Kitchen","5","Standard Hangers","1","","","17","1","AMZ","$3,893,651.76","191,090","https://www.amazon.com/dp/B00FXNAAW2","https://images-na.ssl-images-amazon.com/images/I/81Cn1+lUraL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T17:43:31.939Z"
"B07V6M3PDX","Amazon Basics Ceramic Space Heater, Portable Indoor Heating Solution, With Overheat and Tip-Over Protection, Thermostat, Non-Oscillating, 1500W, 7.52""D x 6.34""W x 9.45""H, Silver","$19.79","4.4","44527","","Home & Kitchen","6","Indoor Electric Space Heaters","1","","","4","1","AMZ","$2,820,931.26","130,822","https://www.amazon.com/dp/B07V6M3PDX","https://images-na.ssl-images-amazon.com/images/I/81LOT-SLKLL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T17:43:31.940Z"
"B08QRFZ6TH","Barossa Design Plastic Shower Liner Clear - Premium PEVA Shower Curtain Liner with Rustproof Grommets and 3 Magnets, Waterproof Cute Lightweight Standard Size Bathroom Curtains - Clear","$8.95","4.5","91664","","Home & Kitchen","7","Shower Curtain Liners","1","","","93","1","FBA","$1,574,826.21","150,444","https://www.amazon.com/dp/B08QRFZ6TH","https://images-na.ssl-images-amazon.com/images/I/7136-eapqKL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T17:43:31.940Z"
"B01LYNW421","Beckham Hotel Collection Bed Pillows Standard/Queen Size Set of 2 - Original Soft Down Alternative Pillow for Sleeping - Soft Support for Back, Stomach or Side Sleepers","$41.98","4.3","257751","","Home & Kitchen","8","Bed Pillows","1","","","3","2","FBA","$4,334,753.56","85,298","https://www.amazon.com/dp/B01LYNW421","https://images-na.ssl-images-amazon.com/images/I/71329CVoVDL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T17:43:31.941Z"
"B0CFGYFCYL","OLANLY Bathroom Rugs 30x20, Extra Soft Absorbent Chenille Bath Rugs, Rubber Backing Quick Dry, Machine Washable Bath Mats for Bathroom Floor, Tub and Shower, Home Decor Accessories, Grey","$9.47","4.4","37236","","Home & Kitchen","9","Bath Rugs","1","","","525","2","FBA","$3,293,289.17","150,721","https://www.amazon.com/dp/B0CFGYFCYL","https://images-na.ssl-images-amazon.com/images/I/914ufIDbM1L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T17:43:31.942Z"
"B0113UZJE2","Etekcity Food Kitchen Scale, Digital Grams and Ounces for Weight Loss, Baking, Cooking, Keto and Meal Prep, LCD Display, Medium, 304 Stainless Steel","$6.92","4.6","172151","","Kitchen & Dining","2","Digital Kitchen Scales","1","","","13","1","AMZ","$1,755,290.35","88,166","https://www.amazon.com/dp/B0113UZJE2","https://images-na.ssl-images-amazon.com/images/I/91YrLTBnMcL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T17:43:31.942Z"
"B00NX0WXQI","Utopia Bedding Queen Size Sheet Set – 4 Piece Bed Sheets, Soft and Breathable Microfiber, Includes 1 Fitted Sheet, 1 Flat Sheet and 2 Pillowcases – Oeko Tex (Grey)","$14.99","4.6","230999","","Home & Kitchen","11","Sheet & Pillowcase Sets","1","","","151","2","FBA","$2,052,168.71","97,253","https://www.amazon.com/dp/B00NX0WXQI","https://images-na.ssl-images-amazon.com/images/I/71JAtSHx8iL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T17:43:31.943Z"
