asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B07HF3X6Y4","HiLIFE Steamer for Clothes, Portable Handheld Clothing Steamer, 240ml Big Capacity, 700W, Strong Power, Fabric Quick Wrinkle Remover with Brush for Home, Office, Travel (ONLY 120V) -Blue","$26.99","4.3","130798","","Home & Kitchen","171","Garment Steamers","1","","","10","4","FBA","$1,357,278.89","49,262","https://www.amazon.com/dp/B07HF3X6Y4","https://images-na.ssl-images-amazon.com/images/I/61EjVq6gYlL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.072Z"
"B01NB05WI5","BLACK+DECKER Easy Steam Compact Iron for Clothes, Automatic Shutoff, Nonstick Plate, Light Weight, 1200 Watts","$20.99","4.4","41231","","Home & Kitchen","205","Irons","1","","","2","2","AMZ","$833,535.79","38,884","https://www.amazon.com/dp/B01NB05WI5","https://images-na.ssl-images-amazon.com/images/I/61fi4vDCexL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.072Z"
"B09KT67BL1","HomeHacks 2 Pack Large Laundry Baskets, Waterproof, Freestanding Laundry Hampers, Collapsible Clothes Hamper with Reinforced Handles in Laundry Room, College Dorm, Bathroom, Bedroom (Grey, 75Lx2)","$19.99","4.5","22519","","Home & Kitchen","250","Laundry Baskets","1","","","36","2","FBA","$918,287.80","34,393","https://www.amazon.com/dp/B09KT67BL1","https://images-na.ssl-images-amazon.com/images/I/81rYQCVHPlL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.073Z"
"B07V91437Y","Conair Turbo Extreme Steam Hand Held Fabric Steamer, GS59X, 1875W, 15 min, 7.3 oz, White/Champagne","$68.99","4.2","23601","","Home & Kitchen","526","Garment Steamers","2","","","3","1","AMZ","$568,601.62","8,428","https://www.amazon.com/dp/B07V91437Y","https://images-na.ssl-images-amazon.com/images/I/71YfKXR18lL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.073Z"
"B0DG441CZ5","Pursteam SteamBurst+ 1750W Steam Iron, Ceramic Soleplate, Adjustable Steam, Burst of Steam, Self-Clean, Anti-Calc, Anti-Drip, Powerful & Long-Lasting Steam for All Fabrics","$37.95","4.3","53719","","Home & Kitchen","592","Irons","2","","","6","3","FBA","$816,901.86","17,494","https://www.amazon.com/dp/B0DG441CZ5","https://images-na.ssl-images-amazon.com/images/I/61G-vPlttBL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.074Z"
"B0CF88RN17","Jack ＆ Rose Travel Steamer for Clothes,100-220V Portable Iron,15s Heat Up,Steamer ＆ Iron 2 In 1, Travel Size,Large Ceramic Heat Panel,for Global and Europe","$45.98","4.5","3012","","Home & Kitchen","675","Garment Steamers","3","","","3","2","FBA","$1,142,022.24","18,539","https://www.amazon.com/dp/B0CF88RN17","https://images-na.ssl-images-amazon.com/images/I/71R43OwhG7L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.075Z"
"B0D3DZQ1ZM","HiLIFE Steamer for Clothes, Portable Handheld Design, 240ml Big Capacity, 700W, Strong Penetrating Steam, Removes Wrinkle, for Home, Office(ONLY FOR 120V)-Black","$24.58","4.3","5653","","Home & Kitchen","939","Travel Garment Steamers","1","","","4","3","FBA","$370,083.47","14,933","https://www.amazon.com/dp/B0D3DZQ1ZM","https://images-na.ssl-images-amazon.com/images/I/61iLOu940pL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.075Z"
"B07LCSNBMZ","GORILLA GRIP The Original Ironing Board Cover and Pad, Silicone Coating, Thick Scorch Resistant Padding, Heavy Duty Iron Covers Standard Boards, Hook and Loop Fastener Strap, Silver, 15x54","$23.99","4.5","29618","","Home & Kitchen","1238","Ironing Board Covers","1","","","21","1","FBA","$244,955.03","9,893","https://www.amazon.com/dp/B07LCSNBMZ","https://images-na.ssl-images-amazon.com/images/I/51Uy5+tWogL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.076Z"
"B0B9BKQ8S9","OGHom Steamer for Clothes, Handheld Clothing Steamer for Garment, 240ml Big Capacity 700W Portable Travel Steam Iron (Blue)","$24.99","4.3","53104","","Home & Kitchen","1398","Garment Steamer Accessories","1","","","3","2","FBA","$358,974.26","13,953","https://www.amazon.com/dp/B0B9BKQ8S9","https://images-na.ssl-images-amazon.com/images/I/51pG8jNdXGL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.077Z"
"B0BLV946NK","Caroeas 90L Laundry Basket (13 Colors), Waterproof Laundry Hamper, Laundry Bag with Padded Handles, Clothes Hamper Stands Up Well, Collapsible Laundry Basket Easy Storage","$9.29","4.4","19868","","Home & Kitchen","1555","Laundry Baskets","2","","","32","1","FBA","$166,769.85","12,756","https://www.amazon.com/dp/B0BLV946NK","https://images-na.ssl-images-amazon.com/images/I/71IHviEKhEL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.077Z"
"B0BVYZ4WYM","DOKEHOM 90L Large Laundry Basket, Collapsible Laundry Bag, Freestanding Tall Clothes Hamper, Foldable Washing Bin (Black)","$11.99","4.5","49174","","Home & Kitchen","1686","Laundry Baskets","3","","","25","1","FBA","$200,389.81","12,556","https://www.amazon.com/dp/B0BVYZ4WYM","https://images-na.ssl-images-amazon.com/images/I/61HOsRsJ7iL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.078Z"
"B08P456NHG","BEAUTURAL Steamer for Clothes, Portable Garment Wrinkle Remover, Fast 30s Heat-up, Foldable and Handheld, 120V Only (Not for 220V Europe)","$24.97","4.3","14708","","Home & Kitchen","1972","Travel Garment Steamers","2","","","1","3","FBA","$62,271.78","2,494","https://www.amazon.com/dp/B08P456NHG","https://images-na.ssl-images-amazon.com/images/I/51bnrIZhY+L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.079Z"
"B0DWWTC9HP","NIASSO Portable Travel Steamer, 1200W Handheld Fabric Steamer for Clothes, 4 Modes with LCD Display, Powerful Wrinkle Remover for Home & Travel, 150ml Water Tank, 10S Fast Heat-Up, 180° Swivel Handle","$22.97","4.5","1912","","Home & Kitchen","2088","Travel Garment Steamers","3","","","7","1","AMZ","$280,533.07","10,845","https://www.amazon.com/dp/B0DWWTC9HP","https://images-na.ssl-images-amazon.com/images/I/61e59qeNLaL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.079Z"
"B08L5Z1ZM1","UniSimp Ironing Board Cover and Pad 15""x54"" Extra Thick Natural Cotton, Scorch and Stain Resistant Padding, Standard Size Iron Board Cover with Fasteners Heavy Duty Elastic Edge, Heatproof Geometric","$16.39","4.7","1923","","Home & Kitchen","2277","Ironing Board Covers","2","","","35","1","FBA","$143,704.53","6,918","https://www.amazon.com/dp/B08L5Z1ZM1","https://images-na.ssl-images-amazon.com/images/I/7194OuKD1aL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.080Z"
"B0CRH8ZTVZ","Powerful Handheld Fabric Steamer - 1800W with Fast Ceramic Heat-Up Plate, 2-in-1 Ironing & Wrinkle Remover, Steam Nozzle, Lint Brush - Blue, for US 120V Only","$21.23","4.4","1423","","Home & Kitchen","2578","Garment Steamers","4","","","3","1","FBA","$146,110.97","4,355","https://www.amazon.com/dp/B0CRH8ZTVZ","https://images-na.ssl-images-amazon.com/images/I/718Mw10vhLL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.081Z"
"B0CGRDFT2X","Goodpick Laundry Basket with Wheels, Laundry Hamper with Removable Wash Bag, Clothes Hamper, Rolling Laundry Basket, Dorm Room Essentials, 75L, Grey","$19.99","4.5","2861","","Home & Kitchen","2781","Laundry Baskets","4","","","19","2","FBA","$158,043.13","6,066","https://www.amazon.com/dp/B0CGRDFT2X","https://images-na.ssl-images-amazon.com/images/I/81-2dl-ooZL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.081Z"
"B08DZJX8L1","Rowenta Iron Steamer for Clothes, Focus Stainless Steel Soleplate, 400 Microsteam Holes, Powerful Steam Iron, Lightweight, Leakproof, 1725 Watts","$99.99","4.3","11484","","Home & Kitchen","3487","Irons","3","","","3","1","AMZ","$511,974.28","4,799","https://www.amazon.com/dp/B08DZJX8L1","https://images-na.ssl-images-amazon.com/images/I/71kuibW+dVL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.082Z"
"B0CJM3T218","PIOMATIC Travel Iron Mini with Steam for Clothes with Dual Voltage, Portable Mini Ironing Machine with Non-Stick Soleplate, Small Iron for Sewing, Quilting and Handcraft","$18.97","4.6","1082","","Home & Kitchen","3574","Irons","4","","","2","2","FBA","$104,548.57","5,227","https://www.amazon.com/dp/B0CJM3T218","https://images-na.ssl-images-amazon.com/images/I/61Rujc+winL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:40:10.083Z"
