asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B07MHJFRBJ","Bounty Quick Size Paper Towels, White, 8 Family Rolls","$24.42","4.8","228004","","Health & Household","1","Paper Towels","1","","","4","2","AMZ","$14,339,125.22","408,143","https://www.amazon.com/dp/B07MHJFRBJ","https://images-na.ssl-images-amazon.com/images/I/81Ubo+JAyxL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.616Z"
"B01N05APQY","Nespresso Capsules Vertuo, Variety Pack, Medium and Dark Roast Coffee, 30 Count Coffee Pods, Brews 7.8 oz.","$42.00","4.8","140383","","Grocery & Gourmet Food","2","Single-Serve Coffee Capsules & Pods","1","","","8","2","AMZ","$11,766,955.15","277,572","https://www.amazon.com/dp/B01N05APQY","https://images-na.ssl-images-amazon.com/images/I/613UCQXJDwL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.617Z"
"B0C2CY22B8","Amazon Basics Everyday Paper Plates, 8.62 Inch, Disposable, 100 Count, Packaging May Vary","$5.76","4.7","48462","","Health & Household","4","Disposable Plates","1","","","4","1","AMZ","$2,098,767.06","232,827","https://www.amazon.com/dp/B0C2CY22B8","https://images-na.ssl-images-amazon.com/images/I/715RiaPa6tL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.617Z"
"B085DTZQNZ","Owala FreeSip Insulated Stainless Steel Water Bottle with Straw, BPA-Free Sports Water Bottle, Great for Travel, 24 Oz, Very, Very Dark | Insulated, with Straw, for Sports, Travel, and School, BPA-Free","$21.72","4.7","107332","","Kitchen & Dining","1","Travel & To-Go Drinkware","1","Insulated Bottles","1","62","3","AMZ","$20,277,141.68","638,010","https://www.amazon.com/dp/B085DTZQNZ","https://images-na.ssl-images-amazon.com/images/I/718RbhzhVbL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.618Z"
"B0DF8RSVJK","Scott Paper Towels, Choose-A-Sheet, 6 Double Rolls = 12 Regular Rolls (108 Sheets Per Roll)","$9.19","4.5","18247","","Health & Household","12","Paper Towels","2","","","7","1","AMZ","$2,288,449.00","162,930","https://www.amazon.com/dp/B0DF8RSVJK","https://images-na.ssl-images-amazon.com/images/I/81GimKZfzDL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.618Z"
"B09BWFX1L6","Amazon Basics FSC-Certified 2-Ply Flex-Sheets Paper Towels, 150 Sheets per Roll, 12 Basics Rolls = 32 Regular Rolls","$22.86","4.2","66159","","Health & Household","15","Paper Towels","3","","","3","1","AMZ","$2,997,610.79","179,031","https://www.amazon.com/dp/B09BWFX1L6","https://images-na.ssl-images-amazon.com/images/I/71v-pTar1AL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.619Z"
"B000SDKDM4","Lavazza Super Crema Whole Bean Coffee, Medium Espresso Roast, Arabica and Robusta Blend, 2.2 lb Bag, Package May Vary (Pack of 1)","$16.61","4.5","54935","","Grocery & Gourmet Food","3","Roasted Coffee Beans","1","","","5","5","AMZ","$2,131,868.72","98,494","https://www.amazon.com/dp/B000SDKDM4","https://images-na.ssl-images-amazon.com/images/I/61dSjp-nZvL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.620Z"
"B09NW92T8Q","Sparkle Pick-A-Size Paper Towels, 6 Double Rolls (660 Sheets Total) - Strong 2-Ply Towels for Kitchen Cleanup and Everyday Messes","$11.16","4.7","81201","","Health & Household","21","Paper Towels","4","","","15","1","AMZ","$3,932,888.03","226,966","https://www.amazon.com/dp/B09NW92T8Q","https://images-na.ssl-images-amazon.com/images/I/81tfqjSPKtL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.620Z"
"B0DQYR6X8R","Bounty Select-A-Size Paper Towels, White, 2 Triple Rolls = 6 Regular Rolls","$9.53","4.8","13395","","Health & Household","22","Paper Towels","5","","","4","1","AMZ","$2,932,234.97","205,345","https://www.amazon.com/dp/B0DQYR6X8R","https://images-na.ssl-images-amazon.com/images/I/81h-I5d7+LL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.621Z"
"B0DFHMZ922","Brawny Tear-A-Square 3-Ply Paper Towels, 6 Double Rolls = 12 Regular Rolls, Strong, Absorbent, and Durable with 3 Sheet Sizes (Quarter, Half, Full)","$12.04","4.8","10911","","Health & Household","29","Paper Towels","6","","","7","1","AMZ","$3,771,968.56","199,890","https://www.amazon.com/dp/B0DFHMZ922","https://images-na.ssl-images-amazon.com/images/I/71YEXsPAO7L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.622Z"
"B09RC41QGJ","Twinings Lemon & Ginger Herbal Tea Individually Wrapped Bags, 100 Count (Pack of 1), Tangy Lemon, Spicy Ginger, Naturally Caffeine-Free, Enjoy Hot or Iced, 100 Teabags","$13.71","4.7","110283","","Grocery & Gourmet Food","8","Herbal Tea","2","","","154","3","AMZ","$2,210,757.28","181,199","https://www.amazon.com/dp/B09RC41QGJ","https://images-na.ssl-images-amazon.com/images/I/71atqr5Hh3L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.622Z"
"B07M8P8F73","Nespresso Capsules Vertuo, Double Espresso Chiaro, Medium Roast Espresso Coffee, 30-Count Coffee Pods, Brews 2.7oz.","$40.50","4.8","34779","","Grocery & Gourmet Food","12","Single-Serve Coffee Capsules & Pods","2","","","3","2","AMZ","$7,645,675.05","188,776","https://www.amazon.com/dp/B07M8P8F73","https://images-na.ssl-images-amazon.com/images/I/61MqSic7o9L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.623Z"
"B07NYQ6ML7","Amazon Brand - Happy Belly Dark Roast Coffee Pods, Compatible with Keurig 2.0 K-Cup Brewers, 100 Count","$33.61","4.3","90218","","Grocery & Gourmet Food","13","Single-Serve Coffee Capsules & Pods","3","","","20","1","AMZ","$4,261,628.43","154,520","https://www.amazon.com/dp/B07NYQ6ML7","https://images-na.ssl-images-amazon.com/images/I/81TxPTi8ykL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.624Z"
"B0BZJVFFNM","Nespresso Capsules Vertuo, Barista Flavored Pack, Medium Roast Coffee, 30 Count Coffee Pods, Brews 7.77 fl. oz.","$42.00","4.7","20628","","Grocery & Gourmet Food","16","Single-Serve Coffee Capsules & Pods","4","","","7","3","AMZ","$6,749,853.26","160,710","https://www.amazon.com/dp/B0BZJVFFNM","https://images-na.ssl-images-amazon.com/images/I/61VWyLafP+L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.624Z"
"B009GDBNF8","Starbucks K-Cup Coffee Pods, Medium Roast Hot or Iced Coffee, Pike Place Roast, 96 Keurig Pods ​","$46.64","4.6","78474","","Grocery & Gourmet Food","17","Single-Serve Coffee Capsules & Pods","5","","","42","9","AMZ","$5,109,086.46","137,291","https://www.amazon.com/dp/B009GDBNF8","https://images-na.ssl-images-amazon.com/images/I/814-cZVGojL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.625Z"
"B000VCFB0G","Bounty Paper Napkins, White, 200 Count, Packaging may vary","$5.19","4.8","19493","","Health & Household","47","Disposable Napkins","1","","","3","3","AMZ","$670,299.09","153,470","https://www.amazon.com/dp/B000VCFB0G","https://images-na.ssl-images-amazon.com/images/I/713W0aBBUbL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.626Z"
"B007TJGY6O","The Original Donut Shop Regular Keurig Single-Serve K-Cup Pods, Medium Roast Coffee, 96 Count","$43.19","4.7","83631","","Grocery & Gourmet Food","29","Single-Serve Coffee Capsules & Pods","6","","","8","24","AMZ","$3,980,626.90","119,285","https://www.amazon.com/dp/B007TJGY6O","https://images-na.ssl-images-amazon.com/images/I/81bjNX4WdiL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T18:09:53.626Z"
