asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B00NESCOY0","Utopia Bedding Quilted Fitted Mattress Pad, Queen Size, Elastic Fitted Mattress Topper Protector and Cover with Deep Pocket Stretches up to 16 Inches, Machine Washable (White)","$28.29","4.6","153710","","Home & Kitchen","56","Mattress Pads","1","","","36","1","FBA","$1,318,219.99","62,872","https://www.amazon.com/dp/B00NESCOY0","https://images-na.ssl-images-amazon.com/images/I/8185v7yjrbL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:46:07.032Z"
"B073ZY6XH3","EASELAND Queen Size Mattress Pad Pillow Top Mattress Cover Quilted Fitted Mattress Protector Cotton Top Stretches up 8-21"" Deep Pocket Cooling Mattress Topper (60x80 inch, White)","$37.91","4.5","114691","","Home & Kitchen","170","","","","","","1","","$1,266,913.79","28,026","https://www.amazon.com/dp/B073ZY6XH3","https://images-na.ssl-images-amazon.com/images/I/61+GRc9EwgL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:46:07.033Z"
"B08KNXBSDT","MATBEBY King Size Mattress Pad - Cooling Breathable Mattress Topper, Quilted Fitted Mattress Protector, Pillow Top Mattress Cover with 8-21"" Deep Pocket, Soft, Machine Washable, White, 78x80 Inches","$33.99","4.5","42512","","Home & Kitchen","1104","","","","","","2","","$538,040.67","15,775","https://www.amazon.com/dp/B08KNXBSDT","https://images-na.ssl-images-amazon.com/images/I/71AnlsSYq6L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:46:07.034Z"
"B01KBKHX4E","Amazon Basics Hypoallergenic Quilted Mattress Topper Pad, 18 Inches Deep, Twin, White","$18.52","4.6","35591","","Our Brands","561","","","","","","1","","$295,382.90","15,810","https://www.amazon.com/dp/B01KBKHX4E","https://images-na.ssl-images-amazon.com/images/I/81O1+7Li0ML._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:46:07.034Z"
"B0D5QHDQBH","Bedsure Heated Mattress Pad Queen - Bed Warmer with Memory & Preheat Functions, 12-Hour Auto Off & 10 Heat Settings, Dual Controllers, Fast Heating, Brushed Electric Mattress Pad Queen, 60""x80""","$89.99","4.6","3232","","Home & Kitchen","1190","","","","","","1","","$1,080,766.06","12,535","https://www.amazon.com/dp/B0D5QHDQBH","https://images-na.ssl-images-amazon.com/images/I/71SqThPavZL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:46:07.035Z"
"B0BYNPPW8V","SameBed Mattress Topper Queen,Extra Thick Mattress Pad Cover for Back Pain,Cooling Mattress Protector with 8-21 Inch Deep Pocket,Overfilled Down Alternative Filling","$38.99","4.3","12807","","Home & Kitchen","1837","Mattress Pads","6","","","21","2","FBA","$430,838.89","11,027","https://www.amazon.com/dp/B0BYNPPW8V","https://images-na.ssl-images-amazon.com/images/I/71RWeYppqJL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:46:07.036Z"
"B01CNEZKQY","Bedsure Queen Mattress Pad - Quilted Fitted Mattress Topper Protector with 8-21 Inches Deep Pocket, Noiseless Breathable Bed Cover Padded, Machine Washable, White, 60x80 Inches","$28.79","4.5","28335","","Home & Kitchen","3590","Mattress Pads","7","","","22","1","FBA","$176,075.18","5,455","https://www.amazon.com/dp/B01CNEZKQY","https://images-na.ssl-images-amazon.com/images/I/71bzL9ezZOL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:46:07.036Z"
"B0D5HRYGVT","Heated Mattress Pad King,Dual Controller Electric Mattress Pad with Preheat Functions,Bed Warmer with 12 Heat Settings & 1-12 Hours Auto Shut Off, Machine Washable(78""x80"",White)","$79.99","4.6","648","","Home & Kitchen","3806","Electric Mattress Pads","3","Mattress Pads","8","12","1","FBA","$244,366.38","2,905","https://www.amazon.com/dp/B0D5HRYGVT","https://images-na.ssl-images-amazon.com/images/I/71yQAmTxK2L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:46:07.037Z"
"B08BLVXN7P","UNILIBRA Queen Mattress Protector Waterproof, Deep Pocket Mattress Pad Cover Fits to 6''-21'', Breathable Hollow Cotton Filling Quilted Mattress Protector for Queen Size","$28.95","4.6","14452","","Home & Kitchen","4560","Mattress Pads","9","","","45","1","FBA","$113,702.05","3,769","https://www.amazon.com/dp/B08BLVXN7P","https://images-na.ssl-images-amazon.com/images/I/61ExwmVeCdL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:46:07.038Z"
"B0D9WWJ3B3","Beckham Hotel Collection King Size Mattress Pad (Extra Padded) & Protector Hybrid - Quilted Pillow Top Mattress Cover - Thick, Plush, Fitted Mattress Topper for Bed","$72.29","4.5","681","","Home & Kitchen","4739","Mattress Pads","10","","","4","1","FBA","$270,387.31","3,046","https://www.amazon.com/dp/B0D9WWJ3B3","https://images-na.ssl-images-amazon.com/images/I/71PAMbvHLTL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-01T20:46:07.039Z"
