asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B00K6JUG4K","Vital Proteins Collagen Peptides Powder Advanced with Hyaluronic Acid & Vitamin C, 20oz Collagen Protein, Unflavored, 27 Servings","$42.99","4.4","213000","Unknown","Health & Household","53","Collagen Supplements","2","","","4","1","FBA","https://www.amazon.com/dp/B00K6JUG4K","https://m.media-amazon.com/images/I/71dh8ovfnrL._AC_UL320_.jpg","true","false","1","2026-01-26T19:32:42.206Z"
"B09RQBHRCT","Vital Proteins Collagen Peptides Powder - Supports Hair, Nail, Skin, Bone & Joint Health, Unflavored, Collagen Protein 9.33 OZ","$18.65","4.5","82200","Unknown","Health & Household","27","Collagen Supplements","1","","","14","1","FBA","https://www.amazon.com/dp/B09RQBHRCT","https://m.media-amazon.com/images/I/71QZNoHaxdL._AC_UL320_.jpg","true","false","1","2026-01-26T19:32:42.206Z"
"B07GY22VLW","Live Conscious Collagen Peptides Powder - Naturally-Sourced Hydrolyzed Collagen Powder - Hair, Skin, Nail, and Joint Support - Type I & III Grass-Fed Collagen Supplements for Women and Men - 16oz","$34.00","4.5","77100","Unknown","Health & Household","157","Collagen Supplements","3","","","14","1","FBA","https://www.amazon.com/dp/B07GY22VLW","https://m.media-amazon.com/images/I/719PP+XVu1L._AC_UL320_.jpg","true","false","1","2026-01-26T19:32:42.206Z"
"B07BL69CD2","Orgain Hydrolyzed Collagen Peptides Powder For Women & Men, 20g Grass Fed Collagen, Unflavored - Hair, Skin, Nail, & Joint Support Supplement, Paleo & Keto, Non-GMO, Type I and III, 1lb","$20.22","4.4","38500","Amazon","Health & Household","470","Collagen Supplements","7","","","3","2","AMZ","https://www.amazon.com/dp/B07BL69CD2","https://m.media-amazon.com/images/I/716IoQSJ4YL._AC_UL320_.jpg","true","false","1","2026-01-26T19:32:42.206Z"
"B00XQ2XGAA","Sports Research Collagen Peptides - Hydrolyzed Type 1 & 3 Collagen Powder Protein Supplement for Healthy Skin, Nails, & Joints - Easy Mixing Vital Nutrients & Proteins, Collagen for Women & Men","$32.95","4.6","140700","Unknown","Health & Household","183","Collagen Supplements","4","","","10","4","FBA","https://www.amazon.com/dp/B00XQ2XGAA","https://m.media-amazon.com/images/I/61q6dBjie4L._AC_UL320_.jpg","true","false","1","2026-01-26T19:32:42.207Z"
"B07WZVX3L1","Vital Vitamins Multi Collagen for Women & Men - Type I, II, III, V, X - Grass Fed, Non-GMO - 150 Capsules","$23.85","4.6","52800","Unknown","Health & Household","327","Collagen Supplements","6","","","4","2","FBA","https://www.amazon.com/dp/B07WZVX3L1","https://m.media-amazon.com/images/I/71Jdy0y+1BL._AC_UL320_.jpg","true","false","1","2026-01-26T19:32:42.207Z"
"B005KG7EDU","Great Lakes Wellness Collagen Peptides Powder for Skin, Hair, Nails, Joints & Digestion - Unflavored - 22 Servings (Pack of 1)","$29.99","4.6","37900","Unknown","Health & Household","671","Collagen Supplements","9","","","8","2","FBA","https://www.amazon.com/dp/B005KG7EDU","https://m.media-amazon.com/images/I/517iuJAtCQL._AC_UL320_.jpg","true","false","1","2026-01-26T19:32:42.207Z"
"B01BHF3OMW","Multi Collagen Protein Powder, 2 Pounds – Type I,II,III,V,X with Biotin 10000mcg, Hyaluronic Acid, Vitamin C – Unflavored Collagen Peptides – Keto & Paleo Friendly, Easy Dissolve, Non-GMO","$49.95","4.5","15300","Unknown","Health & Household","577","Collagen Supplements","8","","","3","1","FBA","https://www.amazon.com/dp/B01BHF3OMW","https://m.media-amazon.com/images/I/71YqRNc9wmL._AC_UL320_.jpg","true","false","1","2026-01-26T19:32:42.207Z"
"B071S8D69C","Anthony's Collagen Peptide Powder, 1 lb, Pure Hydrolyzed, Gluten Free, Keto and Paleo Friendly, Grass Fed, Unflavored, Non GMO","$25.99","4.7","12100","Unknown","Health & Household","1106","Collagen Supplements","12","","","1","2","FBA","https://www.amazon.com/dp/B071S8D69C","https://m.media-amazon.com/images/I/81dFDUo9ahL._AC_UL320_.jpg","true","false","1","2026-01-26T19:32:42.208Z"
"B07K4SK9SY","Garden of Life Grass Fed Collagen Peptides Powder Unflavored Collagen Powder for Women Men Hair Skin Nails Joints, Hydrolyzed Collagen Protein Supplements, Collagen for Women & Men, 28 Servings","$26.66","4.5","16700","Amazon","Health & Household","1004","Collagen Supplements","10","","","2","7","AMZ","https://www.amazon.com/dp/B07K4SK9SY","https://m.media-amazon.com/images/I/61a4cdr-hWL._AC_UL320_.jpg","true","false","1","2026-01-26T19:32:42.208Z"
