asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B00K6JUG4K","Vital Proteins Collagen Peptides Powder Advanced with Hyaluronic Acid & Vitamin C, 20oz Collagen Protein, Unflavored, 27 Servings","$42.99","4.4","213100","","Health & Household","51","Collagen Supplements","2","","","4","1","FBA","$6,200,825.31","151,548","https://www.amazon.com/dp/B00K6JUG4K","https://m.media-amazon.com/images/I/71dh8ovfnrL._AC_UL320_.jpg","false","false","1","2026-02-06T11:21:19.286Z"
"B09RQBHRCT","Vital Proteins Collagen Peptides Powder - Supports Hair, Nail, Skin, Bone & Joint Health, Unflavored, Collagen Protein 9.33 OZ","$19.58","4.5","82700","","Health & Household","28","Collagen Supplements","1","","","14","1","FBA","$5,193,185.78","205,425","https://www.amazon.com/dp/B09RQBHRCT","https://m.media-amazon.com/images/I/71QZNoHaxdL._AC_UL320_.jpg","false","false","1","2026-02-06T11:21:19.292Z"
"B07GY22VLW","Live Conscious Collagen Peptides Powder - Naturally-Sourced Hydrolyzed Collagen Powder - Hair, Skin, Nail, and Joint Support - Type I & III Grass-Fed Collagen Supplements for Women and Men - 16oz","$34.00","4.5","77200","","Health & Household","188","Collagen Supplements","3","","","13","1","FBA","$4,136,213.66","88,361","https://www.amazon.com/dp/B07GY22VLW","https://m.media-amazon.com/images/I/719PP+XVu1L._AC_UL320_.jpg","false","false","1","2026-02-06T11:21:19.297Z"
"B00XQ2XGAA","Sports Research Collagen Peptides - Hydrolyzed Type 1 & 3 Collagen Powder Protein Supplement for Healthy Skin, Nails, & Joints - Easy Mixing Vital Nutrients & Proteins, Collagen for Women & Men","$32.95","4.6","140800","","Health & Household","192","Collagen Supplements","4","","","10","5","FBA","$3,092,103.78","82,901","https://www.amazon.com/dp/B00XQ2XGAA","https://m.media-amazon.com/images/I/61q6dBjie4L._AC_UL320_.jpg","false","false","1","2026-02-06T11:21:19.301Z"
"B07BL69CD2","Orgain Hydrolyzed Collagen Peptides Powder For Women & Men, 20g Grass Fed Collagen, Unflavored - Hair, Skin, Nail, & Joint Support Supplement, Paleo & Keto, Non-GMO, Type I and III, 1lb","$21.49","4.4","38600","","Health & Household","507","Collagen Supplements","7","","","3","2","AMZ","$880,624.19","45,798","https://www.amazon.com/dp/B07BL69CD2","https://m.media-amazon.com/images/I/71xTFyVevEL._AC_UL320_.jpg","false","false","1","2026-02-06T11:21:19.305Z"
"B07WZVX3L1","Vital Vitamins Multi Collagen Capsules - Type I, II, III, V, X - Grass-Fed, Collagen Peptides Supplements, Non-GMO - for Men & Women - 150 Count","$23.95","4.6","52900","","Health & Household","323","Collagen Supplements","6","","","4","2","FBA","$1,636,798.40","60,496","https://www.amazon.com/dp/B07WZVX3L1","https://m.media-amazon.com/images/I/71Jdy0y+1BL._AC_UL320_.jpg","false","false","1","2026-02-06T11:21:19.309Z"
"B005KG7EDU","Great Lakes Wellness Collagen Peptides Powder for Skin, Hair, Nails, Joints & Digestion - Unflavored - 22 Servings (Pack of 1)","$29.99","4.6","37900","","Health & Household","677","Collagen Supplements","9","","","8","2","FBA","$1,064,303.80","32,073","https://www.amazon.com/dp/B005KG7EDU","https://m.media-amazon.com/images/I/71vgjdjU3gL._AC_UL320_.jpg","false","false","1","2026-02-06T11:21:19.313Z"
"B071S8D69C","Anthony's Collagen Peptide Powder, 1 lb, Pure Hydrolyzed, Gluten Free, Keto and Paleo Friendly, Grass Fed, Unflavored, Non GMO","$25.99","4.7","12200","","Health & Household","1106","Collagen Supplements","12","","","2","1","FBA","$613,083.90","23,668","https://www.amazon.com/dp/B071S8D69C","https://m.media-amazon.com/images/I/81dFDUo9ahL._AC_UL320_.jpg","false","false","1","2026-02-06T11:21:19.316Z"
"B0D5JL8GVL","Premium Liquid Collagen for Women Weight Loss & Beauty w. Hyaluronic Acid, Biotin, L-Carnitine, Apple C Vinegar - Ultra Pure Multi Collagen Protein Shots Drink + Hair & Skin Liquid Vitamins - Colageno","$26.95","4.3","2000","","Health & Household","1090","Collagen Supplements","11","","","1","1","FBA","$329,426.42","12,224","https://www.amazon.com/dp/B0D5JL8GVL","https://m.media-amazon.com/images/I/71PuVop80OL._AC_UL320_.jpg","false","false","1","2026-02-06T11:21:19.320Z"
"B08FNKSPD2","Nature Made Collagen Gummies with Vitamin C, Zinc, Biotin, Hydrolyzed Collagen Peptides for Women and Men, Healthy Skin Support Supplement, 60 Gummies, 60 Day Supply","$10.99","4.6","10600","","Health & Household","1146","Collagen Supplements","14","","","1","7","AMZ","$253,486.03","22,866","https://www.amazon.com/dp/B08FNKSPD2","https://m.media-amazon.com/images/I/71XC0UfCPLL._AC_UL320_.jpg","false","false","1","2026-02-06T11:21:19.324Z"
