asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B00002ND64","Kidde, FA110G, Multi Purpose Fire Extinguisher for Home, Office, Dorm, Residential, 1A10BC","$21.51","4.8","28300","Unknown","Tools & Home Improvement","46","Fire Extinguishers","1","","","4","17","AMZ","$999,680.40","25,343","https://www.amazon.com/dp/B00002ND64","https://m.media-amazon.com/images/I/61l6HshoxLL._AC_UL320_.jpg","true","false","1","2026-01-28T20:47:53.865Z"
"B0DH5CM2CC","2-Pack Fire Extinguisher for Home, Kitchen, Car, and Grill with Mounting Bracket– Extinguishing Spray, Compact A, B, C, K – Eco-Friendly, Prevents Reignition.","$17.47","4.7","1200","China","Tools & Home Improvement","506","Fire Extinguishers","3","","","1","1","FBA","$211,599.37","11,345","https://www.amazon.com/dp/B0DH5CM2CC","https://m.media-amazon.com/images/I/71rRnzqT3+L._AC_UL320_.jpg","true","false","1","2026-01-28T20:47:53.865Z"
"B09P9K8K2J","First Alert Home1-2, Standard Home Fire Extinguisher, Red, 2PACK","$36.98","4.8","48800","Unknown","Tools & Home Improvement","314","Fire Extinguishers","2","","","5","3","AMZ","$313,871.35","8,860","https://www.amazon.com/dp/B09P9K8K2J","https://m.media-amazon.com/images/I/71caBYmfQoL._AC_UL320_.jpg","true","false","1","2026-01-28T20:47:53.866Z"
"B07B9BNN24","First Alert Fire Extinguisher for Home & Commercial Use, Heavy Duty Rechargeable Compliance Unit, UL RATED 2-A:10-B:C, HOME2PRO, Red, 1-Pack","$44.98","4.8","9900","Unknown","Tools & Home Improvement","725","Fire Extinguishers","4","","","3","12","AMZ","$374,403.94","6,846","https://www.amazon.com/dp/B07B9BNN24","https://m.media-amazon.com/images/I/5145UYCSGoL._AC_UL320_.jpg","true","false","1","2026-01-28T20:47:53.866Z"
"B0DH5X7962","Fire Extinguisher for Home, Car, Kitchen, and Boat 3-Pack, Portable Extinguishing Aerosol Spray Compact A, B, C, K – Includes Mounting Brackets for Easy Access.","$24.90","4.7","686","China","Tools & Home Improvement","1830","Fire Extinguishers","6","","","3","1","FBA","$33,559.10","1,348","https://www.amazon.com/dp/B0DH5X7962","https://m.media-amazon.com/images/I/71afF0k96jL._AC_UL320_.jpg","true","false","1","2026-01-28T20:47:53.866Z"
"B0DJ1M79C4","Fire Extinguisher for Home 1Pack, Kitchen, Car, and Grill,Compact Water-Based A, B, C, K Extinguisher with 6-Year Warranty and Easy Storage.","$11.86","4.7","611","China","Tools & Home Improvement","2113","Fire Extinguishers","9","","","3","1","FBA","$16,265.96","1,614","https://www.amazon.com/dp/B0DJ1M79C4","https://m.media-amazon.com/images/I/61oOdN0BS6L._AC_UL320_.jpg","true","false","1","2026-01-28T20:47:53.867Z"
"B0CHSF6T1C","Kidde Fire Extinguisher for Vehicles, Cars, Trucks, Single-Use 10BC","$20.58","4.8","1700","Unknown","Tools & Home Improvement","1760","Fire Extinguishers","5","","","2","1","AMZ","$74,949.52","3,737","https://www.amazon.com/dp/B0CHSF6T1C","https://m.media-amazon.com/images/I/712R9alLCxL._AC_UL320_.jpg","true","false","1","2026-01-28T20:47:53.867Z"
"B0C634VLTV","Kidde Fire Extinguisher for Kitchen, Residential, Single-Use, 711A","$21.21","4.7","1000","Unknown","Tools & Home Improvement","2553","Fire Extinguishers","11","","","3","1","AMZ","$52,117.66","2,457","https://www.amazon.com/dp/B0C634VLTV","https://m.media-amazon.com/images/I/71wk6b0MbmL._AC_UL320_.jpg","true","false","1","2026-01-28T20:47:53.867Z"
"B002RRIKT2","Chimfex by Orion Safety Products - CSIA Approved Chimney Fire Suppressant - Safe, Quick and Easy - Stops Chimney Fires in Homes in Under 22 Seconds","$25.86","4.7","1000","USA","Tools & Home Improvement","2399","Fire Extinguishers","10","","","1","6","MERCH","$43,707.39","1,648","https://www.amazon.com/dp/B002RRIKT2","https://m.media-amazon.com/images/I/71I6cIInD6L._AC_UL320_.jpg","false","false","1","2026-01-28T20:47:53.867Z"
"B0CWY4Q63T","Ougist ABC Fire Extinguisher for Home & Vehicle - 2.5 lb 1-A:10-B:C Rated, Dry Chemical Fire Safety with Quick-Release Handle, Certified for Kitchen/Car/Boat Use-Model FF1KG","$35.19","4.7","458","China","Tools & Home Improvement","2034","Fire Extinguishers","7","","","2","2","FBA","$90,145.82","2,368","https://www.amazon.com/dp/B0CWY4Q63T","https://m.media-amazon.com/images/I/61HQjaidobL._AC_UL320_.jpg","true","false","1","2026-01-28T20:47:53.868Z"
