asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B09PDLBFKY","6 Ft Surge Protector Power Strip - 8 Widely Outlets with 4 USB Ports, 3 Side Outlet Extender with 6 Feet Extension Cord, Flat Plug, Wall Mount, Desk USB Charging Station, ETL,White","","4.6","45900","","Electronics","11","Power Strips","2","","","12","2","FBA","$335,819.98","24,723","https://www.amazon.com/dp/B09PDLBFKY","https://m.media-amazon.com/images/I/61NGPmmMAIL._AC_UL320_.jpg","false","false","1","2026-02-01T17:56:53.571Z"
"B092J8LPWR","Surge Protector Power Strip - HANYCONY 8 Outlets 4 USB (2 USB C) Charging Ports, Multi Plug Outlet Extender, 5Ft Braided Extension Cord, Flat Plug Wall Mount Desk Charging Station for Home Office ETL","$9.98","4.8","63900","","Electronics","7","Power Strips","1","","","19","3","FBA","$601,584.60","34,318","https://www.amazon.com/dp/B092J8LPWR","https://m.media-amazon.com/images/I/61q9hmplGFL._AC_UL320_.jpg","false","false","1","2026-02-01T17:56:53.573Z"
"B08R6S1M1K","Wall Charger, Surge Protector, QINLIANF 5 Outlet Extender with 4 USB Charging Ports (4.8A Total) 3-Sided 1680J Power Strip Multi Plug Adapter Spaced for Home Travel Office (3U1C)","$9.99","4.7","109200","","Electronics","13","Power Strips","3","","","8","1","FBA","$326,992.47","23,001","https://www.amazon.com/dp/B08R6S1M1K","https://m.media-amazon.com/images/I/61Hh-YlfJOL._AC_UL320_.jpg","false","false","1","2026-02-01T17:56:53.575Z"
"B08P5LRY37","Power Strip, ALESTOR Surge Protector with 12 Outlets and 4 USB Ports, 6 Feet Extension Cord (1875W/15A), 2700 Joules, ETL Listed, Black","","4.8","48600","","Electronics","23","Power Strips","4","","","6","2","FBA","$338,334.17","16,573","https://www.amazon.com/dp/B08P5LRY37","","false","false","1","2026-02-01T17:56:53.577Z"
"B0DC6GXZSV","Surge Protector Power Strip - CHCORE 5Ft Braided Extension Cord with 8 Outlets with 4 USB (2 USB C) Charging Ports, Flat Plug Multi Plug Outlet Extender Charging Station for Home Office, ETL, White","$8.96","4.6","6700","","Electronics","25","Power Strips","5","","","11","1","FBA","$333,108.02","23,514","https://www.amazon.com/dp/B0DC6GXZSV","https://m.media-amazon.com/images/I/61MdVuHxxdL._AC_UL320_.jpg","false","false","1","2026-02-01T17:56:53.579Z"
"B00TP1C1UC","Amazon Basics Surge Protector Power Strip, 6-Outlet, 790 Joules, LED Indicator, 6ft Extension Cord, White","$11.19","4.8","45100","","Electronics","29","Surge Protectors","1","","","3","1","AMZ","$264,526.76","24,663","https://www.amazon.com/dp/B00TP1C1UC","https://m.media-amazon.com/images/I/61fRF3ebo3L._AC_UL320_.jpg","false","false","1","2026-02-01T17:56:53.581Z"
"B0DZ254SSR","10Ft Extension Cord with Multiple Outlets, Flat Plug Surge Protector Power Strip 10 Ft Long Cord, 8 Outlets & 4 USB Ports (2 USB C), Desk Charging Station for Home Office, College Dorm Room Essentials","$12.99","4.8","3600","","Electronics","78","Power Strips","13","","","12","1","FBA","$375,247.23","22,616","https://www.amazon.com/dp/B0DZ254SSR","https://m.media-amazon.com/images/I/612NrGLfOqL._AC_UL320_.jpg","false","false","1","2026-02-01T17:56:53.583Z"
"B0CKKLDZM8","One Beat 10Ft Extension Cord with Multiple Outlets,Flat Plug Power Strip Surge Protector with 10 Ft Long Cord,6 Outlet 4 USB Ports (2USB C),Multi Outlet Wall Plug for Travel,College,Dorm Essentials","$12.99","4.8","7000","","Electronics","66","Power Strips","12","","","21","2","FBA","$406,613.62","23,027","https://www.amazon.com/dp/B0CKKLDZM8","https://m.media-amazon.com/images/I/618I9hPCIjL._AC_UL320_.jpg","false","false","1","2026-02-01T17:56:53.585Z"
"B0CX93B7MX","Flat Extension Cord with Outlet Cover, Flat Plug Power Strip with 6 Outlets and 3 USB Ports, 2000 Joules Surge Protector, 5 FT Cord Hidden Outlet Extender for Tight Spaces, White","$13.29","4.7","2400","","Electronics","54","Power Strips","10","","","13","1","FBA","$617,589.09","26,302","https://www.amazon.com/dp/B0CX93B7MX","https://m.media-amazon.com/images/I/61jx9wB+IDL._AC_UL320_.jpg","false","false","1","2026-02-01T17:56:53.586Z"
"B014EKQ5AA","Amazon Basics Surge Protector Power Strip, 6-Outlet with 200J Protection, 2ft Extension Cord, Rectangle, Black (2 Pack)","$11.87","4.7","43100","","Electronics","81","Surge Protectors","2","","","6","1","AMZ","$352,983.71","28,502","https://www.amazon.com/dp/B014EKQ5AA","https://m.media-amazon.com/images/I/81yk1Njn1LL._AC_UL320_.jpg","false","false","1","2026-02-01T17:56:53.588Z"
