asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B00006IDL6","Band-Aid Brand Flexible Fabric Sterile Adhesive Bandages, Comfortable Cushioned Wound Care & Protection for Minor Cuts, Scrapes & Burns, First Aid, Hurt-Free Comfort Pad, One Size 1x3 In, 100 Count","$8.97","4.8","58500","Amazon","Health & Household","49","Adhesive Bandages","1","Sales & Deals","9","10","44","AMZ","$1,122,090.25","140,352","https://www.amazon.com/dp/B00006IDL6","https://m.media-amazon.com/images/I/811J9hn8iIL._AC_UL320_.jpg","true","false","1","2026-01-29T14:42:55.107Z"
"B098KJMMGC","Emergency Blanket 4-Pack Space Mylar Blankets Survival Gear and Supplies Reusable Thermal Camping Hunting Essentials First Aid Car Backpacking Marathon Kit Prepper Go Rave Bug Out Bag Foil Cold Winter","$6.99","4.7","3700","USA","Sports & Outdoors","22","Camping Emergency Blankets","1","","","4","1","FBA","$435,504.57","41,779","https://www.amazon.com/dp/B098KJMMGC","https://m.media-amazon.com/images/I/71eCGdR7nfL._AC_UL320_.jpg","true","false","1","2026-01-29T14:42:55.108Z"
"B0B41MYSGP","BAND-AID Brand Travel Ready Portable Emergency First Aid Kit for Minor Wound Care, Perfect for Home, Car, Travel, Camping Essentials & Outdoor Emergency Kit, 80 Pieces","$10.98","4.8","12500","Amazon","Health & Household","837","First Aid Kits","1","","","2","1","AMZ","$400,999.28","29,885","https://www.amazon.com/dp/B0B41MYSGP","https://m.media-amazon.com/images/I/81yqKXAIZhL._AC_UL320_.jpg","true","false","1","2026-01-29T14:42:55.109Z"
"B0DB794BKQ","Mini First Aid Kit - 150 Piece Small Waterproof Hard Shell Medical Kit for Home, Car, Travel, Camping, Truck, Hiking, Sports, Office, Vehicle & Outdoor Emergencies- Small First Aid Medical Kit (Red)","$9.99","4.8","3300","China","Health & Household","1468","First Aid Kits","2","","","2","1","FBA","$231,093.36","23,877","https://www.amazon.com/dp/B0DB794BKQ","https://m.media-amazon.com/images/I/71g347mQv2L._AC_UL320_.jpg","true","false","1","2026-01-29T14:42:55.109Z"
"B08P27LHJ4","First Aid Only 91248 OSHA-Compliant First Aid Kit, All-Purpose 50-Person Emergency First Aid Kit for Business, Worksite, Home, and Car, 260 Pieces","$20.95","4.8","5000","Amazon","Health & Household","1816","First Aid Kits","3","","","1","1","AMZ","$427,188.74","22,854","https://www.amazon.com/dp/B08P27LHJ4","https://m.media-amazon.com/images/I/71ufM0vmJnL._AC_UL320_.jpg","false","false","1","2026-01-29T14:42:55.110Z"
"B001AJS1AQ","BAND-AID Brand Adhesive Bandages Family Variety Pack, Sheer & Clear Flexible Sterile Individually Wrapped Strips & Spots, First Aid Wound Care for Minor Cuts, Scrapes, Burns, 5 Sizes, 280 ct","$14.56","4.7","23800","Amazon","Health & Household","1887","Adhesive Bandages","8","Sales & Deals","301","2","5","AMZ","$194,666.42","13,862","https://www.amazon.com/dp/B001AJS1AQ","https://m.media-amazon.com/images/I/81d4bB22m8L._AC_UL320_.jpg","true","false","1","2026-01-29T14:42:55.111Z"
"B0979BZ543","BleedStop™ First Aid Powder for Blood Clotting, Trauma Kit, Blood Thinner Patients, Camping Safety, and Survival Equipment for Moderate to Severe Bleeding Wounds or Nosebleeds - 4 (15g) Pouches","$14.65","4.8","11400","USA","Health & Household","1917","First Aid Supplies","64","","","6","1","FBA","$272,198.12","16,814","https://www.amazon.com/dp/B0979BZ543","https://m.media-amazon.com/images/I/71+Q+u-+9ML._AC_UL320_.jpg","true","false","1","2026-01-29T14:42:55.112Z"
"B01BT3U6DW","Nexcare Waterproof Clear Bandages, Covers And Protects, 360 Degree Seal Around The Pad Offers Exceptional Protection Against Water, Dirt, And Germs, Assorted Sizes, 100 Count","$10.68","4.6","20500","Amazon","Health & Household","2713","Adhesive Bandages","15","Sales & Deals","375","2","19","AMZ","$132,884.59","12,264","https://www.amazon.com/dp/B01BT3U6DW","https://m.media-amazon.com/images/I/81qwzsPkE6L._AC_UL320_.jpg","true","false","1","2026-01-29T14:42:55.112Z"
"B0747N5KDM","General Medi Mini First Aid Kit, 110 Piece Small First Aid Kit - Includes Emergency Foil Blanket, Scissors for Travel, Home, Office, Vehicle, Camping, Workplace & Outdoor (Red)","$6.83","4.7","9200","China","Health & Household","4783","First Aid Kits","4","","","2","1","FBA","$50,270.13","5,467","https://www.amazon.com/dp/B0747N5KDM","https://m.media-amazon.com/images/I/81hhdp0+k6L._AC_UL320_.jpg","true","false","1","2026-01-29T14:42:55.113Z"
"B07964SRBL","Be Smart Get Prepared SILVEX Wound Gel, 0.5 Fl Oz (Pack of 1), Clear","$8.88","4.6","6900","Amazon","Industrial & Scientific","553","Wound Dressings","11","","","1","1","AMZ","$54,091.20","6,091","https://www.amazon.com/dp/B07964SRBL","https://m.media-amazon.com/images/I/51-4shFfV9L._AC_UL320_.jpg","true","false","1","2026-01-29T14:42:55.114Z"
"B07VHF8L76","Globe (144 Pack) Triple Antibiotic Ointment 0.9g Single Packet, First Aid Kit for Minor Scratches, Wounds, Cuts and Burns, Prevents Infection Active Ingredients Compare to Leading Brand, Travel Size","$11.66","4.8","1800","USA","Health & Household","5740","First Aid Ointments","24","","","1","1","FBA","$64,170.98","5,504","https://www.amazon.com/dp/B07VHF8L76","https://m.media-amazon.com/images/I/51C4cc-HGcL._AC_UL320_.jpg","true","false","1","2026-01-29T14:42:55.115Z"
"B01M18DYAH","Band-Aid Brand Skin-Flex Adhesive Bandages for First Aid and Wound Care of Minor Cuts and Scrapes & Burns, Flexible Sterile Bandages for Fingers & Knees, Extra Large, All One Size, 7 ct","$3.99","4.7","5400","Amazon","Health & Household","3083","Adhesive Bandages","17","Sales & Deals","795","5","13","AMZ","$66,308.93","11,441","https://www.amazon.com/dp/B01M18DYAH","https://m.media-amazon.com/images/I/71YFWnxii5L._AC_UL320_.jpg","true","false","1","2026-01-29T14:42:55.116Z"
