asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B08826B2XL","Frito-Lay Ultimate Classic Snacks Package, Variety Assortment of Chips, Cookies, Crackers, & Nuts, 0.56 ounces, (Pack of 40) (Packaging May Vary)","$19.75","4.6","113200","","Grocery & Gourmet Food","104","Snack Food Gifts","1","","","11","5","AMZ","$965,935.62","36,847","https://www.amazon.com/dp/B08826B2XL","https://m.media-amazon.com/images/I/91dqrCz23TL._AC_UL320_.jpg","false","false","1","2026-02-07T06:40:29.447Z"
"B07K38QBKQ","Chocolate Gift Basket, Candy Food Gifts Arrangement Platter, Gourmet Snack Box, Holiday Present Idea, Valentines Day, Corporate Him & Her, Men Women Sympathy Family Parties & Get Well- Bonnie & Pop","$37.99","4.5","14100","","Grocery & Gourmet Food","379","Candy & Chocolate Gifts","1","","","5","4","FBA","$945,253.26","24,058","https://www.amazon.com/dp/B07K38QBKQ","https://m.media-amazon.com/images/I/81bnwjXx4LL._AC_UL320_.jpg","false","false","1","2026-02-07T06:40:29.450Z"
"B01N22CM3F","CRAVEBOX Snacks Box Variety Pack Care Package (45 Count) Valentines Treats Gift Basket Adults Kids Grandkids Guys Girls Women Men Boyfriend Birthday Cookies Chips College Student Office School","$29.95","4.4","44000","","Grocery & Gourmet Food","878","Food Assortments & Variety Gifts","1","","","1","8","FBA","$445,418.54","14,872","https://www.amazon.com/dp/B01N22CM3F","https://m.media-amazon.com/images/I/91ogRxtAM2L._AC_UL320_.jpg","false","false","1","2026-02-07T06:40:29.453Z"
"B000WH2HCA","Ferrero Rocher Gourmet Hazelnut Milk Chocolate Valentine's Day Gift Box, 12 Individually Wrapped Chocolates for Gifting, 5.3 oz","$5.74","4.7","3900","","Grocery & Gourmet Food","1693","Candy & Chocolate Gifts","7","","","1","18","AMZ","$58,485.63","9,480","https://www.amazon.com/dp/B000WH2HCA","https://m.media-amazon.com/images/I/811RwyOCaOL._AC_UL320_.jpg","false","false","1","2026-02-07T06:40:29.456Z"
"B06XS6WNWW","Veratify - Healthy Mixed Snack Box & Snacks Gift Variety Basket - Perfect for Men, Women, Adults, Office, School, College, Work - Variety Assortment Gift Basket - (Gift Care Package 66 Count)","$48.79","4.6","7200","","Grocery & Gourmet Food","2224","Snack Food Gifts","4","","","2","8","FBA","$349,159.65","7,150","https://www.amazon.com/dp/B06XS6WNWW","https://m.media-amazon.com/images/I/91SfJqLtNuL._AC_UL320_.jpg","false","false","1","2026-02-07T06:40:29.460Z"
"B004D9XYWU","A Gift Inside Chocolate, Caramel and Crunch Grand Gift Basket","$32.20","4.6","14500","","Grocery & Gourmet Food","1686","Candy & Chocolate Gifts","8","","","5","1","AMZ","$464,280.07","11,816","https://www.amazon.com/dp/B004D9XYWU","https://m.media-amazon.com/images/I/91+JkOrnbML._AC_UL320_.jpg","false","false","1","2026-02-07T06:40:29.463Z"
"B08X94JGJ1","Valentines Day Nuts Gift Basket - Assortment of Sweet & Roasted Salted Gourmet Nuts - Romantic Food Gift Box for Him, Husband, Christmas, Fathers Day, Mothers Day, Sympathy, Family, Men & Women","$26.95","4.5","7000","","Grocery & Gourmet Food","4131","Fruit & Nut Gifts","3","","","3","1","FBA","$309,759.13","12,628","https://www.amazon.com/dp/B08X94JGJ1","https://m.media-amazon.com/images/I/919ORz0v6IL._AC_UL320_.jpg","false","false","1","2026-02-07T06:40:29.466Z"
"B08KLHL78X","Godiva Belgium Goldmark Assorted Chocolate 10.9 OZ","$27.75","4.4","4400","","Grocery & Gourmet Food","3070","Candy & Chocolate Gifts","20","","","1","30","FBA","$103,741.93","4,504","https://www.amazon.com/dp/B08KLHL78X","https://m.media-amazon.com/images/I/71XA5Xb4GmL._AC_UL320_.jpg","false","false","1","2026-02-07T06:40:29.468Z"
"B0B4X5SLKC","Pop n' Dulge Popcorn Movie Night Supplies 16 pcs Gift Set, 5 Gourmet Popcorn Kernels, 5 Seasoning Variety Packs Non-GMO Kosher Snacks, Great Housewarming Family Date Night Gifts Basket Ideas For Him Her","$21.95","4.5","3900","","Grocery & Gourmet Food","4293","Snack Food Gifts","7","","","1","2","FBA","$161,343.76","7,015","https://www.amazon.com/dp/B0B4X5SLKC","https://m.media-amazon.com/images/I/81ZCAoimEAL._AC_UL320_.jpg","false","false","1","2026-02-07T06:40:29.472Z"
"B0081BE3E4","Barnetts Valentines Day 12 Chocolate Biscotti Gift Box, Valentine Gourmet Cookie Gifts Basket for Him and Her, Food Delivery, Fancy Cookies Candy Box Treats Baskets Ideas for Wife, Husband, Girlfriend, Women, Men","$14.99","4.3","11100","","Grocery & Gourmet Food","3582","Bakery & Dessert Gifts","3","","","1","1","FBA","$133,605.49","8,913","https://www.amazon.com/dp/B0081BE3E4","https://m.media-amazon.com/images/I/81cjOG5uDEL._AC_UL320_.jpg","false","false","1","2026-02-07T06:40:29.478Z"
