asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B0BSV1XGXR","Emergen-C Crystals, On-the-Go Emergen-C Immune Support Supplement with Vitamin C, B Vitamins, Zinc and Manganese, Orange Vitality - 56 Stick Packs","$29.93","4.6","2300","Amazon","Health & Household","3528","Vitamin C Supplements","31","","","2","1","AMZ","$334,203.32","10,791","https://www.amazon.com/dp/B0BSV1XGXR","https://m.media-amazon.com/images/I/81+AH48cnAL._AC_UL320_.jpg","true","false","2","2026-01-27T23:55:18.405Z"
"B071NSJ9YL","Emergen-C Immune+ Triple Action Immune Support Gummies, BetaVia (R), 1000mg Vitamin C, B Vitamins, Vitamin D and Antioxidants, Super Orange, Back to School Essentials - 45 Count","$15.99","4.7","6500","Amazon","Health & Household","3268","Vitamin C Supplements","29","","","1","2","AMZ","$135,092.20","8,722","https://www.amazon.com/dp/B071NSJ9YL","https://m.media-amazon.com/images/I/81PIidnmLRL._AC_UL320_.jpg","true","false","2","2026-01-27T23:55:18.405Z"
"B00JFF48I6","Dr. Mercola Liposomal Vitamin C - Brain, Heart, Eye & Immune Support - Provides 1,000 mg of Bioavailable Vitamin C - Non-GMO, Gluten-Free & Soy-Free - 180 Capsules (90 Servings)","$39.97","4.6","7400","USA","Health & Household","2800","Vitamin C Supplements","25","Sales & Deals","484","2","1","FBA","$380,875.09","11,384","https://www.amazon.com/dp/B00JFF48I6","https://m.media-amazon.com/images/I/61XWSpT1I3L._AC_UL320_.jpg","true","false","2","2026-01-27T23:55:18.406Z"
"B07Q3SWL3X","Nature Made Super C, Vitamin C and Zinc with Vitamin D3, Dietary Supplement for Immune Support, 60 Tablets, 60 Day Supply","$12.71","4.8","8500","Amazon","Health & Household","3712","Vitamin C Supplements","32","","","2","17","AMZ","$108,344.73","9,336","https://www.amazon.com/dp/B07Q3SWL3X","https://m.media-amazon.com/images/I/71zSzxYlZFL._AC_UL320_.jpg","true","false","2","2026-01-27T23:55:18.406Z"
"B000GX7E8W","Pure Encapsulations Ascorbic Acid Capsules - 1,000 mg Vitamin C - Antioxidant & Immune Support* - High-Potency Vitamin C - Vegan & Non-GMO - 90 Capsules","$21.40","4.8","2200","USA","Health & Household","3007","Vitamin C Supplements","28","","","2","1","FBA","$313,352.09","11,888","https://www.amazon.com/dp/B000GX7E8W","https://m.media-amazon.com/images/I/71n3QrXwyPL._AC_UL320_.jpg","false","false","2","2026-01-27T23:55:18.406Z"
"B086PL2D5R","Sports Research High Potency Vitamin C Supplement - Vegan Veggie Capsules for Antioxidant Activity & Immune Support - Non-GMO Verified & Gluten Free - Ascorbic Acid Vitamin C 1000mg, 240 Count","$22.95","4.8","9800","USA","Health & Household","2580","Vitamin C Supplements","21","","","3","3","FBA","$334,613.29","12,844","https://www.amazon.com/dp/B086PL2D5R","https://m.media-amazon.com/images/I/51RsA9y3rgL._AC_UL320_.jpg","true","false","2","2026-01-27T23:55:18.407Z"
"B08TC8J6DL","MaryRuth Organics USDA Kids Vitamin C Drops | Vegan Immune Support Supplement for Ages 4-13 | Immune Support & Overall Health | Vitamin C from Organic Acerola Fruit Extract | 2oz","$15.95","4.8","1600","USA","Health & Household","4770","Vitamin C Supplements","42","","","1","3","FBA","$151,615.78","10,103","https://www.amazon.com/dp/B08TC8J6DL","https://m.media-amazon.com/images/I/81HNOiUk+8L._AC_UL320_.jpg","true","false","2","2026-01-27T23:55:18.407Z"
"B09KC7GWCD","Amazon Basic Care Vitamin C Supplement Drops, Lemon, Orange & Grapefruit, 140 count (Previously SoundHealth)","$4.56","4.7","2400","Amazon","Health & Household","4474","Vitamin C Supplements","36","","","3","1","AMZ","$36,913.98","8,095","https://www.amazon.com/dp/B09KC7GWCD","https://m.media-amazon.com/images/I/61cFOeSNXNL._AC_UL320_.jpg","true","false","2","2026-01-27T23:55:18.407Z"
"B086GK9SWD","Wholesome Wellness Liposomal Vitamin C Capsules (200 Pills 1500mg Buffered) High Absorption, Immune System & Collagen Booster, High Dose Fat Soluble Immunity Support Ascorbic Acid, Natural Vegan","$20.99","4.7","4900","USA","Health & Household","4692","Vitamin C Supplements","40","","","1","2","FBA","$176,640.58","8,701","https://www.amazon.com/dp/B086GK9SWD","https://m.media-amazon.com/images/I/71m6JEF3AzS._AC_UL320_.jpg","true","false","2","2026-01-27T23:55:18.408Z"
"B087DRSXBG","MaryRuth's Toddler Vitamin C Drops | USDA Organic Vitamin C Liquid Drops for Toddler | Ages 1-3 Years | Vitamin for Immune Support & Overall Health | Vegan | Non-GMO | Gluten Free | 30 Servings","$12.47","4.8","4300","USA","Health & Household","4035","Vitamin C Supplements","34","","","2","2","FBA","$134,935.69","9,912","https://www.amazon.com/dp/B087DRSXBG","https://m.media-amazon.com/images/I/815lMWF4eHL._AC_UL320_.jpg","false","false","2","2026-01-27T23:55:18.408Z"
