asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B0FZC2FVKW","Resilia Softgels with Black Seed Oil 6000mg – Organic Oregano Oil Capsules for Immune & Digestive Support – Non-GMO, Gluten-Free Softgels – Natural Herbal Wellness Supplement (60 Count)","$28.99","4.0","627","Unknown","Health & Household","201","Oregano Herbal Supplements","2","","","1","2","FBA","$1,096,309.11","37,431","https://www.amazon.com/dp/B0FZC2FVKW","https://m.media-amazon.com/images/I/71Drt3TdtLL._AC_UL320_.jpg","false","false","1","2026-01-27T22:54:42.199Z"
"B0F5XYHRPV","THORNE - Magnesium Glycinate - Supports Restful Sleep, Muscle Relaxation, Heart Health & Metabolism* - Chelated Magnesium Capsules - Third-Party Certified - Gluten, Dairy & Soy-Free - 90 Servings","$25.00","4.7","1000","USA","Health & Household","309","Magnesium Mineral Supplements","9","","","3","1","FBA","$1,118,524.09","44,741","https://www.amazon.com/dp/B0F5XYHRPV","https://m.media-amazon.com/images/I/71BwFPGbYaL._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.200Z"
"B0FSGHP1FC","RYZE SUPERFOODS Mushroom Medium Roast Coffee USDA Organic with 6 Adaptogenic Mushrooms, USA Grown Instant Coffee for Better Energy, Focus Digestion Immunity with Lions Mane & Turkey Tail 30 Servings","$44.99","4.2","20300","USA","Health & Household","148","Mushrooms Herbal Supplements","1","","","3","2","FBA","$4,622,574.68","101,368","https://www.amazon.com/dp/B0FSGHP1FC","https://m.media-amazon.com/images/I/610fGM5ZEfL._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.200Z"
"B0FBSC1CDZ","Liposomal NAD Supplement with Resveratrol – NMN Supplement Alternative – Third-Party Tested – 30-Day Supply – Advanced NAD+ Resveratrol","$48.49","4.5","3200","USA","Health & Household","391","Resveratrol Nutritional Supplements","1","","","3","2","FBA","$1,939,313.80","37,753","https://www.amazon.com/dp/B0FBSC1CDZ","https://m.media-amazon.com/images/I/71Yy6Sg0o0L._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.200Z"
"B0F11Q5NVH","Molecular H2TAB Hydrogen Tablets with Magnesium -12 PPM Hydrogen Tablets for Drinking Water -Rich in Antioxidants, Supports Cellular Health, Recovery & Cognitive Function (30 Counts, Raspberry)","$29.99","4.3","1700","USA","Health & Household","630","Magnesium Mineral Supplements","15","","","2","1","FBA","$872,471.12","30,600","https://www.amazon.com/dp/B0F11Q5NVH","https://m.media-amazon.com/images/I/61X9l7NZ5fL._AC_UL320_.jpg","false","false","1","2026-01-27T22:54:42.201Z"
"B0F5J1XZHC","BIOMA Probiotics - Digestive Health Probiotic - Gut Support for Men & Women with Xylooligosaccharides, Tributyrin & Bifidobacterium - Vegan & Gluten Free - 60 Delayed-Release Capsules (30-Day Supply)","$45.99","3.8","2200","Unknown","Health & Household","1325","Probiotic Nutritional Supplements","17","","","1","1","FBA","$891,319.81","19,381","https://www.amazon.com/dp/B0F5J1XZHC","https://m.media-amazon.com/images/I/61byw9anIrL._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.201Z"
"B0DV7YKYHM","SmartyPants Teen Guy Multivitamin Gummies - Improved Formula: Omega 3 (DHA/EPA), Vitamin D3, C, Vitamin B12, B6, A, K & Zinc, Folate, Gluten Free, Fruit Flavor, 60 Count (30 Day Supply)","$22.99","4.6","8600","Amazon","Health & Household","1217","Multivitamins","25","","","2","4","AMZ","$523,671.40","22,175","https://www.amazon.com/dp/B0DV7YKYHM","https://m.media-amazon.com/images/I/71QNw3xw5qL._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.201Z"
"B0FNPW73LL","Goli Zero Sugar Trio - World's First 3-in-1 Pre, Post, Probiotic, Apple Cider Vinegar with Vitamin B12 and Probiotics, Ashwagandha & L-Theanine, Vitamin D Gummies","$31.80","4.3","292","Canada","Health & Household","1211","Probiotic Nutritional Supplements","19","","","2","2","MERCH","$1,026,040.42","24,458","https://www.amazon.com/dp/B0FNPW73LL","https://m.media-amazon.com/images/I/71hEtB0ABSL._AC_UL320_.jpg","false","false","1","2026-01-27T22:54:42.202Z"
"B0DVWKPJ32","THORNE Creatine - Micronized Creatine Monohydrate Powder - Support for Muscles & Cognitive Function* - for Women & Men - Unflavored - NSF Certified for Sport - 5 g per Serving - 30 Servings","$36.00","4.7","15200","USA","Health & Household","59","Creatine Nutritional Supplements","3","","","5","1","FBA","$5,151,718.79","114,225","https://www.amazon.com/dp/B0DVWKPJ32","https://m.media-amazon.com/images/I/71Jl9We1klL._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.202Z"
"B0F9VPZ6R6","Nectar Calm Magnesium Glycinate Drink Mix - Sugar Free & Zero Calorie - with Organic Ashwagandha, Vitamin D, L-Theanine, Electrolytes - Deep Sleep, Relax, Focus & Calm - Non-GMO (Variety 30 Sticks)","$29.90","4.3","379","USA","Health & Household","1084","Herbal & Nutritional Sleep Supplements","11","","","7","1","FBA","$306,140.47","10,295","https://www.amazon.com/dp/B0F9VPZ6R6","https://m.media-amazon.com/images/I/81TT9OY1xEL._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.203Z"
"B0F16R7H2W","Pure Encapsulations Vitamin D3 & K2 - Bone & Vascular Health Support - Immune Function Support* - Gluten Free - Non-GMO - 60 Capsules","$18.50","4.8","3400","USA","Health & Household","345","Vitamin D Supplements","29","","","2","1","FBA","$1,432,718.97","47,992","https://www.amazon.com/dp/B0F16R7H2W","https://m.media-amazon.com/images/I/71G10UJ2gCL._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.203Z"
"B0FYZ9QQ9Z","Physician’s Choice Fiber Gummies for Digestive Health & Regularity - Raspberry Lemon Flavor - No Sugar Added & Vegan - Natural Chicory Root Prebiotic Fiber - Daily Gummy for Adults, Women & Men - 60CT","$16.97","4.4","129","USA","Health & Household","1745","Dietary Fiber Nutritional Supplements","12","","","3","1","FBA","$109,657.07","7,507","https://www.amazon.com/dp/B0FYZ9QQ9Z","https://m.media-amazon.com/images/I/71HAMRtDFCL._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.203Z"
"B0F3QKYM9J","GLP-1 Supplement for Weight Loss & Appetite Control for Men and Women with Akkermansia, Berberine, Inulin, EGCG, Resveratrol, Hops - Supports Digestion, Cravings | 7-Keto Nutritional Supplement","$39.95","4.1","863","USA","Health & Household","2067","Green Tea Herbal Supplements","2","","","1","1","FBA","$648,059.48","16,203","https://www.amazon.com/dp/B0F3QKYM9J","https://m.media-amazon.com/images/I/71johHJ-o2L._AC_UL320_.jpg","true","false","1","2026-01-27T22:54:42.204Z"
