asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B01787EPEE","Igennus Super B-Complex Methylated B Vitamins, All Day Nutrient Delivery, Clean Label, MTHFR Supplement with Methylfolate & B12 Methylcobalamin, Vegan, Lab Verified, 60 Small Tablets","$12.95","4.6","27400","Unknown","Health & Household","1416","Vitamin B-Complex Supplements","6","Sales & Deals","347","4","3","FBA","$362,323.20","18,969","https://www.amazon.com/dp/B01787EPEE","https://m.media-amazon.com/images/I/61TFmJfdAxL._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.186Z"
"B0D5SBPDBW","10X Health Optimize Multivitamin for Men - 90 Capsules, Methylated Multivitamin 34 in 1 Formula with 800 mcg of Vitamin B12, 5-MTHF, NAC - Methyl B Complex","$55.00","4.5","1500","USA","Health & Household","2445","Multivitamins","54","","","1","1","FBA","$662,193.76","12,040","https://www.amazon.com/dp/B0D5SBPDBW","https://m.media-amazon.com/images/I/81ulJtCPS9L._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.186Z"
"B07KQWXRGM","Balance of Nature Fruits & Veggies Supplements - Whole Fruit and Vegetable Ingredients for Women, Men, and Kids - 90 Fruits Capsules, 90 Veggies Capsules - 1 Set","$69.26","4.2","19900","USA","Health & Household","2508","Blended Vitamin & Mineral Supplements","30","Multivitamins","58","3","1","FBA","$278,129.24","4,042","https://www.amazon.com/dp/B07KQWXRGM","https://m.media-amazon.com/images/I/61OeENxCTKL._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.187Z"
"B00I97GQV8","One A Day Prenatal Vitamins- Folic Acid, Iron, Omega- 3 (DHA), Pregnancy Vitamins for Women, Prenatal Multivitamin for Mom and Baby Support, Pregnancy Must Haves 30 Ct (Packaging May Vary)","$14.99","4.5","12700","Amazon","Health & Household","2659","Prenatal Vitamins","11","Sales & Deals","366","2","4","AMZ","$185,507.51","12,591","https://www.amazon.com/dp/B00I97GQV8","https://m.media-amazon.com/images/I/711cDMaCn4L._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.187Z"
"B07BBMND7W","Amazon Basics Vitamin C 250mg, 150 Gummies (2 per Serving), Immune Health, Orange (Previously Solimo)","$8.97","4.6","22400","Amazon","Health & Household","1234","Vitamin C Supplements","7","","","2","1","AMZ","$245,070.12","21,328","https://www.amazon.com/dp/B07BBMND7W","https://m.media-amazon.com/images/I/51ZZ8+mS2zL._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.187Z"
"B0BVF333B1","Vitamatic Vitamin B12 1000 mcg Fast Dissolve – 365 Tablets – Natural Berry Flavor – Supports Energy Metabolism & Nervous System Health","$9.99","4.7","5000","USA","Health & Household","2770","Vitamin B12 Supplements","16","","","3","3","FBA","$135,112.73","11,959","https://www.amazon.com/dp/B0BVF333B1","https://m.media-amazon.com/images/I/511PrLUBkML._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.188Z"
"B07MH34HP4","Heliocare Advanced Niacin B3 Supplement: Fernblock PLE Extract 240mg Per Serving - Supports Skin Cell Health W/Antioxidant Rich Vitamin B3 Niacin 500 mg - 120 Vegan Capsules","$39.49","4.7","6700","USA","Health & Household","2578","Vitamin B3 Supplements","4","","","1","3","FBA","$481,455.60","12,195","https://www.amazon.com/dp/B07MH34HP4","https://m.media-amazon.com/images/I/81w-JDlwrcL._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.188Z"
"B08LQYMV9D","OLLY Ultra Strength Prenatal Multivitamin Softgels, Supports Healthy Growth, Brain Development, Iron, Folic Acid, DHA, Vitamins C, E, 30 Day Supply-60 Count","$16.97","4.6","3000","Amazon","Health & Household","2602","Prenatal Vitamins","9","","","2","7","AMZ","$193,861.97","11,399","https://www.amazon.com/dp/B08LQYMV9D","https://m.media-amazon.com/images/I/61bTvOZHToL._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.188Z"
"B08KHZQTML","Nature's Bounty Immune 24 Hour +, The only Vitamin C with 24 Hour Immune Support from Ester-C, 1000 mg Vitamin C, D & Zinc, Gluten Free, Rapid Release Softgels, 2 Softgels per Day, 50 Count","$10.98","4.7","5200","Amazon","Health & Household","2584","Vitamin C Supplements","22","","","1","3","AMZ","$100,544.59","9,245","https://www.amazon.com/dp/B08KHZQTML","https://m.media-amazon.com/images/I/71juxcmgZ3L._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.188Z"
"B0DFBTP4MR","Vitalitown Vitamin D3 K2 Supplement, Vitamin D3 10000 IU Vitamin K2 (MK7) 200 mcg, 90 Softgels, Non-GMO, No Gluten & Soy, for Bone, Teeth, Immune & Heart Health","$9.99","4.7","2300","USA","Health & Household","2211","Vitamin D Supplements","30","","","3","1","FBA","$122,872.85","10,657","https://www.amazon.com/dp/B0DFBTP4MR","https://m.media-amazon.com/images/I/711qOimn91L._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.189Z"
"B00CFD0TC4","Integrative Therapeutics Active B-Complex - Cellular Energy, Immune Function & Heart Health Support with Vitamins B2, B6 & B12* - Made for Busy Lifestyles - Gluten-Free - 60 Capsules (30 Servings)","$18.00","4.6","7300","USA","Health & Household","2048","Vitamin B-Complex Supplements","10","","","3","2","FBA","$269,566.41","13,916","https://www.amazon.com/dp/B00CFD0TC4","https://m.media-amazon.com/images/I/61fSUQwR+pL._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.189Z"
"B0BTMDYHJ3","Emergen-C Kidz Crystals, On-the-Go Emergen-C Immune Support Supplement with Vitamin C, B Vitamins, Zinc and Manganese, Sparkly Strawberry, Stocking Stuffer - 56 Stick Packs","$23.58","4.8","1600","Amazon","Health & Household","2917","Vitamin C Supplements","26","","","2","1","AMZ","$252,890.24","11,560","https://www.amazon.com/dp/B0BTMDYHJ3","https://m.media-amazon.com/images/I/81yophV6SpL._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.190Z"
"B003IP8BC8","vitafusion PreNatal Gummy Vitamins, Raspberry Lemonade Flavor, Prenatal Vitamin Supplement for Women with Folate and DHA, 45 Day Supply, 90 Count","$9.88","4.5","23100","Amazon","Health & Household","2873","Prenatal Vitamins","12","Sales & Deals","397","1","3","AMZ","$111,340.40","11,277","https://www.amazon.com/dp/B003IP8BC8","https://m.media-amazon.com/images/I/71z45PfH29L._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.190Z"
"B073H8DK2J","Nature's Way Alive! Women's 50+ Daily Gummy Multivitamins, Women's Supplements, Supports Healthy Heart, Brain & Bones,* B-Vitamins, Mixed Berry Flavored, 130 Gummies (Packaging May Vary)","$15.99","4.6","18700","Amazon","Health & Household","1237","Multivitamins","27","","","3","3","AMZ","$343,708.70","23,448","https://www.amazon.com/dp/B073H8DK2J","https://m.media-amazon.com/images/I/71NLK0UwbGL._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.190Z"
"B0DNNY39PJ","FIRST DAY Vitamins for Teens - Teen Multi Vitamins for Girls & Boys 12-17, Organic Fruit & Veggie Blend - 12 Key Nutrients: Vitamins A, B1, B2, B6, B9, B12, C, D3, E, K2-30 Day Supply","$33.56","4.0","1100","USA","Health & Household","2057","Multivitamins","43","","","2","2","FBA","$513,477.38","12,957","https://www.amazon.com/dp/B0DNNY39PJ","https://m.media-amazon.com/images/I/61MUR+6KA4L._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.191Z"
"B07G4C85XX","Pink Stork Total Prenatal Vitamins with DHA, Folate, Iron, Choline, and Vitamin B12 - Prenatals for Women to Support Fetal Development, Pregnancy Essentials, Berry Essence, 60 Capsules, 1 Month Supply","$32.99","4.3","9100","USA","Health & Household","2655","Prenatal Vitamins","10","","","2","1","FBA","$428,159.43","11,246","https://www.amazon.com/dp/B07G4C85XX","https://m.media-amazon.com/images/I/71NBJEBQ7hL._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.191Z"
"B0797JXKL9","THORNE - B-Complex #12 - Vitamin B Complex with Active B12 and Folate - 60 Capsules","$26.00","4.7","3800","USA","Health & Household","2744","Vitamin B-Complex Supplements","12","Diet & Sports Nutrition","284","1","1","FBA","$281,303.51","11,136","https://www.amazon.com/dp/B0797JXKL9","https://m.media-amazon.com/images/I/71TyTMfWjIL._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.191Z"
"B0CHK2Q2T1","Dr. Berg Natural Vitamin B1 B6 B12 Complex - Allithiamine Vitamin B1 Supplement with 8 Essential Vitamin B Complex for Men & Women Including Thiamin, Niacin, Folate, Magnesium & More - 60 Capsules","$25.99","4.7","3200","USA","Health & Household","2831","Vitamin B-Complex Supplements","13","","","3","2","FBA","$284,250.63","10,937","https://www.amazon.com/dp/B0CHK2Q2T1","https://m.media-amazon.com/images/I/61dDZmF4COL._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.192Z"
"B002QMB57C","Nature's Bounty Vitamin E 1000 IU Softgels, Supports Antioxidant Health & Immune System, 1 Serving per Day, No Gluten, 60 Softgels (Pack of 1)","$12.14","4.7","14300","Amazon","Health & Household","2749","Vitamin E Supplements","2","Sales & Deals","382","3","5","AMZ","$137,114.39","9,818","https://www.amazon.com/dp/B002QMB57C","https://m.media-amazon.com/images/I/71PFx4p07jL._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.192Z"
"B0FH616DNQ","Organics Ocean Better D3 + K2-100% Organic VIT D3 and K2 Supplements with Maximum Bioavailability - Supports Bone Density, Calcium Balance, Immunity & Mood - 1-Pack, 30-Day Supply","$34.99","4.6","489","USA","Health & Household","2596","Multivitamins","62","","","2","2","FBA","$342,295.31","9,827","https://www.amazon.com/dp/B0FH616DNQ","https://m.media-amazon.com/images/I/61gP+U+2OnL._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.193Z"
"B0CB79FWKZ","OLLY Max Strength Sleep Gummy, 10mg Melatonin, L-Theanine, Chamomile, Lemon Balm, Sugar Free, Vegetarian Sleep Aid, Strawberry - 50 Count","$14.96","4.5","1800","Amazon","Health & Household","1541","Herbal & Nutritional Sleep Supplements","18","Vitamin Supplements","206","2","2","AMZ","$332,034.87","19,821","https://www.amazon.com/dp/B0CB79FWKZ","https://m.media-amazon.com/images/I/71xChE3dB4L._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.193Z"
"B01F2H982Q","Zarbee's Vitamin D Drops for Infants, 400IU (10mcg) Baby & Toddler Liquid Supplement, Newborn & Up, Dropper Syringe Included, 0.47 Fl Oz","$8.98","4.6","14900","Amazon","Health & Household","2950","Children's Vitamins","13","Multivitamins","67","2","2","AMZ","$83,222.11","9,267","https://www.amazon.com/dp/B01F2H982Q","https://m.media-amazon.com/images/I/719uyjyeAwL._AC_UL320_.jpg","true","false","6","2026-01-27T22:02:46.193Z"
