asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt,
B0B2RM68G2,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skin Care, Valentines Day Gifts for Her | 1.19oz(34g) x 4ea",$19.00,4.5,33800,Korea,Beauty & Personal Care,5,Facial Masks,1,,,5,3,FBA,"$4,784,769.41","215,705",https://www.amazon.com/dp/B0B2RM68G2,https://m.media-amazon.com/images/I/51Qiwz3ZiaL._AC_UL320_.jpg,TRUE,FALSE,1,2026-01-27T16:12:11.907Z,1
B0BRMYHMS5,"medicube Wrapping Mask Collagen Overnight Peel Off Facial Mask | Elasticity & Hydration Care, Reduces Sagging & Dullness | Hydrolyzed Collagen For Glowing Skin | Korean Skin Care, 2.53 fl.oz",$15.20,4.5,15700,USA,Beauty & Personal Care,7,Facial Masks,2,,,4,4,FBA,"$3,097,160.67","168,742",https://www.amazon.com/dp/B0BRMYHMS5,https://m.media-amazon.com/images/I/61occWCJN-L._AC_UL320_.jpg,TRUE,FALSE,1,2026-01-27T16:12:11.907Z,2
B00K6JUG4K,"Vital Proteins Collagen Peptides Powder Advanced with Hyaluronic Acid & Vitamin C, 20oz Collagen Protein, Unflavored, 27 Servings",$42.99,4.4,213000,USA,Health & Household,50,Collagen Supplements,2,,,4,1,FBA,"$5,535,421.56","134,200",https://www.amazon.com/dp/B00K6JUG4K,https://m.media-amazon.com/images/I/71dh8ovfnrL._AC_UL320_.jpg,TRUE,FALSE,1,2026-01-27T16:12:11.908Z,3
B0DGPSZVW3,medicube Collagen Jelly Cream- Niacinamide & Freeze-Dried Hydrolyzed Collagen - Boosts skin's barrier hydration and gives 24h Glow & Lifted Look - Korean skincare (1.69 Fl Oz (Pack of 1)),,4.4,18600,Unknown,Beauty & Personal Care,4,Face Moisturizers,1,,,3,2,FBA,"$3,400,795.60","213,799",https://www.amazon.com/dp/B0DGPSZVW3,https://m.media-amazon.com/images/I/61c5EovDcyL._AC_UL320_.jpg,FALSE,FALSE,1,2026-01-27T16:12:11.908Z,4
B0DDC3QGJL,KAHI Wrinkle Bounce Multi Balm Stick | PDRN Collagen Wrinkle Stick | Korean Skin Care |All-in-One Hydrating Lip Balm Eye Cream Neck Cream Make Up Base & Face Mist Moisture Balm,$22.99,4.3,14900,Korea,Beauty & Personal Care,55,Eye Treatment Balms,1,,,7,1,FBA,"$1,990,161.40","92,035",https://www.amazon.com/dp/B0DDC3QGJL,https://m.media-amazon.com/images/I/51QiRvWn2tL._AC_UL320_.jpg,TRUE,FALSE,1,2026-01-27T16:12:11.908Z,5
B0DGTMR754,"medicube Jelly Gel Mask with Salmon DNA PDRN Pink Collagen | Overnight Face Mask for Glass Glow Skin | Elasticity, Hydrating, Firming and Moisturizing | Korean Skincare, 28g x 4ea",$19.00,4.5,6700,USA,Beauty & Personal Care,36,Facial Masks,3,,,2,2,FBA,$0.00,N/A,https://www.amazon.com/dp/B0DGTMR754,https://m.media-amazon.com/images/I/61An0jiJFvL._AC_UL320_.jpg,FALSE,FALSE,1,2026-01-27T16:12:11.909Z,6
B09RQBHRCT,"Vital Proteins Collagen Peptides Powder - Supports Hair, Nail, Skin, Bone & Joint Health, Unflavored, Collagen Protein 9.33 OZ",$18.65,4.5,82300,USA,Health & Household,26,Collagen Supplements,1,,,14,1,FBA,"$4,939,154.94","190,502",https://www.amazon.com/dp/B09RQBHRCT,https://m.media-amazon.com/images/I/71QZNoHaxdL._AC_UL320_.jpg,TRUE,FALSE,1,2026-01-27T16:12:11.909Z,7
B0BBSP2JNQ,"Anti-Aging Face Moisturizer with Retinol, Collagen & Hyaluronic Acid - Made in USA - Moisturizer Face Cream for Women & Men - Firming & Hydrating Neck Cream - Day & Night Skin Care - 1.7 fl oz",$23.97,4.4,31900,USA,Beauty & Personal Care,63,Neck & Décolleté Moisturizers,1,,,4,1,FBA,"$2,366,356.14","94,518",https://www.amazon.com/dp/B0BBSP2JNQ,https://m.media-amazon.com/images/I/71FnuqJr91L._AC_UL320_.jpg,TRUE,FALSE,1,2026-01-27T16:12:11.909Z,8
B0CNCL35CH,Dr.Melaxin Cemenrete Calcium Multi Balm 9g Korean Skin Care All In One Calcium Volume Stick Collagen Wrinkles Face Eye treatment Balm,$23.00,4.1,1700,Korea,Beauty & Personal Care,109,Eye Treatment Balms,2,,,1,3,FBA,"$2,170,985.74","98,050",https://www.amazon.com/dp/B0CNCL35CH,https://m.media-amazon.com/images/I/71kAOJhR9WL._AC_UL320_.jpg,TRUE,FALSE,1,2026-01-27T16:12:11.910Z,9
B09RKDGYJD,"NUTRAHARMONY Biotin | Collagen | Hyaluronic Acid | Keratin - Support Normal Hair Growth Cycle - Skin & Nails - 25000mcg Vitamins B1, B2, B3, B6 & B7 - for Women & Men - Made in USA | 60 Capsules",$27.99,4.5,14900,USA,Health & Household,272,Hyaluronic Acid Nutritional Supplements,1,,,1,1,FBA,"$1,312,169.57","49,975",https://www.amazon.com/dp/B09RKDGYJD,https://m.media-amazon.com/images/I/81DJ3bwn0gL._AC_UL320_.jpg,TRUE,FALSE,1,2026-01-27T16:12:11.910Z,10
